&| ˈʌ w
bølgerne|b ˈʔœ l j ʔʌ n ə
bølge”|b ˈʔœ l j ə 
bølle|b ˈʔœ l ə 
bøller|b ˈʔœ l ʔʌ
bøllerne|b ˈʔœ l ʔʌ n ə
bønderne|b ˈʔœ n ʔʌ n ə
bønnekald|b ˈʔœ n ʔe k ˌa l
bønsing|b ˈʔœ n s ʔe ŋ
bør'|b ˈʔœ ɐ̯
børge|b ˈʔœ ɐ̯ w ə
børges|b ˈʔœ ɐ̯ w ə s
børglum|b ˈʔœ ɐ̯ u l ˌɒ m
børkeeiet|b ˈʔœ ɐ̯ k ə  ʔe j ə ð
børkop|b ˈʔœ ɐ̯ k ʔʌ p
børn|b ˈʔœ ɐ̯ n
børne|b ˈʔœ ɐ̯ n ə 
børneafdeling|b ˈʔœ ɐ̯ n ə  ?ɑ w d ˌe l ʔe ŋ
børneafdelingen|b ˈʔœ ɐ̯ n ə  ?ɑ w d ˌe l ʔe ŋ ə n
børnearbejde|b ˈʔœ ɐ̯ n ə  ɑ b ˌ?ɑ j d ə 
børneastma|b ˈʔœ ɐ̯ n ə  a s t m ˌa
børneattesten|b ˈʔœ ɐ̯ n ə  a t ˌɛ s d ə n
børnebasket|b ˈʔœ ɐ̯ n ə b a s k ə ð
børnebiblioteket|b ˈʔœ ɐ̯ n ə b ʔi b l ˌʔi o t ˌʔe k ə ð
børnebiblioteks|b ˈʔœ ɐ̯ n ə b ʔi b l ˌʔi o t ˌʔe k s
børnebilbiotekar|b ˈʔœ ɐ̯ n ə b ʔi l b ˌʔi o t ˌʔe k ɑ
børnebog|b ˈʔœ ɐ̯ n ə b ɒ w
børnebogsforfatter|b ˈʔœ ɐ̯ n ə b ɒ w s f ˌʌː f a t ˌʔʌ 
børnebørn|b ˈʔœ ɐ̯ n ə b ʔœ ɐ̯ n
børnebørnene|b ˈʔœ ɐ̯ n ə b ʔœ ɐ̯ n ə n ə
børnebørnenes|b ˈʔœ ɐ̯ n ə b ʔœ ɐ̯ n ə n ə s
børnebørns|b ˈʔœ ɐ̯ n ə b ʔœ ɐ̯ n s
børnecancerfonden|b ˈʔœ ɐ̯ n ə k ?ɑ ŋ s ə ɐ̯ f ˌʔʌ n d ə n
børnecenter|b ˈʔœ ɐ̯ n ə s ɛ n t ˌʔʌ 
børnecheck|b ˈʔœ ɐ̯ n ə ʃ ε k
børnechecken|b ˈʔœ ɐ̯ n ə ʃ ε k ə n
børnecykler|b ˈʔœ ɐ̯ n ə s ʔy k l ˌʔʌ 
børnedyrskue|b ˈʔœ ɐ̯ n ˌʔe d ʔy ɐ̯ s k ˌuː
børnefaglig|b ˈʔœ ɐ̯ n ə f ?ɑ ˌʔu l ʔi
børnefamilie|b ˈʔœ ɐ̯ n ə f a m ˌʔi l j ə
børnefamilier|b ˈʔœ ɐ̯ n ə f a m ˌʔi l j ə ɐ̯
børnefamilierne|b ˈʔœ ɐ̯ n ə f a m ˌʔi l j ə ɐ̯ n ə 
børnefingre|b ʔœ ɐ̯ n ə f ˈʔe ŋ ʁ ʔʌ
børnefodbold|b ˈʔœ ɐ̯ n ə f ʔo ð b ˌʔʌ l d
børnefonden|b ˈʔœ ɐ̯ n ə f ʔʌ n d ə n
børnefortællingerne|b ˈʔœ ɐ̯ n ə f ʌː t ˌε l ʔe ŋ ˌʔʌ n ə
børnefødselsdag|b ˈʔœ ɐ̯ n ə f ʔœ s ə l s d ˌa
børnegod|b ˈʔœ ɐ̯ n ə ɡ o ð
børnegokarts|b ˈʔœ ɐ̯ n ə ɡ ɒ w k ˌɑ t s
børnegravplads|b ˈʔœ ɐ̯ n ə ɡ ʁ ?ɑ w p l ˌa s
børnegrupper|b ˈʔœ ɐ̯ n ə ɡ ʁ ʔu p ˌʔʌ
børnegård|b ˈʔœ ɐ̯ n ə ɡ ɒɒ
børnehave|b ˈʔœ ɐ̯ n ə h a ʋ ə 
børnehavebarn|b ˈʔœ ɐ̯ n ə h a ʋ ə b ˌɑ n
børnehavebørn|b ˈʔœ ɐ̯ n ə h a ʋ ə b ˌʔœ ɐ̯ n
børnehavebørnene|b ˈʔœ ɐ̯ n ə h a ʋ ə b ˌʔœ ɐ̯ n ə n ə
børnehavelederens|b ˈʔœ ɐ̯ n ə h a ʋ ə l ˌʔe ð ʔʌ ɐ̯ ʔʌ n s
børnehaven|b ˈʔœ ɐ̯ n ə h a ʋ ə n
børnehaver|b ˈʔœ ɐ̯ n ə h a ʋ ˌʌ
børnehavestuer|b ˈʔœ ɐ̯ n ə h a ʋ ˌε s t u ˌʔʌ
børnehjem|b ˈʔœ ɐ̯ n ə j ε m
børnehospice|b ˈʔœ ɐ̯ n ə h ʔʌ s p ˌi s
børnehospital|b ˈʔœ ɐ̯ n ə h ʔo s p ˌʔi t a l
børnehule|b ˈʔœ ɐ̯ n ə h u l ə 
børnehus|b ˈʔœ ɐ̯ n ə h ʔu s
børnehuse|b ˈʔœ ɐ̯ n ə h u s ə 
børnehuset|b ˈʔœ ɐ̯ n ə h ʔu s ə ð
børnehusets|b ˈʔœ ɐ̯ n ə h ʔu s ə ð s
børnehøjde|b ˈʔœ ɐ̯ n ə h ʔʌ j d ə 
børneinstituionerne|b ˈʔœ ɐ̯ n ə  ʔe n s t ˌʔi t ʔu ˌʔi o n ˌʔʌ n ə
børneinstitution|b ˈʔœ ɐ̯ n ə  ʔe n s t ˌʔi t ʔu ʃ ˌʔo n
børneinstitutionen|b ˈʔœ ɐ̯ n ə  ʔe n s t ˌʔi t ʔu ʃ ˌʔo n ə n
børneinstitutioner|b ˈʔœ ɐ̯ n ə  ʔe n s t ˌʔi t ʔu ʃ ˌʔo n ʔʌ 
børneinstitutionerne|b ˈʔœ ɐ̯ n ə  ʔe n s t ˌʔi t ʔu ʃ ˌʔo n ʔʌ n ə
børneklassiker|b ˈʔœ ɐ̯ n ə k l a s ˌʔi k ʔʌ
børnelatter|b ˈʔœ ɐ̯ n ə l a t ˌʔʌ 
børnelitterære|b ˈʔœ ɐ̯ n ə l ʔi t ˌʔe ʁ ɛ ˌʔʌ
børnelokkere|b ˈʔœ ɐ̯ n ə l ʔʌ k ˌʔʌ ʔʌ
børnelæge|b ˈʔœ ɐ̯ n ə l ɛ j ə 
børnelæger|b ˈʔœ ɐ̯ n ə l ɛ j ˌʔʌ
børnemedaljerne|b ˈʔœ ɐ̯ n ə m ʔe d ˌa l j ε ɐ̯ n ə 
børnemisbrug|b ˈʔœ ɐ̯ n ə m ʔi s b ɐ̯ ˌu
børnemusik|b ˈʔœ ɐ̯ n ə m ʔu s ˌʔi k
børnemøderne|b ˈʔœ ɐ̯ n ə m œ ð ˌʔʌ n ə
børnen|b ˈʔœ ɐ̯ n ə n
børnene|b ˈʔœ ɐ̯ n ə n ə
børneområdet|b ˈʔœ ɐ̯ n ə  ʔʌ m ʁ ˌɒ ð ə ð
børneopdragelse|b ˈʔœ ɐ̯ n ə  ʔʌ p d ʁ ˌ?ɑ w ə l s ə 
børneordfører|b ˈʔœ ɐ̯ n ə  ʔo ɐ̯ f ˌœ ʔʌ
børneorganisation|b ˈʔœ ɐ̯ n ə  ɒ ɡ ˌa n ʔi s ˌa ʃ ʔo n
børnepanelet|b ˈʔœ ɐ̯ n ə p a n ˌʔe l ə ð
børnepasning|b ˈʔœ ɐ̯ n ə p a s n ˌʔe ŋ
børnepasningen|b ˈʔœ ɐ̯ n ə p a s n ˌʔe ŋ ə n
børnepasningsmuligheder|b ˈʔœ ɐ̯ n ə p a s n ˌʔe ŋ s m u l ˌʔi h ʔe ð ˌʌ
børnepenge|b ˈʔœ ɐ̯ n ə p ε ŋ ə
børneperspektiv|b ˈʔœ ɐ̯ n ə p ʔʌ s p ˌʔe k t ʔi w
børneprogrammet|b ˈʔœ ɐ̯ n ə p ʁ ɒ ɡ ʁ ˌ?ɑ m ə ð
børnepsykologen|b ˈʔœ ɐ̯ n ə s ʔy k ˌʔo l ɒ ə n
børner|b ˈʔœ ɐ̯ n ʔʌ 
børneredaktør|b ˈʔœ ɐ̯ n ə ʁ ɛ d ˌ?ɑ k t ʔœ ɐ̯
børneredningsveste|b ˈʔœ ɐ̯ n ə ʁ ε ð n ˌʔe ŋ s ʋ ə s d ə
børnerområdet|b ˈʔœ ɐ̯ n ə ʁ ʔo m ʁ ˌɒ ð ə ð
børnerådet|b ˈʔœ ɐ̯ n ə ʁ ɒ ð ə ð
børnesamtaler|b ˈʔœ ɐ̯ n ə s ?ɑ m t ˌa l ʔʌ 
børnesang|b ˈʔœ ɐ̯ n ə s ?ɑ ŋ
børnesangen|b ˈʔœ ɐ̯ n ə s ?ɑ ŋ ə n
børnesjov|b ˈʔœ ɐ̯ n ə ʃ j ɔ w
børnetal|b ˈʔœ ɐ̯ n ə t a l
børnetandlæger|b ˈʔœ ɐ̯ n ə t a n l ˌɛ j ʔʌ
børneteater|b ˈʔœ ɐ̯ n ə t ʔe ˌa t ʔʌ 
børnetegninger|b ˈʔœ ɐ̯ n ə t ?ɑ j n ˌʔe ŋ ʔʌ
børnetelefonen|b ˈʔœ ɐ̯ n ə t ʔe l ə f ˌo n ə n
børnetøj|b ˈʔœ ɐ̯ n ə t ʔʌ j
børneudstyr|b ˈʔœ ɐ̯ n ə  ʔu ð s t ˌʔy ɐ̯
børneudvalget|b ˈʔœ ɐ̯ n ə  ʔu ð ʋ ˌa l j ə ð
børneunivers|b ˈʔœ ɐ̯ n ə  ʔu n ˌi ʋ ε ɐ̯ s
børnevaccinationsprogrammet|b ˈʔœ ɐ̯ n ə ʋ ?ɑ k s ˌʔi n a ʃ ˌʔo n s p ʁ o w ʁ ˌ?ɑ m ə ð
børnevenlig|b ˈʔœ ɐ̯ n ə ʋ ε n l ˌʔi
børnevenlige|b ˈʔœ ɐ̯ n ə ʋ ε n l ˌi ə
børneværelse|b ˈʔœ ɐ̯ n ə ʋ ɛ ˌʌ l s ə 
børneværelset|b ˈʔœ ɐ̯ n ə ʋ ɛ ˌʌ l s ə ð
børneværkstedet|b ˈʔœ ɐ̯ n ə ʋ ε ɐ̯ k s t ˌε ð ə t
børneægteskab|b ˈʔœ ɐ̯ n ə  ε ɡ t ə s k ˌa b
børneægteskaber|b ˈʔœ ɐ̯ n ə  ε ɡ t ə s k ˌa b ʔʌ
børns|b ˈʔœ ɐ̯ n s
børs|b ˈʔœ ɐ̯ s
børsen|b ˈʔœ ɐ̯ s ə n
børsens|b ˈʔœ ɐ̯ s ə n s
børsmarkedet|b ˈʔœ ɐ̯ s m ɑ k ə ð ə ð
børsmæglere|b ˈʔœ ɐ̯ s m ε j l ˌʔʌ ʔʌ
børsnoterede|b ˈʔœ ɐ̯ s n ʔo t ˌʔe ʌ ð ə 
børsprojekt|b ˌʔœ ɐ̯ s p ʁ o ʃ ˈε ɡ t
børster|b ˈʔœ ɐ̯ s t ʔʌ
børstet|b ˈʔœ ɐ̯ s t ə ð
børsting|b ˈʔœ ɐ̯ s t ʔe ŋ
bøsninger|b ˈʔœ s n ʔe ŋ ˌʔʌ
bøsserøv|b ˈʔœ s ə ʁ œ w
bøtker|b ˈʔœ t k ʔʌ 
bøtkjær|b ˈʔœ t k j ε ɐ̯
bøtten|b ˈʔœ d ə n
bøttger|b ˈʔœ t ɡ ʔʌ
bøtting|b ˈʔœ t ʔe ŋ
bøtøskoven|b ˈʔœ t ʔœ s k ˌɒ w ə n
bülow|b ˈʔy l ʔo w
bülowsvej|b ˈʔy l ʔo w s ʋ ˌ?ɑ j
bünyamin|b ˈʔy n j a m ˌʔi n
c|s ˈe
ca|k ˈa
cabal|k ˈa b a l
cabinn|k ˈa b ʔi n
cabinplant|k ˈa b ʔi n p l ˌa n t
cable|k ˈa b l ə 
cabotagekørsel|k ˈa b o t ˌa j ə k ʔœ ɐ̯ s ə l
cacaomælk|k ˈ?ɑ k a ˌʔo m ε l k
caddies|k ˈa ð j ə  s
cadmium|k ˈa ð m j ɒ m
cadmiumindholdet|k ˈa ð m ʔi ˌʔu m ʔe n h ˌʔʌ l ə ð
caen|k ˈa ə n
cafe|k a f ˈʔe
cafebesøg|k a f ˈʔe b ʔe s ˌʔœ j
cafeen|k a f ˈʔe ə n
cafeer|k a f ˈʔe ʔʌ
cafeernes|k a f ˈʔe ʔʌ n ə s
cafeteria|k a f ˈʔe t ˈʔe ʁ ʔi ˌa
cafeteriaet|k a f ˈʔe t ˈʔe ʁ ʔi ˌa ə ð
cafeteriet|k a f ˈʔe t ˈʔe ʁ i ə ð
café|k a f ˈʔe
caféband|k a f ˈʔe b a n
cafébesøg|k a f ˈʔe b ʔe s ˌʔœ j
caféejerne|k a f ˈʔe aɪ ˌʌ n ə 
caféen|k a f ˈʔe ə n
caféens|k a f ˈʔe ə n s
caféer|k a f ˈʔe ʔʌ 
caféerne|k a f ˈʔe ʔʌ n ə
cafékøkken|k a f ˈʔe k ʔœ k ə n
caféliv|k a f ˈʔe l ʔi w
cake|k ˈ?ɑ k ə 
cakirli|k ˈ?ɑ k ʔi ɐ̯ l ˌʔi
calabrien|k ˈa l a b ɐ̯ ˌaɪ ə n
caldera|k ˈa l ʔe ʁ ˌɑ
calhanoglu|k ˈa l h a n ˌɒ w l ʔu
californien|k ˌa l ʔi f ˈɒɒ n j ə n
californiens|k ˌa l ʔi f ˈɒɒ n j ə n s
californiske|k ˌa l ʔi f ˈɒɒ n ʔi s ɡ ə 
caliphate|k ˈa l ʔi p h ˌa d ə 
caljouw|k ˈa l j ʔu w
call|k ˈa l
callcenter|k ˈa l s ɛ n t ˌʔʌ 
calle|k ˈa l ə 
callesen|k ˈa l ʔe s ə n
callum|k ˈa l ɒ m
caltech|k ˈa l t ε k
calum|k ˈa l ɒ m
calvados|k ˈa l ʋ a ð ˌʔo s
calvin|k ˈa l ʋ ʔi n
calviño| k a l β ˈi ɲ o 
cam|k ˈ?ɑ m
cambia|k ˈ?ɑ m b ʔi ˌa
cambodiansk|k ˈ?ɑ m b ʔo ð ˌʔi a n s k
cambodja|k ?ɑ m b ˈo ð j a
cambridge|k ˈɛ j m b ʁ ɪ dʒ
cameroun|k ˈa m ə ʁ ɑ w n
camilla|k a m ˈʔi l a
camillas|k a m ˈʔi l a s
camille|k ˈa m ʔi l ə 
camostat|k ˈ?ɑ m ʔʌ s t ˌa t
camp|k ˈa m p
camp'en|k ˈa m p ə n
campbells|k ˈa m b ε l s
campen|k ˈa m p ə n
camping|k ˈa m p ʔe ŋ
campingferie|k ˈa m p ʔe ŋ f ˌʔe ɐ̯ j ə
campingfolket|k ˈa m p ʔe ŋ f ˌʔʌ l k ə ð
campinggæster|k ˈa m p ʔe ŋ ɡ ˌε s t ʔʌ 
campinghytte|k ˈa m p ʔe ŋ h ˌʔy t ə 
campingplads|k ˈa m p ʔe ŋ p l ˌa s
campingpladsen|k ˈa m p ʔe ŋ p l ˌa s ə n
campingpladsens|k ˈa m p ʔe ŋ p l ˌa s ə n s
campingpladser|k ˈa m p ʔe ŋ p l ˌa s ʔʌ 
campingsæsonen|k ˈa m p ʔe ŋ s ˌε s ʔʌ ŋ ə n
campinguniverset|k ˈa m p ʔe ŋ ˌʔu n i ʋ ˌε ɐ̯ s ə ð
campingvogne|k ˈa m p ʔe ŋ ʋ ˌʔʌ w n ə
campingvognen|k ˈa m p ʔe ŋ ʋ ˌʔʌ w n ə n
campingvognforretning|k ˈa m p ʔe ŋ ʋ ˌʔʌ w n f ʌː ʁ ˌa t n ʔe ŋ
campingvognsforhandlerne|k ˈa m p ʔe ŋ ʋ ˌʔʌ w n s f ʌː h ˌa n l ʔʌ n ə
campister|k a m p ˈi s t ʔʌ
campisterne|k a m p ˈi s t ʔʌ n ə
campleder|k ˈa m p l ʔe ð ˌʔʌ 
camps|k ˈa m p s
campus|k ˈa m p ʔu s
campusser|k ˈa m p ʔu s ˌʔʌ 
camre|k ˈ?ɑ m ʁ ʔʌ
camønoen|k ˈa m ʔœ n ˌʔo ə n
can|k ˈa n
canada|k ˈa n a ð ˌa
canadas|k ˈa n a ð ˌa s
canadiens|k ˈa n a ð ˌʔi ə n s
canadiere|k a n ˈa ð ʔi ˌʔʌ ʔʌ
canadierne|k a n ˈa ð ʔi ˌʔʌ n ə
canadisk|k ˈa n a ð ˌi s k
canadiske|k ˈa n a ð ˌi s k ə 
canal|k ˈa n a l
canaria|k ˈa n ɑ ʁ ˌʔi a
canariske|k ˈa n ɑ ʁ ˌʔe s k ə 
canazei|k ˈa n a s ˌʔe ʔi
cancel|k ˈa n s ə l
cand|k ˈa n
cannabis|k ˈa n a b ˌʔi s
cannabisolie|k ˈa n a b ˌʔi s ʔo l j ə 
cannabisproducenter|k ˈa n a b ˌʔi s p ʁ ʔo ð ˌu s ɛ n t ˌʔʌ 
cannabisprodukter|k ˈa n a b ˌʔi s p ʁ ʔo ð ˌɒ k t ʔʌ 
cannes|k ˈaa n n
cannot|k ˈa n ʔo t
canucks'|k ˈa n ʔu k s
capasa|k ˈɑ p a s ˌa
cape|k ˈɑ p ə 
capital|k ˈa p ʔi t ˌa l
capito|k ˈa p ʔi t ˌʔo
cappelen|k ˈ?ɑ p ʔe l ə n
cappuccino|k ˌ?ɑ p ʔu tʃ j ˈʔi n ʔo
capture|k ˈɑ p t u ˌʔʌ
carabajal|k ˈɑ ʁ ɑ b ˌ?ɑ j a l
caravancenter|k ˈɑ ʁ ɑ ʋ ˌ?ɑ ŋ s ə n t ˌʔʌ 
carbonara|k ˈɑ b ʔo n ˌɑ ʁ ɑ
carbuforan|k ˈɑ b ʔu f ˌʔʌ a n
card|k ˈɑ d
cardiff|k ˈɑ d ʔi f
cardigan|k ˌɑ d ʔi ɡ ˈa n
cardoso|k ˈɑ d ʔo s ˌʔo
care|k ˈɑ ɑ 
careman|k ˈɑ ɑ  m ˌa n
cargo|k ˈɑ ɡ ʔo
caribbean|k ˈɑ ʁ ʔi b ə  ˌa n
caribien|k ɑ ʁ ˈʔi b j ə n
caribiske|k ɑ ʁ ˈʔi b ʔi s ɡ ə 
carin|k ˈɑ ʁ ʔi n
carina|k ˈɑ ʁ ʔi n ˌa
carit|k ˈɑ ʁ ʔi t
carl|k ˈɑ l
carla|k ˈɑ l a
carling|k ˈɑ l ʔe ŋ
carlo|k ˈɑ l ʔo
carlos|k ˈɑ l ʔo s
carlotta|k ˈɑ l ʔʌ t ˌa
carlsberg|k ˈɑ l s b ε ɐ̯ w
carlsbergs|k ˈɑ l s b ε ɐ̯ w s
carlsbergsfondet|k ˈɑ l s b ε ɐ̯ ɡ s f ˌʔʌ n d ə ð
carlsen|k ˈɑ l s ə n
carlsmindevej|k ˈɑ l s m ʔe n ə ʋ ˌ?ɑ j
carlson|k ˈɑ l s ʔʌ n
carmel|k ˈɑ m ə l
carmen|k ˈɑ m ə n
carole|k ˈɑ ʁ o l ə 
carolina|k ˈɑ ʁ o l ˌʔi n a
caroline|k ˈɑ ʁ o l ˌi n ə 
carolines|k ˈɑ ʁ o l ˌi n ə  s
carport|k ˈɑ p ɒ ɐ̯ t
carporten|k ˈɑ p ɒ ɐ̯ d ə n
carrie|k ˈɑ j ə 
carroll|k ˈɑ ɐ̯ ʔʌ l
carset|k ˈɑ s ə ð
carsten|k ˈɑ s d ə n
carstensen|k ˈɑ s t ə n s ə n
carte|k ˈɑ d ə
caruso|k ˈɑ ʁ ʔu s ˌʔo
carvalheiro|k ˈɑ ʋ a l h ˌʔe ʔi ʁ ˌʔo
carøe|k ˈɑ ʁ ʔœ ə 
cas|k ˈa s
casa|k ˈa s a
case|k ˈa s ə 
caselitz|k ˈa s ə l ʔi t s
casemiro|k ˈa s ə m ʔi ʁ ˌʔo
casillas|k ˈa s ʔi l ˌa s
caspar|k ˈa s p ɑ
casper|k ˈa s p ʔʌ 
caspersen|k ˈa s p ʔʌ s ə n
caspians|k ˈa s p ʔi ˌa n s
cassandra|k ˈa s a n ʁ ˌɑ
cassøe|k ˈa s ʔœ ə 
castaner|k ˈa s t a n ˌʔʌ 
castelijns|k ˈa s t ə l ʔi j n s
castenschiold|k ˈa s t ə n ʃ ʔi ˌʔʌ l
caster|k ˈa s t ʔʌ 
castes|k ˈa s d ə  s
castet|k ˈa s t ə ð
castex|k ˈa s t ε ɡ s
castro|k ˈa s t ʁ ʔo
catalanske|k ˈa t a l ˌa n s k ə 
catalonien|k ˌa t a l ˈʔʌ ŋ j ə n
catarina|k ˈa t ɑ ʁ ˌʔi n a
catchy|k ˈa t ʃ ʔy
catering|k ˈε i t ə ʁ ˌʔi ŋ
cateringfirmaer|k ˈε i t ə ʁ ˌʔi ŋ f ʔi ɐ̯ m ˌa ʔʌ 
cateringlandsholdet|k ˈε i t ə ʁ ˌʔi ŋ l a n s h ˌʔʌ l ə ð
cateringsvirksomhed|k ˌε i t ə ʁ ʔi ŋ s ʋ ˈʔi ɐ̯ k s ʔʌ m h ˌʔe ð
catharina|k ˈa t h ɑ ʁ ˌʔi n a
cathedral|k ˈa t h ʔe ð ʁ ˌ?ɑ l
cathrine|k ˈa t h ʁ i n ə 
cathrines|k ˈa t h ʁ i n ə  s
catwalk|k ˈa t w ʌː k
cause'|k ˈɑ w s ə 
cave|k ˈa ʋ ə 
cave'|k ˈa ʋ ə 
cavuto|k ˈa ʋ ʔu t ˌʔo
cayenne|k a j ˈɛ n ə
caymanøerne|k ˈ?ɑ j m a n ˌʔœ ʔʌ n ə
cayx|k ˈ?ɑ j ɡ s
cbd|s ˌe b ˌe d ˈe
cbs|s ˌe b ˌe ˈe s
cd'en|s ˈeː d eː ɜ n
cdc|s ˌe d ˌe s ˈe
cden|k d ˈε n
cdu|k d ˈʔu
ce|s ˈə
cecile|s ˈʔe s i l ə 
cecilia|s ˈʔe s ʔi l ˌʔi a
cecilie|s ˈʔe s ʔi l j ə 
cecillie|s ˈʔe s ʔi l j ə 
cedervall|s ˈe ð ʔʌ ʋ ˌa l
ceferin|s ˈe f ʔe ʁ ˌʔi n
cekic|s ˈʔe k ʔi k
celeste|s ˈe l ə s d ə 
celine|s ˈʔe l i n ə 
celje|s ˈε l j ə 
cell|s ˈε l
cellelinjer|s ˈε l ə l ʔi n j ˌʔʌ
cellen|s ˈε l ə n
celler|s ˈε l ʔʌ
cellist|s ε l ˈi s t
cellisten|s ε l ˈi s t ə n
cello|ʃ j ˈε l ʔo
celloens|ʃ j ˈε l ʔo ə n s
celso|s ˈε l s ʔo
celta|s ˈε l t a
celtic|s ˈε l t ʔi k
celtics|s ˈε l t ʔi k s
cement|s ε m ˈε n t
cementblandere|s e m ˈε n t b l a n d ˌʔʌ ʔʌ
cementere|s e m ˌε n t ˈʔe ʔʌ
cementerede|s e m ˌε n t ˈʔe ɐ̯ ʔʌ ð ə
cementeres|s e m ˌε n t ˈʔe ɐ̯ ʔʌ s
cementfabrikken|s e m ˈε n t f a b ɐ̯ ˌʔe k ə n
cementproducenten|s e m ˈε n t p ʁ ʔo ð ˌu s ɛ n d ə n
cementvirksomheden|s e m ˌε n t ʋ ˈʔi ɐ̯ k s ʔʌ m h ˌʔe ð ə n
cenius|s ˈʔe n ʔi ˌʔu s
censor|s ˈʔe n s ʌ
censur|s ʔe n s ˈʔu ɐ̯
censuren|s ʔe n s ˈʔu ɐ̯ ʔʌ n
censurere|s ˌʔe n s u ʁ ˈe ʔʌ 
censurerede|s ˌʔe n s u ʁ ˈe ɐ̯ ʔʌ ð ə
censurerer|s ˌʔe n s u ʁ ˈe ʌ
centeno|s ˈɛ n t ʔe n ˌʔo
center|s ˈɛ n t ʔʌ
centerangrebet|s ˈɛ n t ʔe ʁ ˌa n ɡ ʁ ɛ b ə ð
centerbygningen|s ˈɛ n t ʔʌ b ˌʔy ɡ n ʔe ŋ ə n
centerchef|s ˈɛ n t ʔʌ ʃ ˌε f
centerchefen|s ˈɛ n t ʔʌ ʃ ˌε f ə n
centerdelen|s ˈɛ n t ʔʌ d ˌe l ə n
centerdirektør|s ˈɛ n t ʔʌ d ˌi ʁ ?a k t ˌʔœ ɐ̯
centerdirektøren|s ˈɛ n t ʔʌ d ˌi ʁ ?a k t ˌœ ʔʌ n
centeret|s ˈɛ n t ʔʌ ɐ̯ ˌʔʌ ð
centerforeningen|s ˈɛ n t ʔʌ f ˌɒ ε n ˌʔe ŋ ə n
centerkunder|s ˈɛ n t ʔʌ k ˌɒ n ʔʌ
centerleder|s ˈɛ n t ʔʌ l ˌʔe ð ʔʌ 
centimeter|s ˌɛ n t i m ˈʔe t ʔʌ
central|s ɛ n t ʁ ˈ?ɑ l
centraladministration|s ɛ n t ʁ ˈ?ɑ l a ð m ˌʔi n ʔi s t ʁ ˌ?ɑ ʃ ʔo n
centralbankernes|s ɛ n t ʁ ˈ?ɑ l b ?ɑ n k ˌʔʌ n ə s
centralbanks|s ɛ n t ʁ ˈ?ɑ l b ?ɑ n k s
centrale|s ɛ n t ʁ ˈɑ l ə
centralen|s ɛ n t ʁ ˈ?ɑ l ə n
centraleuropa|s ɛ n t ʁ ˈ?ɑ l ə  ʔu ʁ ˌʔo p a
centraleuropæisk|s ɛ n t ʁ ˈ?ɑ l ə  ʔu ʁ ˌʔo p ε ˌʔi s k
centraleuropæiske|s ɛ n t ʁ ˈ?ɑ l ə  ʔu ʁ ˌʔo p ε ˌʔi s k ə
centralhjørnet|s ɛ n t ʁ ˈ?ɑ l j ʔœ ɐ̯ n ə ð
centralisere|s ɛ n t ʁ ˌ?ɑ l i s ˈʔe ʔʌ
centralisering|s ɛ n t ʁ ˌ?ɑ l i s ˈʔe ɐ̯ ʔe ŋ
centralkomite|s ɛ n t ʁ ˈ?ɑ l k ʔo m ˌi t ʔe
centralmagt|s ɛ n t ʁ ˈ?ɑ l m ɑ ɡ t
centralpostbygning|s ɛ n t ʁ ˈ?ɑ l p ʔʌ s d b ˌʔy ɡ n ʔe ŋ
centralregeringen|s ɛ n t ʁ ˈ?ɑ l ʁ ε ɡ ˌʔe ɐ̯ ʔe ŋ ə n
centralt|s ɛ n t ʁ ˈ?ɑ l t
centralt«|s ɛ n t ʁ ˈ?ɑ l t
centre|s ˈɛ n t ʁ ʔʌ
centrene|s ˈɛ n t ɐ̯ ʔʌ n ə
centrerer|s ɛ n t ʁ ˈε ɐ̯ ʔʌ 
centreret|s ɛ n t ʁ ˈʔe ʌ ð
centres|s ˈɛ n t ɐ̯ ʔʌ s
centret|s ˈɛ n t ɐ̯ ʔʌ ð
centrets|s ˈɛ n t ɐ̯ ə ð s
centrum|s ˈɛ n t ʁ ɒ m
centrumhøjre|s ˈɛ n t ʁ ɒ m h ˌʔʌ j ʁ ʔʌ
ceo|s ˈʔe ʔo
ceo’er|s ˈʔe ʔo ʌ
cepos|s ˈʔe p ʔo s
cepos'|s ˈʔe p ʔo s
ceremoni|s ˌʔe ʔʌ m ʔo n ˈʔi
ceremonien|s ˌʔe ʔʌ m ʔo n ˈʔi ə n
ceremonierne|s ˌʔe ʔʌ m ʔo n ˈʔi ʔʌ n ə
ceremonimiddagen|s ˌʔe ʔʌ m ʔo n ˈʔi m ʔe d ˌa j- ə n
ceres|s ˈʔe ʔʌ s
ceresparken|s ˈʔe ʔʌ s p ˌɑ k ə n
ceropa|s ˈʔe ʁ ʔo p ˌa
certificeret|s ˌɛ ɐ̯ t ʔi f ˌi s ˈe ʌ ð
certificering|s ˌɛ ɐ̯ t ʔi f ˌi s ˈe ʁ ʔe ŋ
certificeringen|s ˌɛ ɐ̯ t ʔi f ˌi s ˈe ʁ ʔe ŋ ə n
certificeringer|s ˌɛ ɐ̯ t ʔi f ˌi s ˈe ʁ ʔe ŋ ˌʔʌ
certificeringsordningen|s ˌɛ ɐ̯ t ʔi f ˌi s ˈe ʁ ʔe ŋ s ˌɒɒ d n ʔe ŋ ə n
certifikat|s ˈɛ ɐ̯ t ʔi f ʔi k ˈa d
