&|ɟ ˈəʊɜ v ˌaː2 
dram|z z ˈaː7 m 
drama| d ɹ ˈɑː7 m ə1  
drax| d ɹ ˈa7 k s  
drc|d ˌe1 ˌɛ1 ʐ əː2 s ˈe7 
dream| d ɹ ˈiː7 m  
dreams| d ɹ ˈiː7 m z  
dress| d ɹ ˈɛ7 s  
drian|z z ˈiə7 n 
dries| d ɹ ˈaɪ7 z  
drm|d ˌe1 ˌɛ1 ʐ əː2 ˈɛ7 m əː2 
drobysheva| d ɹ ˈɒ7 b ɪ1 ʃ ˌɛ1 v ə1  
drobyshevo| d ɹ ˌɒ1 b ɪ1 ʃ ˈiː7 v əʊəʊ  
drone|z z ˈɔ7 n ɛ1 
drop|z z ˈɔ7 p 
drop”|z z ˈɔ7 p 
drx|d ˌe1 ˌɛ1 ʐ əː2 ˈiɜ c 
dsc|d ˌe1 ˌɛɜ s s ˈe7 
dts|d ˌe1 t ˌe1 ˈɛɜ s 
dtts|d ˌe1 t ˌe1 t ˌe1 ˈɛɜ s 
dua|z ˈuə7
dubai| d j ˈuː7 b aɪ1  
dublin| d ˈʌ7 b l ɪ1 n  
dubravka| d ˈʌ7 b ɹ a1 v k ə1  
duda| d j ˈuː7 d ə1  
duff|d ˈe1  ˈu1  ˈɛɜ p  ˈɛɜ p 
duffin| d ˈʌ7 f ɪ1 n  
dugin| d j ˈuː7 dʒ ɪ1 n  
dugina| d j uː1 dʒ ˈiː7 n ə1  
duhaniel|(en) d j ˈuː7 h a1 n j ələl (vi)
dumfries| d ʌ1 m f ɹ ˈiː7 s  
dumka| d ˈʌ7 m k ə1  
dun|z ˈu7 n
dung|z ˈu7 ŋ
dunia| d j ˈuː7 n ii  ə1  
dunkirk| d ˈʌ7 ŋ k ɜː1 k  
duoduo|z w ˈɔ7 z w ɔ1 
durbant| d ˈɜː7 b ə1 n t  
durham| d ˈʌ7 ɹ ə1 m  
dusan| d j ˈuː7 s ə1 n  
dussehra| d ˈʌ7 s eɪ1 ɹ ə1  
dutceac| d ˈʌ7 t s iː1 k  
duterte| d j ˈuː7 t əə t  
dutti| d ˈʌ7 t ii  
dutton| d ˈʌ7 t ə1 n  
duv| d ˈʌ7 v  
duy|z w ˈi7 
duyên| d ˈaɪ7 ɛ1 n  
duyên|z w ˈiɛ7 n
duyên’|z w ˈiɛ7 n 
duyên”|z w ˈiɛ7 n 
duyệt”|z w ˈiɛ6 t̪ 
duyệt…|z w ˈiɛ6 t̪ 
dù|z ˌu2 
dùng|z ˈu2 ŋ 
dư|z ˈu7 
dụ|z ˈu6 
dục|z ˈu6 c 
dụm|z ˈu6 m 
dụng|z ˈu6 ŋ 
duẩn|z w ˈə4 n 
duệ|z w ˈe6 
dv|d ˌe1 v ˈe7 
dvd|d ˌe1 v ˌe1 d ˈe7 
dwight| d w ˈaɪ7 t  
dybala| d aɪ1 b ˈɑː7 l ə1  
dynamic| d aɪ1 n ˈa7 m ɪ1 k  
dynevor| d ˈaɪ7 n ɛ1 v əə  
dzeko| d ˈiː1 z ˈiː7 k əʊəʊ  
dzmoon|z z m ˈɔ7 n 
dzàng|z z ˈaː2 ŋ 
dzậy|z z ˈəɪ6 
dzễ|z z ˈe5 
dà|z ˈaː2
dài|z ˈaː2 j
dài”|z ˈaː2 j 
dàng|z ˈaː2 ŋ
dành|z ˈe-2 ɲ
dành”|z ˈe-2 ɲ 
dào|z ˈaː2 w
dày|z ˈa2 j 
dàycũng|z ˈa2 j k u5 ŋ 
dày…|z ˈa2 j 
dá|z ˈaːɜ 
dác|z ˈaːɜ c
dáng|z ˈaːɜ ŋ 
dáo|z ˈaːɜ w
dát|z ˈaːɜ t̪
dáu|z ˈaɜ w 
dân|z ˈə7 n
dân’|z ˈə7 n 
dân“|z ˈə7 n 
dân”|z ˈə7 n 
dân…|z ˈə7 n 
dâu|z ˈə1 w
dâu’|z ˈə1 w 
dây”|z ˈəɪ7 
dần|z ˈə2 n 
dầu|z ˈə2 w 
dấu|z ˈəɜ w 
dẫn|z ˈə5 n 
dâּm|d ˈe1  ˈə1    h ˈiː1 b ɹ uː1  d ˈa1 ɡ ɛ1 ʃ   ˈɛ7 m əː2 
dã|z ˈaː5
dãng|z ˈaː5 ŋ
dèm|z ˈɛ2 m
déclare|(en) d ˈeɪ7 k l eə1 (vi)
dép…|z ˈɛɜ p 
dễ|z ˈe5 
dệt|z ˈe6 t̪ 
dì|z ˈi2 
dình|z ˈi2 ɲ
dìu”|z ˈi2 w 
dì’|z ˈi2 
díaz| d ˈiː7  ɐɐ s  
dích|z ˈiɜ c
dính|z ˈiɜ ɲ 
díp|z ˈiɜ p
díu|z ˈiɜ w
dòi|z ˈɔ2 j
dòn|z ˈɔ2 n
dòng|z ˈɔ2 ŋ
dó|z ˈɔɜ
dóng|z ˈɔɜ ŋ 
dôi|z ˈo7 j
dội|z ˈo6 j 
dõi…|z ˈɔ5 j 
dõng|z ˈɔ5 ŋ
dù|z ˌu2
dùng|z ˈu2 ŋ 
dùngriêu|z ˈu2 ŋ z iɛ1 w 
dùng”|z ˈu2 ŋ 
dúa|z ˈuəɜ
dúng|z ˈuɜ ŋ
dút|z ˈuɜ t̪
dăn|z ˈa7 n
dăng|z ˈa7 ŋ 
dđtc|d ˌe1 d ˌəː1 t ˌe1 s ˈe7 
dĩ|z ˈi5
dĩnh|z ˈi5 ɲ 
dĩ”|z ˈi5 
dũ|z ˈu5 
dũi|z ˈu5 j
dũng|z ˈu5 ŋ 
dơm|z ˈəː7 m
dơn|z ˈəː7 n
dơnê|z ˈəː7 n e1
dỡ|z ˈəː5 
dưa|z ˈyə7 
dương|z ˈyə7 ŋ
dương”|z ˈyə7 ŋ 
dưới|z ˈyəɜ j 
dưỡng|z ˈyə5 ŋ 
dươּng|d ˈe1  ˈy1  ˈəː1    h ˈiː1 b ɹ uː1  d ˈa1 ɡ ɛ1 ʃ   ˈɛ1 n əː2  ð ˈe7 
dừa|z ˈyə2 
dừng|z ˈy2 ŋ 
dứa|z ˈyəɜ 
dứt|z ˈyɜ t̪ 
dữ|z ˈy5 
dự|z ˈy6 
dựa|z ˈyə6 
dựng|z ˈy6 ŋ 
dưới|z ˈyəɜ j 
dướі|d ˈe1  ˈy1  ˈəːɜ    s ɪ1 ɹ ˈɪ1 l ɪ1 k  l ˈe1 t ə1   b ˈoɜ n  n ˈa1 m  s ˈaʊɜ  
dường|z ˈyə2 ŋ 
dưỡng|z ˈyə5 ŋ 
dược”|z ˈyə6 c 
dược…|z ˈyə6 c 
dượng|z ˈyə6 ŋ 
dư”|z ˈy7 
dạ|z ˈaː6
dạc|z ˈaː6 c
dại|z ˈaː6 j
dạm|z ˈaː6 m
dạng…|z ˈaː6 ŋ 
dạy|z ˈa6 j
dạ”|z ˈaː6 
dả|z ˈaː4
dải|z ˈaː4 j 
dấm|z ˈəɜ m
dấp|z ˈəɜ p
dấu”|z ˈəɜ w 
dần|z ˈə2 n 
dầu|z ˈə2 w 
dầu…|z ˈə2 w 
dầy|z ˈəɪ2
dẩn|z ˈə4 n
dẫm|z ˈə5 m
dẫn|z ˈə5 n 
dẫn”|z ˈə5 n 
dẫy|z ˈəɪ5
dậm|z ˈə6 m 
dận|z ˈə6 n
dập”|z ˈə6 p 
dật|z ˈə6 t̪
dậy|z ˈəɪ6
dậy…|z ˈəɪ6 
dắp|z ˈaɜ p 
dắt|z ˈaɜ t̪ 
dắt…|z ˈaɜ t̪ 
dằng|z ˈa2 ŋ
dẳng|z ˈa4 ŋ
dặc|z ˈa6 c
dặn|z ˈa6 n
dặt|z ˈa6 t̪
dẹo|z ˈɛ6 w 
dẹp”|z ˈɛ6 p 
dẻ|z ˈɛ4 
dết|z ˈeɜ t̪
dề|z ˈe2
dền|z ˈe2 n 
dềnh|z ˈe2 ɲ
dễ|z ˈe5
dện|z ˈe6 n
dị|z ˈi6
dịch|z ˈi6 c
dịch”|z ˈi6 c 
dịu|z ˈi6 w
dị”|z ˈi6 
dọa|z ˈo7 aː6
dọc|z ˈɔ6 k
dọn|z ˈɔ6 n
dỏi|z ˈɔ4 j
dỏng|z ˈɔ4 ŋ
dốc|z ˈoɜ k 
dối|z ˈoɜ j
dối”|z ˈoɜ j 
dồi…|z ˈo2 j 
dồn|z ˈo2 n
dỗ|z ˈo5 
dỗi|z ˈo5 j
dội|z ˈo6 j 
dột|z ˈo6 t̪
dớ|z ˈəːɜ
dới|z ˈəːɜ j
dớm|z ˈəːɜ m
dớn|z ˈəːɜ n 
dờn|z ˈəː2 n
dở'|z ˈəː4 
dở”|z ˈəː4 
dụ|z ˈu6
dụa|z ˈuə6
dục|z ˈu6 c 
dục”|z ˈu6 c 
dụi|z ˈu6 j
dụm|z ˈu6 m 
dụng|z ˈu6 ŋ 
dụng”|z ˈu6 ŋ 
dụng…|z ˈu6 ŋ 
dụt|z ˈu6 t̪ 
dụּc|d ˈe1  ˈu6    h ˈiː1 b ɹ uː1  d ˈa1 ɡ ɛ1 ʃ   s ˈe7 
dụ”|z ˈu6 
dủ|z ˈu4
dủi|z ˈu4 j
dứ|z ˈyɜ
dứng|z ˈyɜ ŋ
dứt|z ˈyɜ t̪ 
dừ|z ˈy2
dừa|z ˈyə2
dừng|z ˈy2 ŋ 
dừng”|z ˈy2 ŋ 
dữ|z ˈy5
dự|z ˈy6 
dựa|z ˈyə6 
dực|z ˈy6 c
dựng|z ˈy6 ŋ 
dựng”|z ˈy6 ŋ 
dựng…|z ˈy6 ŋ 
dự”|z ˈy6 
d’|d ˈe7 
d’amour| d ɐɐ m ˈʊə7  
e|ˈɛ7 
e&c|ˈɛ1  ɟ ˈəʊɜ v ˌaː2  s ˈe7 
ea| ˈiː7  
eaff| ˈiː7 f  
eagle| ˈiː7 ɡ ələl  
earth| ˈɜː7 θ  
earthrise| ˈɜː7 θ ɹ aɪ1 z  
eas| ˈiː7 z  
east| ˈiː7 s t  
eastwood| ˈiː7 s t w ʊ1 d  
easycredit| ˈiː7 z ɪ1 k ɹ ˌɛ1 d ɪ1 t  
eat| ˈiː7 t  
ebanking| ˈɛ7 b a1 ŋ k ɪ1 ŋ  
ebc|ˈɛ7 b c 
ebiowei| ˈɛ7 b ɪ1  ˌəʊəʊ eɪ1  
ebook| ˈiː7 b ʊ1 k  
ec| ˈɛ7 k  
ecb| ˈɛ7 k b  
ecdc| ˈɛ7 k d k  
echiura| ˈɛ7 tʃ ɪ1 j ˌuː1 ɹ ə1  
echo| ˈɛ7 k əʊəʊ  
eco| ˈiː7 k əʊəʊ  
ecocity”| ɛ1 k ˈɒ7 s ɪ1 t ii  
econ| ˈɛ7 k ə1 n  
economy| ɪ1 k ˈɒ7 n ə1 m ii  
economy”| ɪ1 k ˈɒ7 n ə1 m ii  
econtract| ˈɛ7 k ə1 n t ɹ ˌa1 k t  
ecopark| ˈɛ7 k ə1 p ˌɑːɑː k  
ecosport| ˈiː7 k əʊəʊ s p ˌɔːɔː t  
ecuado| ɛ1 k w ˈa7 d əʊəʊ  
ecuador| ˈɛ7 k w ɐɐ d ˌɔːɔː  
ed| ˈɛ7 d  
eda| ˈɛ7 d ə1  
edamame| ˈɛ7 d ɐɐ m ˌeɪ1 m  
eddie| ˈɛ7 d ii  
eden| ˈiː7 d ə1 n  
eder| ˈɛ7 d əə  
ederson| ˈɛ7 d əə s ə1 n  
edin| ˈɛ7 d ɪ1 n  
edinburgh| ˈɛ7 d ɪ1 n b ʌ1 ɹ ə1  
edinho| ɛ1 d ˈɪ7 n h əʊəʊ  
edinson| ˈɛ7 d ɪ1 n s ə1 n  
edison| ˈɛ7 d ɪ1 s ə1 n  
edition| ɪ1 d ˈɪ7 ʃ ə1 n  
edm|ˈɛ7 z m 
edmunds| ˈɛ7 d m ʌ1 n d z  
edo| ˈiː7 d əʊəʊ  
edouard| ˈɛ7 d w ɑː1 ɹ ə1 d  
edtech| ˈɛ7 d t ɛ1 k  
edu| ˈɛ7 d uː1  
eduardo| ɛ1 d w ˈɑːɑː d əʊəʊ  
education| ˌɛ1 dʒ uː1 k ˈeɪ7 ʃ ə1 n  
edupia| ɛ1 d j ˈuː7 p iə1  
edward| ˈɛ7 d w əə d  
edwards| ˈɛ7 d w əə d z  
edwin| ˈɛ7 d w ɪ1 n  
efast| ˈɛ7 f aa s t  
efootball| ˈɛ7 f ʊ1 t b ˌɔː1 l  
efren| ˈɛ7 f ɹ ə1 n  
egcg|ˈɛ1  ð ˈe7  s ˈe1  ð ˈe7 
egeland| ˈɛ7 dʒ ɛ1 l ə1 n d  
eghbali| ɛ1 ɡ b ˈɑː7 l ii  
eh|ˈɛ7 h
eib| ˈaɪ7 b  
eichinger| ˈaɪ7 k ɪ1 ŋ ɡ əə  
eiffel| ˈaɪ7 f ələl  
eight| ˈeɪ7 t  
einstein| ˈaɪ7 n s t aɪ1 n  
eisenhower| ˈaɪ7 z ə1 n h ˌaʊ1 əə  
eiu| ˈaɪ7 uː1  
ekip| ˈɛ7 k ɪ1 p  
el| ˌɛ1 l  
elanga| ɪ1 l ˈa7 ŋ ɡ ə1  
elastin| ɪ1 l ˈaa s t ɪ1 n  
elbit| ˈɛ7 l b ɪ1 t  
eldwin| ˈɛ7 l d w ɪ1 n  
ele| ɪ1 l ˈɛ7  
electronic| ɪ1 l ɛ1 k t ɹ ˈɒ7 n ɪ1 k  
electronics| ɪ1 l ɛ1 k t ɹ ˈɒ7 n ɪ1 k s  
elena| ɪ1 l ˈiː7 n ə1  
elephants| ˈɛ7 l ɪ1 f ə1 n t s  
eleutherodactylus| ɪ1 l ˈuː7 θ ə1 ɹ ˌɒ1 d ɐɐ k t ˌɪ1 l ə1 s  
elf| ˈɛ7 l f  
eli| ɪ1 l ii  
elie| ɪ1 l ˈaɪ7  
elite| ɪ1 l ˈiː7 t  
eliza| ɪ1 l ˈaɪ7 z ə1  
elizaberth| ɪ1 l ˈɪ7 z a1 b əə θ  
elizabeth| ɪ1 l ˈɪ7 z ə1 b ə1 θ  
elkan| ˈɛ7 l k ə1 n  
elkeson| ˈɛ7 l k ɛ1 s ə1 n  
elkhart| ˈɛ7 l k ɑːɑː t  
ella| ˈɛ7 l ə1  
elle|(en) ˈɛ7 l (vi)
elliot| ˈɛ7 l ɪ1  ə1 t  
elliott| ˈɛ7 l ɪ1  ə1 t  
ellis| ˈɛ7 l ɪ1 s  
elly| ˈɛ7 l ii  
elma| ˈɛ7 l m ə1  
elnef| ˈɛ7 l n ɛ1 f  
elo| ɪ1 l ˈəʊəʊ  
elon| ɪ1 l ˈɒ7 n  
elsbeth| ˈɛ7 l s b ə1 θ  
elsie| ˈɛ7 l s ii  
elías| ɪ1 l ˈɪ7  ə1 z  
em|ˈɛ7 m
ema| ɪ1 m ˈa7  
email| ˈiː7 m eɪ1 l  
emanuel| ɪ1 m ˈa7 n j uː1 ələl  
emart| ɪ1 m ˈɑːɑː t  
embraer| ɛ1 m b ɹ ˈɑːɑː  
emera| ɪ1 m ˈɜː7 ɹ ə1  
emerging| ɪ1 m ˈɜː7 dʒ ɪ1 ŋ  
emerick| ɪ1 m ˈɛ7 ɹ ɪ1 k  
emerson| ˈɛ7 m əə s ə1 n  
emery| ˈɛ7 m ə1 ɹ ii  
emil| ˈɛ7 m ɪ1 l  
emiliano| ˌɛ1 m ɪ1 l ii  ˈɑː7 n əʊəʊ  
emily| ˈɛ7 m ɪ1 l ii  
emirates| ˈɛ7 m ɪ1 ɹ ˌeɪ1 t s  
emma| ˈɛ7 m ə1  
emmanuel| ɪ1 m ˈa7 n j uː1 ələl  
emmy| ˈɛ7 m ii  
empéche|(en) ɛ1 m p ˈeɪ7 tʃ (vi)
emre| ɛ1 m ɹ ˈɛ7  
em“|ˈɛ7 m 
em”|ˈɛ7 m 
en|ˈɛ7 n
enabuse|(en) ɛ1 n ˈa7 b j uː1 s (vi)
enchantée|(en) ɛ1 n tʃ aa n t ˈeɪ7 (vi)
ende| ˈɛ7 n d  
endorphin| ɛ1 n d ˈɔːɔː f ɪ1 n  
endorphins| ɛ1 n d ˈɔːɔː f ɪ1 n z  
endrick| ɛ1 n d ɹ ˈɪ7 k  
energodar| ˈɛ7 n əə ɡ ˌɒ1 d ɑːɑː  
energy| ˈɛ7 n əə dʒ ii  
enerhodar| ˈɛ7 n əə h ˌɒ1 d ɑːɑː  
enfin|(en) ɛ1 n f ˈɪ7 n (vi)
engels| ˈɛ7 n dʒ ələl z  
engfa| ˈɛ7 ŋ ɡ f ə1  
engine| ˈɛ7 n dʒ ɪ1 n  
englishnow| ˈɪ7 ŋ ɡ l ɪ1 ʃ n ˌəʊəʊ  
eni| ɛ1 n ii  
enjoy| ɛ1 n dʒ ˈɔɪ7  
enner| ˈɛ7 n əə  
enola| ɪ1 n ˈəʊəʊ l ə1  
enrique| ɛ1 n ɹ ˈiː7 k eɪ1  
enron| ɛ1 n ɹ ˈɒ7 n  
enten| ɛ1 n t ˈɛ7 n  
enterprise| ˈɛ7 n t əə p ɹ ˌaɪ1 z  
entertainment| ˌɛ1 n t ə1 t ˈeɪ7 n m ə1 n t  
entrainer|(en) ɛ1 n t ɹ ˈeɪ7 n əə (vi)
entrertainment| ɛ1 n t ɹ ˈɜː7 t eɪ1 n m ə1 n t  
entrez|(en) ɛ1 n t ɹ ˈɛ7 z (vi)
enzo| ɛ1 n z ˈəʊəʊ  
enzym| ˈɛ7 n z ɪ1 m  
enzyme| ˈɛ7 n z aɪ1 m  
ep| ˈɛ7 p  
epass| ˈɛ7 p aa s  
epc| ˈɛ7 p k  
epigallocatechin| ˈɛ7 p ɪ1 ɡ ˌa1 l əʊəʊ k ˌa1 t ɪ1 tʃ ˌɪ1 n  
epoch| ˈɛ7 p ɒ1 k  
epr| ˈɛ7 p əə  
eps| ˈɛ7 p s  
epsom| ˈɛ7 p s ə1 m  
epstein| ˈɛ7 p s t aɪ1 n  
eq|ˈɛ7 k 
eqb|ˈɛ7 k b 
equity| ˈɛ7 k w ɪ1 t ii  
erbil| ˈɜː7 b ɪ1 l  
erc| ˈɜː7 k  
erdogan| ˈɜː7 d əʊəʊ ɡ ə1 n  
erenhot| ɪ1 ɹ ˈɛ7 n h ɒ1 t  
erex| ɪ1 ɹ ˈɛ7 k s  
eric| ˈɛ7 ɹ ɪ1 k  
erik| ˈɛ7 ɹ ɪ1 k  
eriksen| ˈɛ7 ɹ ɪ1 k s ə1 n  
erin| ˈɛ7 ɹ ɪ1 n  
erivo| ɛ1 ɹ ˈɪ7 v əʊəʊ  
erling| ˈɜː7 l ɪ1 ŋ  
ernie| ˈɜː7 n ii  
ernst| ˈɜː7 n s t  
eros|(en) ˈiə7 ɹ ɒ1 s (vi)
error| ˈɛ7 ɹ əə  
ertiga| ˈɜː7 t ɪ1 ɡ ə1  
erza| ˈɜː7 z ə1  
es|(en) ˈiː7 z (vi)
esaf| ˈɛ7 s a1 f  
escola| ɛ1 s k ˈəʊəʊ l ə1  
esculape| ˈɛ7 s k j ʊ1 l ˌeɪ1 p  
esg| ˈɛ7 s ɡ  
esign| ˈɛ7 s aɪ1 n  
esim| ˈɛ7 s ɪ1 m  
esop| ˈɛ7 s ə1 p  
esp| ˈɛ7 s p  
espanyol| ɛ1 s p ˈa7 n ɪ1  ˌɒ1 l  
espn| ˌiː1  ˌɛ1 s p ˌiː1  ˈɛ7 n  
esports| ɛ1 s p ˈɔːɔː t s  
esr| ˈɛ7 s əə  
essayer|(en) ˈɛ7 s eɪ1 əə (vi)
essensia| ɛ1 s ˈɛ7 n s iə1  
est|(en) ˌiː1  ˌɛ1 s t ˈiː7 (vi)
esteban| ˈɛ7 s t ɛ1 b ə1 n  
esther| ˈɛ7 s t əə  
estonia| ɛ1 s t ˈəʊəʊ n iə1  
estrada| ɛ1 s t ɹ ˈɑː7 d ə1  
estrogen| ˈɛ7 s t ɹ ə1 dʒ ə1 n  
eswatini| ˌɛ1 s w ə1 t ˈiː7 n ɪ1  
et|(en) ˈɛ7 t (vi)
etc| ɛ1 t s ˈɛ7 t ɹ ə1  
etf| ˈɛ7 t f  
eth| ˈɛ7 θ  
ethanol| ˈɛ7 θ ɐɐ n ˌɒ1 l  
ethereum| ˌiː1 θ ə1 ɹ ˈiː7  ə1 m  
ethics| ˈɛ7 θ ɪ1 k s  
ethiopia| ˌiː1 θ ɪ1  ˈəʊəʊ p iə1  
ethylene| ˈɛ7 θ ɪ1 l ˌiː1 n  
eticket| ˈɛ7 t ɪ1 k ɪ1 t  
etienne| ˌɛ1 t ɪ1  ˈɛ7 n  
etihad| ˈɛ7 t ɪ1 h ˌa1 d  
eto'o| ˈɛ7 t ə1 ɹ ˌəʊəʊ  
eton| ˈiː7 t ə1 n  
eto’o| ˈɛ7 t ə1 ɹ ˌəʊəʊ  
ettore| ˈɛ7 t əə  
eu| ˌiː1 j ˈuː7  
euan| j ˈuː7 ə1 n  
eugene| j ˈuː7 dʒ iː1 n  
eui| j ˈuː7 ii  
eum| ˈiː7  ə1 m  
eun| j ˈuː7 n  
eur|(en) j ˈʊə7 (vi)
euro| j ˈʊə7 ɹ əʊəʊ  
eurocham| j ˈʊə7 ɹ əʊəʊ tʃ ə1 m  
eurofighter| j ˈʊə7 ɹ əʊəʊ f ˌaɪ1 t əə  
europa| j ʊə1 ɹ ˈəʊəʊ p ə1  
europe| j ˈʊə7 ɹ ə1 p  
europium| j ʊə1 ɹ ˈəʊəʊ p iə1 m  
européens|(en) j ˈʊə7 ɹ əʊəʊ p ˌiː1 n z (vi)
eurowindow…| j ˈʊə7 ɹ əʊəʊ w ˌɪ1 n d əʊəʊ  
eurozone| j ˈʊə7 ɹ əʊəʊ z ˌəʊəʊ n  
eu…| ˌiː1 j ˈuː7  
ev| ˈɛ7 v  
eva| ˈiː7 v ə1  
evangelisti| ɪ1 v ˌa1 n dʒ ɪ1 l ˈɪ7 s t ii  
evans| ˈɛ7 v ə1 n z  
evason| ɪ1 v ˈa7 s ə1 n  
eve| ˈiː7 v  
evening| ˈiː7 v n ɪ1 ŋ  
event| ɪ1 v ˈɛ7 n t  
everest| ˈɛ7 v əə ɹ ɪ1 s t  
evergrande| ˈɛ7 v əə ɡ ɹ ˌa1 n d  
everland| ˌɛ1 v əə l ˈa7 n d  
everon| ˈɛ7 v əə ɹ ə1 n  
everton| ˈɛ7 v əə t ə1 n  
evfta| ˈɛ7 v f t ə1  
evil| ˈiː7 v ələl  
evli| ˈɛ7 v l ii  
evn| ˈɛ7 v ə1 n  
evncpc| ˈɛ7 v ŋ k p k  
evnnpc| ˈɛ7 v n p k  
evnnpt| ˈɛ7 v n p t  
evos| ˈiː7 v əʊəʊ z  
evremond|(en) ˈɛ7 v ɹ ɛ1 m ə1 n d (vi)
excessive|(en) ɛ1 k s ˈɛ7 s ɪ1 v (vi)
exciter|(en) ɛ1 k s ˈaɪ7 t əə (vi) 
exco| ɛ1 k s k ˈəʊəʊ  
excès|(en) ɛ1 k s ˈɛ7 ɪ1 z (vi)
executive| ɛ1 ɡ z ˈɛ7 k j uː1 t ˌɪ1 v  
exercer|(en) ˈɛ7 k s əə s əə (vi)
exhibition| ɛ1 k s ɪ1 b ˈɪ7 ʃ ə1 n  
eximbank| ɛ1 ɡ z ˈɪ7 m b a1 ŋ k  
exness| ɛ1 k s n ˈɛ7 s  
exo| ɛ1 ɡ z ˈəʊəʊ  
exogen| ɛ1 ɡ z ˈəʊəʊ dʒ ə1 n  
experience| ɛ1 k s p ˈiə7 ɹ ɪ1  ə1 n s  
explica|(en) ɛ1 k s p l ˈɪ7 k ə1 (vi)
explorer| ɛ1 k s p l ˈɔːɔː ɹ əə  
express| ɛ1 k s p ɹ ˈɛ7 s  
extrême|(en) ɛ1 k s t ɹ ˈeə7 m (vi)
ey| ˈaɪ7  
eydison| ˈaɪ7 d ɪ1 s ə1 n  
eyes“| ˈaɪ7 z  
ey”| ˈaɪ7  
ezzor| ˈɛ7 z əə  
ép|ˈɛɜ p 
f|ˈɛɜ p 
f&b|ˈɛɜ p  ɟ ˈəʊɜ v ˌaː2  b ˈe7 
faa| f ˈɑː7  
fabelmans”| f ˈeɪ7 b l m ə1 n z  
fabianski| f a1 b ˈiə7 n s k ɪ1  
fabinho| f a1 b ˈɪ7 n h əʊəʊ  
fabio| f ˈa7 b ɪ1  ˌəʊəʊ  
fabregas| f ˈa7 b ɹ ɛ1 ɡ ə1 z  
fabrizio| f a1 b ɹ ˈɪ7 z ɪ1  ˌəʊəʊ  
fabulous”| f ˈa7 b j ʊ1 l ə1 s  
fabían| f ˈa7 b iə1 n  
face| f ˈeɪ7 s  
facebook|(en) f ˈeɪ7 s b ʊ1 k (vi) 
facelift| f ˈeɪ7 s l ɪ1 f t  
facetime…| f ˈeɪ7 s t aɪ1 m  
factor| f ˈa7 k t əə  
facundo| f a1 k ˈʌ7 n d əʊəʊ  
fadil| f ˈa7 d ɪ1 l  
faeser| f ˈiː7 s əə  
fahad| f ˈa7 h a1 d  
fai| f ˈaɪ7  
faik| f ˈeɪ7 k  
faiq| f ˈeɪ7 k  
fair| f ˈeə7  
fairway| f ˈeə7 w eɪ1  
faisal| f ˈaɪ7 s ələl  
fait|(en) f ˈeɪ7 t (vi)
fake| f ˈeɪ7 k  
fake”| f ˈeɪ7 k  
falcao| f ˈa7 l k aʊ1  
falcon| f ˈa7 l k ə1 n  
falk| f ˈɒ7 l k  
fallon| f ˈɔː7 l ə1 n  
falmouth| f ˈa7 l m ə1 θ  
fam| f ˈa7 m  
fame| f ˈeɪ7 m  
fami| f ˈɑː7 m ii  
family| f ˈa7 m ɪ1 l ii  
family’s| f ˈa7 m ɪ1 l ii z  
famtrip| f ˈa7 m t ɹ ɪ1 p  
fan| f ˈa7 n  
fanboy| f ˈa7 n b ɔɪ1  
fandi| f ˈa7 n d ii  
fandom| f ˈa7 n d ə1 m  
fanmeeting| f ˈa7 n m iː1 t ɪ1 ŋ  
fanning| f ˈa7 n ɪ1 ŋ  
fanpage| f ˈa7 n p eɪ1 dʒ  
fans| f ˈa7 n z  
fansipan| f ˈa7 n s ɪ1 p ˌa1 n  
fantasy| f ˈaa n t ə1 s ii  
fanzone| f ˈa7 n z əʊəʊ n  
fareed| f ˈa7 ɹ iː1 d  
fares| f ˈeə7 z  
faris| f ˈɑːɑː ɹ ɪ1 s  
farm| f ˈɑːɑː m  
farmer| f ˈɑːɑː m əə  
farms| f ˈɑːɑː m z  
faroe| f ˈeə7 ɹ əʊəʊ  
farr| f ˈɑːɑː  
fashionista| f ˈa7 ʃ ə1 n ˌɪ1 s t ə1  
faslink| f ˈa7 s l ɪ1 ŋ k  
fast| f ˈaa s t  
fastro| f ˈa7 s t ɹ əʊəʊ  
fat| f ˈa7 t  
fatima| f ˈa7 t ɪ1 m ə1  
fauci| f ˈɔː7 s aɪ1  
fbi| ˌɛ1 f b ˌiː1  ˈaɪ7  
fc|ˌɛɜ p s ˈe7 
fca| ˌɛ1 f s ˌiː1  ˈeɪ7  
fcn|ˌɛɜ p s ˌe1 ˈɛ7 n əː2 
fda| ˌɛ1 f d ˌiː1  ˈeɪ7  
fdg|ˌɛɜ p d ˌe1 ð ˈe7 
fdi| ˌɛ1 f d ˌiː1  ˈaɪ7  
fe| f ˈiː7  
feather| f ˈɛ7 ð əə  
fecon| f ˈɛ7 k ə1 n  
fed| f ˈɛ7 d  
federer| f ˈɛ7 d əə ɹ əə  
federico| f ˈɛ7 d əə ɹ ɪ1 k ˌəʊəʊ  
fedex| f ˈɛ7 d ɛ1 k s  
fedorov| f ˈɛ7 d ɔːɔː ɹ ˌɒ1 v  
feed| f ˈiː7 d  
feet| f ˈiː7 t  
fee”| f ˈiː7  
felicia| f ɛ1 l ˈɪ7 ʃ ə1  
feliciano| f ɛ1 l ˈɪ7 ʃ ə1 n ˌəʊəʊ  
