&| v ˈɛ
gerekecek|ɟ e ɾ e k e dʒ ˈɛ k
gerekecektir|ɟ e ɾ e k e dʒ ˈɛ k t ɪ r
gereken|ɟ ˈe ɾ e c æ n
gerekenden|ɟ e ɾ ˈe c æ n d æ n
gerekene|ɟ e ɾ ˈe c e n ɛ
gerekeni|ɟ e ɾ ˈe c e n ɪ
gerekenler|ɟ e ɾ ˈe c æ n l ɛ r
gerekenlere|ɟ e ɾ e k æ n l e ɾ ˈɛ
gerekenleri|ɟ e ɾ e k æ n l e ɾ ˈɪ
gerekenlerin|ɟ e ɾ e k æ n l e ɾ ˈɪ n
gereken…|ɟ ˈe ɾ e c æ n
gerekilen|ɟ e ɾ e k i l ˈæ n
gerekip|ɟ e ɾ e k ˈɪ p
gerekir|ɟ e ɾ e k ˈɪ r
gerekirdi|ɟ e ɾ e k ɪ r d ˈɪ
gerekirken|ɟ e ɾ e k ˈɪ r c æ n
gerekirse|ɟ e ɾ e k ˈɪ r s ɛ
gerekirse…|ɟ e ɾ e k ˈɪ r s ɛ
gerekir”|ɟ e ɾ e k ˈɪ r
gerekiyor|ɟ e ɾ e k ˈi j ɔ r
gerekiyor'|ɟ e ɾ e k ˈi j ɔ r
gerekiyordu|ɟ e ɾ e k ˈi j ɔ r d ʊ
gerekiyordu'|ɟ e ɾ e k ˈi j ɔ r d ʊ
gerekiyorsa|ɟ e ɾ e k ˈi j ɔ r s a
gerekiyor”|ɟ e ɾ e k ˈi j ɔ r
gereklerine|ɟ e ɾ ɛ k l e ɾ i n ˈɛ
gereklerini|ɟ e ɾ ɛ k l e ɾ i n ˈɪ
gerekli|ɟ e ɾ ɛ k l ˈɪ
gereklidir|ɟ e ɾ ɛ k l ˈi d ɪ r
gereklilikken|ɟ e ɾ ɛ k l i l i kː ˈæ n
gereklilikler|ɟ e ɾ ɛ k l i l ɪ k l ˈɛ r
gerekliliklerine|ɟ e ɾ ɛ k l i l ɪ k l e ɾ i n ˈɛ
gerekliliklerini|ɟ e ɾ ɛ k l i l ɪ k l e ɾ i n ˈɪ
gerekliliği|ɟ e ɾ ɛ k l i l i j ˈɪ
gerekliliğidir|ɟ e ɾ ɛ k l i l i j ˈi d ɪ r
gerekliliğine|ɟ e ɾ ɛ k l i l i j i n ˈɛ
gerekliliğini|ɟ e ɾ ɛ k l i l i j i n ˈɪ
gerekliydi|ɟ e ɾ ɛ k l ɪ j d ˈɪ
gerekmediğini|ɟ e ɾ ɛ k m e d i j i n ˈɪ
gerekmekte|ɟ e ɾ ɛ k m ɛ k t ˈɛ
gerekmektedir|ɟ e ɾ ɛ k m ɛ k t ˈe d ɪ r
gerekmemektedir|ɟ e ɾ ɛ k m e m ɛ k t ˈe d ɪ r
gerekmeyecek|ɟ e ɾ ˈɛ k m e j e dʒ ɛ k
gerekmez|ɟ e ɾ ɛ k m ˈɛ z
gerekmiyor|ɟ e ɾ ɛ k m ˈi j ɔ r
gerekse|ɟ e ɾ ˈɛ k s ɛ
gereksinim|ɟ e ɾ ɛ k s ˈi n ɪ m
gereksinimiz|ɟ e ɾ ɛ k s ˈi n i m ɪ z
gereksinimleri|ɟ e ɾ ɛ k s i n ɪ m l e ɾ ˈɪ
gereksinimlerin|ɟ e ɾ ɛ k s i n ɪ m l e ɾ ˈɪ n
gereksinimlerini|ɟ e ɾ ɛ k s i n ɪ m l e ɾ i n ˈɪ
gereksiz|ɟ e ɾ ˈɛ k s ɪ z
gereksizdir|ɟ e ɾ ˈɛ k s ɪ z d ɪ r
gerekti|ɟ e ɾ ɛ k t ˈɪ
gerektigi|ɟ e ɾ ɛ k t i ɟ ˈɪ
gerektiklerini|ɟ e ɾ ɛ k t ɪ k l e ɾ i n ˈɪ
gerektir|ɟ e ɾ ˈɛ k t ɪ r
gerektirdiği|ɟ e ɾ ɛ k t ɪ r d i j ˈɪ
gerektirdiğini|ɟ e ɾ ɛ k t ɪ r d i j i n ˈɪ
gerektirebilir|ɟ e ɾ ɛ k t i ɾ e b i l ˈɪ r
gerektirecek|ɟ e ɾ ˈɛ k t i ɾ e dʒ ɛ k
gerektirecektir|ɟ e ɾ ɛ k t i ɾ e dʒ ˈɛ k t ɪ r
gerektiren|ɟ e ɾ ɛ k t i ɾ ˈæ n
gerektirir|ɟ e ɾ ɛ k t i ɾ ˈɪ r
gerektiriyor|ɟ e ɾ ˈɛ k t i ɾ i j ɔ r
gerektiriyordu|ɟ e ɾ ɛ k t i ɾ ˈi j ɔ r d ʊ
gerektiriyorsa|ɟ e ɾ ɛ k t i ɾ ˈi j ɔ r s a
gerektirmedikçe|ɟ e ɾ ɛ k t ɪ r m e d ˈɪ k tʃ ɛ
gerektirmek|ɟ e ɾ ɛ k t ɪ r m ˈɛ k
gerektirmektedir|ɟ e ɾ ɛ k t ɪ r m ɛ k t ˈe d ɪ r
gerektirmeyen|ɟ e ɾ ɛ k t ɪ r m e j ˈæ n
gerektirmez|ɟ e ɾ ɛ k t ɪ r m ˈɛ z
gerektirmiyor|ɟ e ɾ ɛ k t ɪ r m ˈi j ɔ r
gerektiyse|ɟ e ɾ ɛ k t ˈɪ j s ɛ
gerektiği|ɟ e ɾ ɛ k t i j ˈɪ
gerektiği'|ɟ e ɾ ɛ k t i j ˈɪ
gerektiğidir|ɟ e ɾ ɛ k t i j ˈi d ɪ r
gerektiğinde|ɟ e ɾ ɛ k t i j ɪ n d ˈɛ
gerektiğinden|ɟ e ɾ ɛ k t i j ɪ n d ˈæ n
gerektiğine|ɟ e ɾ ɛ k t i j i n ˈɛ
gerektiğini|ɟ e ɾ ɛ k t i j i n ˈɪ
gerektiğinin|ɟ e ɾ ɛ k t i j i n ˈɪ n
gerektiğiniz|ɟ e ɾ ɛ k t ˈi j i n ɪ z
gerektiğini”|ɟ e ɾ ɛ k t i j i n ˈɪ
gerektiği”|ɟ e ɾ ɛ k t i j ˈɪ
gerekçe|ɟ e ɾ ˈɛ k tʃ ɛ
gerekçeler|ɟ e ɾ ˈɛ k tʃ ɛ l ɛ r
gerekçeleri|ɟ e ɾ ɛ k tʃ e l e ɾ ˈɪ
gerekçelerine|ɟ e ɾ ɛ k tʃ e l e ɾ i n ˈɛ
gerekçelerle|ɟ e ɾ ɛ k tʃ e l ˈɛ r l ɛ
gerekçeli|ɟ e ɾ ˈɛ k tʃ ɛ l ɪ
gerekçemiz|ɟ e ɾ ɛ k tʃ ˈe m ɪ z
gerekçenin|ɟ e ɾ ˈɛ k tʃ ɛ n ɪ n
gerekçesi|ɟ e ɾ ɛ k tʃ e s ˈɪ
gerekçesinde|ɟ e ɾ ɛ k tʃ e s ɪ n d ˈɛ
gerekçesine|ɟ e ɾ ɛ k tʃ e s i n ˈɛ
gerekçesini|ɟ e ɾ ɛ k tʃ e s i n ˈɪ
gerekçesiyle|ɟ e ɾ ɛ k tʃ e s ˈɪ j l ɛ
gerekçesiz|ɟ e ɾ ɛ k tʃ ˈe s ɪ z
gerekçeyle|ɟ e ɾ ˈɛ k tʃ ɛ j l ɛ
geren|ɟ e ɾ ˈæ n
gereneksel|ɟ e ɾ e n ɛ k s ˈæ l
gererek|ɟ e ɾ e ɾ ˈɛ k
gerersek|ɟ e ɾ ˈɛ r s ɛ k
gereydir|ɟ e ɾ ˈɛ j d ɪ r
gereyini|ɟ e ɾ e j i n ˈɪ
gereç|ɟ e ɾ ˈɛ tʃ
gereçler|ɟ e ɾ ɛ tʃ l ˈɛ r
gereçleri|ɟ e ɾ ɛ tʃ l e ɾ ˈɪ
gereği|ɟ e ɾ e j ˈɪ
gereği'|ɟ e ɾ e j ˈɪ
gereğidir|ɟ e ɾ e j ˈi d ɪ r
gereğince|ɟ e ɾ e j ˈɪ n dʒ ɛ
gereğinden|ɟ e ɾ e j ɪ n d ˈæ n
gereğine|ɟ e ɾ e j i n ˈɛ
gereğini|ɟ e ɾ e j i n ˈɪ
gereğinin|ɟ e ɾ e j i n ˈɪ n
gergerlioğlu|ɟ ɛ r ɟ ɛ r l i oː ɫ ˈʊ
gergerlioğlu'na|ɟ ɛ r ɟ ɛ r l i oː ɫ u n ˈa
gergerlioğlu'nun|ɟ ɛ r ɟ ɛ r l i oː ɫ u n ˈʊ n
gergerlioğlu’nu|ɟ ɛ r ɟ ɛ r l i oː ɫ u n ˈʊ
gergiev'i|ɟ ɛ r ɟ i e v ˈɪ
gergin|ɟ ɛ r ɡ ˈɪ n
gergindi|ɟ ɛ r ɟ ɪ n d ˈɪ
gerginleştirdi|ɟ ɛ r ɟ ɪ n l ˈɛ ʃ t ɪ r d ɪ
gerginlik|ɟ ɛ r ɟ ɪ n l ˈɪ k
gerginlikler|ɟ ɛ r ɟ ɪ n l ɪ k l ˈɛ r
gerginliklere|ɟ ɛ r ɟ ɪ n l ɪ k l e ɾ ˈɛ
gerginliklerin|ɟ ɛ r ɟ ɪ n l ɪ k l e ɾ ˈɪ n
gerginlikten|ɟ ɛ r ɟ ɪ n l ɪ k t ˈæ n
gerginliğe|ɟ ɛ r ɟ ɪ n l i j ˈɛ
gerginliği|ɟ ɛ r ɟ ɪ n l i j ˈɪ
gerginliğin|ɟ ɛ r ɟ ɪ n l i j ˈɪ n
gerginliğinin|ɟ ɛ r ɟ ɪ n l i j i n ˈɪ n
geri|ɟ e ɾ ˈɪ
gerici|ɟ e ɾ i dʒ ˈɪ
gericilik|ɟ e ɾ i dʒ i l ˈɪ k
geride|ɟ e ɾ i d ˈɛ
gerideki|ɟ e ɾ i d e k ˈɪ
geriden|ɟ e ɾ i d ˈæ n
gerideyiz|ɟ e ɾ i d ˈe j ɪ z
gerildi|ɟ e ɾ ɪ l d ˈɪ
gerilebilir|ɟ e ɾ i l e b i l ˈɪ r
gerileceğini|ɟ e ɾ i l e dʒ e j i n ˈɪ
geriledi|ɟ e ɾ ˈi l e d ɪ
gerileme|ɟ e ɾ ˈi l e m ɛ
gerilemesi|ɟ e ɾ i l e m e s ˈɪ
gerilemesine|ɟ e ɾ i l e m e s i n ˈɛ
gerilemesinin|ɟ e ɾ i l e m e s i n ˈɪ n
gerilemesiyle|ɟ e ɾ i l e m e s ˈɪ j l ɛ
gerilemeye|ɟ e ɾ i l ˈe m e j ɛ
gerilemişti|ɟ e ɾ i l e m ɪ ʃ t ˈɪ
gerilen|ɟ e ɾ i l ˈæ n
gerilerde|ɟ e ɾ i l ɛ r d ˈɛ
gerilerek|ɟ e ɾ i l e ɾ ˈɛ k
gerileten|ɟ e ɾ ˈi l e t æ n
gerileyecekti…|ɟ e ɾ i l e j e dʒ ɛ k t ˈɪ
gerileyen|ɟ e ɾ i l e j ˈæ n
gerilim|ɟ e ɾ ˈi l ɪ m
gerilimde|ɟ e ɾ ˈi l ɪ m d ɛ
gerilimden|ɟ e ɾ ˈi l ɪ m d æ n
gerilime|ɟ e ɾ i l ˈi m ɛ
gerilimi|ɟ e ɾ ˈi l i m ɪ
gerilimin|ɟ e ɾ ˈi l i m ɪ n
geriliminde|ɟ e ɾ i l i m ɪ n d ˈɛ
gerilimini|ɟ e ɾ i l i m i n ˈɪ
geriliminin|ɟ e ɾ i l i m i n ˈɪ n
gerilimle|ɟ e ɾ ˈi l ɪ m l ɛ
gerilimler|ɟ e ɾ ˈi l ɪ m l ɛ r
gerilimleri|ɟ e ɾ i l ɪ m l e ɾ ˈɪ
gerilimlerin|ɟ e ɾ i l ɪ m l e ɾ ˈɪ n
gerilir|ɟ e ɾ i l ˈɪ r
geriliyor|ɟ e ɾ i l ˈi j ɔ r
geriliği|ɟ e ɾ i l i j ˈɪ
gerilla|ɟ e ɾ ˈɪ l ɫ a
gerillacılık|ɟ e ɾ ɪ l ɫ a dʒ ɯ ɫ ˈɯ k
gerilmeleri|ɟ e ɾ ɪ l m e l e ɾ ˈɪ
gerilmesi|ɟ e ɾ ɪ l m e s ˈɪ
gerilmişken|ɟ e ɾ ɪ l m ˈɪ ʃ c æ n
gerim|ɟ ˈe ɾ ɪ m
gerimizde|ɟ e ɾ ˈi m ɪ z d ɛ
gerinir|ɟ e ɾ i n ˈɪ r
gerisi|ɟ e ɾ i s ˈɪ
gerisin|ɟ e ɾ i s ˈɪ n
gerisinde|ɟ e ɾ i s ɪ n d ˈɛ
gerisinden|ɟ e ɾ i s ɪ n d ˈæ n
gerisine|ɟ e ɾ i s i n ˈɛ
gerisingeriye|ɟ e ɾ i s ɪ n ɟ e ɾ i j ˈɛ
gerisini|ɟ e ɾ i s i n ˈɪ
gerisiniz|ɟ e ɾ ˈi s i n ɪ z
gerisiyse|ɟ e ɾ i s ˈɪ j s ɛ
geriye|ɟ e ɾ i j ˈɛ
geriyorsun”|ɟ e ɾ i j ɔ r s ˈʊ n
gerizekalı|ɟ e ɾ i z e k a ɫ ˈɯ
gerizekalıların|ɟ e ɾ i z e k a ɫ ɯ ɫ a ɾ ˈɯ n
geriği|ɟ e ɾ i j ˈɪ
gerken|ɟ ˈɛ r c æ n
germain|ɟ ˈɛ r m a ɪ n
germain'deki|ɟ ɛ r m a ɪ n d e k ˈɪ
germain'den|ɟ ɛ r m a ɪ n d ˈæ n
german|ɟ ɛ r m ˈa n
germania’ya|ɟ ɛ r m a n i a j ˈa
germe|ɟ ˈɛ r m ɛ
germekten|ɟ ɛ r m ɛ k t ˈæ n
germeye|ɟ ˈɛ r m e j ɛ
gerry|ɟ ˈɛ r r j
gervinho'ya|ɟ ɛ r v ɪ n h o j ˈa
gervonta|ɟ ɛ r v ɔ n t ˈa
gerz|ɟ ˈɛ r z
gerz'in|ɟ ɛ r z ˈɪ n
gerçek|ɟ ɛ r tʃ ˈɛ k
gerçek'in|ɟ ɛ r tʃ e k ˈɪ n
gerçekdışı|ɟ ɛ r tʃ ɛ k d ɯ ʃ ˈɯ
gerçekle|ɟ ɛ r tʃ ˈɛ k l ɛ
gerçekler|ɟ ɛ r tʃ ɛ k l ˈɛ r
gerçeklerden|ɟ ɛ r tʃ ɛ k l ɛ r d ˈæ n
gerçeklere|ɟ ɛ r tʃ ɛ k l e ɾ ˈɛ
gerçekleri|ɟ ɛ r tʃ ɛ k l e ɾ ˈɪ
gerçeklerin|ɟ ɛ r tʃ ɛ k l e ɾ ˈɪ n
gerçeklerinden|ɟ ɛ r tʃ ɛ k l e ɾ ɪ n d ˈæ n
gerçeklerine|ɟ ɛ r tʃ ɛ k l e ɾ i n ˈɛ
gerçekleriyle|ɟ ɛ r tʃ ɛ k l e ɾ ˈɪ j l ɛ
gerçeklerle|ɟ ɛ r tʃ ɛ k l ˈɛ r l ɛ
gerçeklestirilen|ɟ ɛ r tʃ ɛ k l ɛ s t i ɾ i l ˈæ n
gerçekleşebileceği|ɟ ɛ r tʃ ɛ k l e ʃ e b i l e dʒ e j ˈɪ
gerçekleşebilir|ɟ ɛ r tʃ ɛ k l e ʃ e b i l ˈɪ r
gerçekleşebilmektedir|ɟ ɛ r tʃ ɛ k l e ʃ e b ɪ l m ɛ k t ˈe d ɪ r
gerçekleşebilmesi|ɟ ɛ r tʃ ɛ k l e ʃ e b ɪ l m e s ˈɪ
gerçekleşecek|ɟ ɛ r tʃ ɛ k l e ʃ e dʒ ˈɛ k
gerçekleşecektir|ɟ ɛ r tʃ ɛ k l e ʃ e dʒ ˈɛ k t ɪ r
gerçekleşeceği|ɟ ɛ r tʃ ɛ k l e ʃ e dʒ e j ˈɪ
gerçekleşen|ɟ ɛ r tʃ ɛ k l e ʃ ˈæ n
gerçekleşene|ɟ ɛ r tʃ ɛ k l e ʃ e n ˈɛ
gerçekleşir|ɟ ɛ r tʃ ɛ k l e ʃ ˈɪ r
gerçekleşirken|ɟ ɛ r tʃ ɛ k l e ʃ ˈɪ r c æ n
gerçekleşirse|ɟ ɛ r tʃ ɛ k l e ʃ ˈɪ r s ɛ
gerçekleşir”|ɟ ɛ r tʃ ɛ k l e ʃ ˈɪ r
gerçekleşiyor|ɟ ɛ r tʃ ɛ k l e ʃ ˈi j ɔ r
gerçekleşme|ɟ ɛ r tʃ ɛ k l ˈɛ ʃ m ɛ
gerçekleşmeden|ɟ ɛ r tʃ ɛ k l ˈɛ ʃ m e d æ n
gerçekleşmedi|ɟ ɛ r tʃ ɛ k l ˈɛ ʃ m e d ɪ
gerçekleşmediği|ɟ ɛ r tʃ ɛ k l ɛ ʃ m e d i j ˈɪ
gerçekleşmektedir|ɟ ɛ r tʃ ɛ k l ɛ ʃ m ɛ k t ˈe d ɪ r
gerçekleşmelerine|ɟ ɛ r tʃ ɛ k l ɛ ʃ m e l e ɾ i n ˈɛ
gerçekleşmelidir|ɟ ɛ r tʃ ɛ k l ɛ ʃ m e l ˈi d ɪ r
gerçekleşmemesi|ɟ ɛ r tʃ ɛ k l ɛ ʃ m e m e s ˈɪ
gerçekleşmemiştir|ɟ ɛ r tʃ ɛ k l ɛ ʃ m e m ˈɪ ʃ t ɪ r
gerçekleşmese|ɟ ɛ r tʃ ɛ k l ˈɛ ʃ m e s ɛ
gerçekleşmesi|ɟ ɛ r tʃ ɛ k l ɛ ʃ m e s ˈɪ
gerçekleşmesini|ɟ ɛ r tʃ ɛ k l ɛ ʃ m e s i n ˈɪ
gerçekleşmesinin|ɟ ɛ r tʃ ɛ k l ɛ ʃ m e s i n ˈɪ n
gerçekleşmeye|ɟ ɛ r tʃ ɛ k l ˈɛ ʃ m e j ɛ
gerçekleşmeyecek|ɟ ɛ r tʃ ɛ k l ˈɛ ʃ m e j e dʒ ɛ k
gerçekleşmeyeceğini|ɟ ɛ r tʃ ɛ k l ɛ ʃ m e j e dʒ e j i n ˈɪ
gerçekleşmeyeceğinin|ɟ ɛ r tʃ ɛ k l ɛ ʃ m e j e dʒ e j i n ˈɪ n
gerçekleşmez|ɟ ɛ r tʃ ɛ k l ɛ ʃ m ˈɛ z
gerçekleşmezse|ɟ ɛ r tʃ ɛ k l ɛ ʃ m ˈɛ z s ɛ
gerçekleşmiyor|ɟ ɛ r tʃ ɛ k l ɛ ʃ m ˈi j ɔ r
gerçekleşmiyorsa|ɟ ɛ r tʃ ɛ k l ɛ ʃ m ˈi j ɔ r s a
gerçekleşmiş|ɟ ɛ r tʃ ɛ k l ɛ ʃ m ˈɪ ʃ
gerçekleşmiştir”|ɟ ɛ r tʃ ɛ k l ɛ ʃ m ˈɪ ʃ t ɪ r
gerçekleşmiş”|ɟ ɛ r tʃ ɛ k l ɛ ʃ m ˈɪ ʃ
gerçekleşse|ɟ ɛ r tʃ ɛ k l ˈɛ ʃ s ɛ
gerçekleşti|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ˈɪ
gerçekleştirdi|ɟ ɛ r tʃ ɛ k l ˈɛ ʃ t ɪ r d ɪ
gerçekleştirdik|ɟ ɛ r tʃ ɛ k l ˈɛ ʃ t ɪ r d ɪ k
gerçekleştirdikleri|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ɪ r d ɪ k l e ɾ ˈɪ
gerçekleştirdiklerini|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ɪ r d ɪ k l e ɾ i n ˈɪ
gerçekleştirdikten|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ɪ r d ɪ k t ˈæ n
gerçekleştirdik”|ɟ ɛ r tʃ ɛ k l ˈɛ ʃ t ɪ r d ɪ k
gerçekleştirdik…|ɟ ɛ r tʃ ɛ k l ˈɛ ʃ t ɪ r d ɪ k
gerçekleştirdiler|ɟ ɛ r tʃ ɛ k l ˈɛ ʃ t ɪ r d i l ɛ r
gerçekleştirdim|ɟ ɛ r tʃ ɛ k l ˈɛ ʃ t ɪ r d ɪ m
gerçekleştirdiği|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ɪ r d i j ˈɪ
gerçekleştirdiğim|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ɪ r d ˈi j ɪ m
gerçekleştirdiğimi|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ɪ r d ˈi j i m ɪ
gerçekleştirdiğimiz|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ɪ r d ˈi j i m ɪ z
gerçekleştirdiğine|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ɪ r d i j i n ˈɛ
gerçekleştirdiğini|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ɪ r d i j i n ˈɪ
gerçekleştirdiğiniz|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ɪ r d ˈi j i n ɪ z
gerçekleştirdiğinizde|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ɪ r d ˈi j i n ɪ z d ɛ
gerçekleştirebilecek|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ e b i l e dʒ ˈɛ k
gerçekleştirebileceği|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ e b i l e dʒ e j ˈɪ
gerçekleştirebileceğine|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ e b i l e dʒ e j i n ˈɛ
gerçekleştirebileceğini|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ e b i l e dʒ e j i n ˈɪ
gerçekleştirebilen|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ e b i l ˈæ n
gerçekleştirebilir|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ e b i l ˈɪ r
gerçekleştirebilirler|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ e b i l ɪ r l ˈɛ r
gerçekleştirebilirsiniz|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ e b i l ˈɪ r s i n ɪ z
gerçekleştirebiliyor|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ e b i l ˈi j ɔ r
gerçekleştirecek|ɟ ɛ r tʃ ɛ k l ˈɛ ʃ t i ɾ e dʒ ɛ k
gerçekleştirecekler|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ e dʒ ɛ k l ˈɛ r
gerçekleştirecekleri|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ e dʒ ɛ k l e ɾ ˈɪ
gerçekleştireceklerini|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ e dʒ ɛ k l e ɾ i n ˈɪ
gerçekleştirecekmiş|ɟ ɛ r tʃ ɛ k l ˈɛ ʃ t i ɾ e dʒ ɛ k m ɪ ʃ
gerçekleştirecektir|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ e dʒ ˈɛ k t ɪ r
gerçekleştireceği|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ e dʒ e j ˈɪ
gerçekleştireceğiz|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ e dʒ ˈe j ɪ z
gerçekleştireceğiz”|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ e dʒ ˈe j ɪ z
gerçekleştiren|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ ˈæ n
gerçekleştirerek|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ e ɾ ˈɛ k
gerçekleştirildi|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ ɪ l d ˈɪ
gerçekleştirildiği|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ ɪ l d i j ˈɪ
gerçekleştirildiğini|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ ɪ l d i j i n ˈɪ
gerçekleştirilebilir|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ i l e b i l ˈɪ r
gerçekleştirilecek|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ i l e dʒ ˈɛ k
gerçekleştirileceğine|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ i l e dʒ e j i n ˈɛ
gerçekleştirileceğini|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ i l e dʒ e j i n ˈɪ
gerçekleştirilemeyen|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ i l e m e j ˈæ n
gerçekleştirilen|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ i l ˈæ n
gerçekleştirilerek|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ i l e ɾ ˈɛ k
gerçekleştirilir|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ i l ˈɪ r
gerçekleştirilirken|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ i l ˈɪ r c æ n
gerçekleştiriliyor|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ i l ˈi j ɔ r
gerçekleştirilmelidir|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ ɪ l m e l ˈi d ɪ r
gerçekleştirilmemiş|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ ɪ l m e m ˈɪ ʃ
gerçekleştirilmesi|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ ɪ l m e s ˈɪ
gerçekleştirilmesidir|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ ɪ l m e s ˈi d ɪ r
gerçekleştirilmesinde|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ ɪ l m e s ɪ n d ˈɛ
gerçekleştirilmeyecek|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ ˈɪ l m e j e dʒ ɛ k
gerçekleştirilmiyor|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ ɪ l m ˈi j ɔ r
gerçekleştirilmiş|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ ɪ l m ˈɪ ʃ
gerçekleştirilmişse|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ ɪ l m ˈɪ ʃ s ɛ
gerçekleştirilmiştir|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ ɪ l m ˈɪ ʃ t ɪ r
gerçekleştirip|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ ˈɪ p
gerçekleştirirken|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ ˈɪ r c æ n
gerçekleştirirsek|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ ˈɪ r s ɛ k
gerçekleştiriyor|ɟ ɛ r tʃ ɛ k l ˈɛ ʃ t i ɾ i j ɔ r
gerçekleştiriyorlar|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ ˈi j ɔ r ɫ a r
gerçekleştiriyoruz|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ ˈi j o ɾ ʊ z
gerçekleştiriyoruz”|ɟ ɛ r tʃ ɛ k l ɛ ʃ t i ɾ ˈi j o ɾ ʊ z
gerçekleştirme|ɟ ɛ r tʃ ɛ k l ˈɛ ʃ t ɪ r m ɛ
gerçekleştirmeden|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ˈɪ r m e d æ n
gerçekleştirmek|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ɪ r m ˈɛ k
gerçekleştirmekte|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ɪ r m ɛ k t ˈɛ
gerçekleştirmektedir|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ɪ r m ɛ k t ˈe d ɪ r
gerçekleştirmekten|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ɪ r m ɛ k t ˈæ n
gerçekleştirmeleri|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ɪ r m e l e ɾ ˈɪ
gerçekleştirmenin|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ˈɪ r m e n ɪ n
gerçekleştirmesi|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ɪ r m e s ˈɪ
gerçekleştirmesindeki|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ɪ r m e s ɪ n d e k ˈɪ
gerçekleştirmesine|ɟ ɛ r tʃ ɛ k l ɛ ʃ t ɪ r m e s i n ˈɛ
