&| ˈɔ k
astronomen|ˈa s t r uː n ˌuː m ə n
astronomiforskaren|ˈa s t r uː n ˌuː m iː f ˌɔ ʂ k a r ə n
astronomisk|ˈa s t r uː n ˌuː m ɪ s k
astronomiska|ˈa s t r uː n ˌuː m ɪ s k ˌa
asturberar|ˈa s t ɵ r b ə r ˌa r
asylansökan|ˈɑː s yː l ˌa n s øː k ˌa n
asylboende|ˈɑː s y l b ˌuː ə n d ə
asylmottagningen|ˌɑː s y l m ˈuː tː ɑː ŋ n ˌɪ ŋ ə n
asylsökande|ˈɑː s y l s ˌøː k a n d ə
asylsökande”|ˈɑː s y l s ˌøː k a n d ə
asylärenden|ˈɑː s yː l ˌɛː r ə n d ə n
asymmetrisk|ˈɑː s y m ˌɛ t r ɪ s k
asätarna|ˈɑː s ɛː t ˌa r n a
at&t|ˈa t  ˈɔ k t ˈeː
atalanta|ˈɑː t a l ˌa n t a
atalantas|ˈɑː t a l ˌa n t a s
atandt|ˈɑː t a n d t
atarazanas|ˈɑː t a r ˌa s a n ˌa s
ateljéinteriör|ˌɑː t ə l j ˈeː ɪ n t ə r ˌiː  øː r
ateljémuseum|ˌɑː t ə l j ˈeː m ʉ s ə ˌʉ m
ateljén|ˌɑː t ə l j ˈeː n
aten|ˈɑː t ə n
atepesystemet|ˈɑː t ə p ə s y s t ˌeː m ə t
atex|ˈɑː t ə k s
atfodon|ˈa t f uː d ˌɔ n
athanase|ˈa t h a n ˌa s ə
athletic|ˈa t h l ə t ˌiː k
athos|ˈa t h uː s
atjo|ˈa ɕ uː
atkinson|ˈa t k ɪ n s ˌuː n
atlant|ˈa t l a n t
atlanta|ˈa t l a n t ˌa
atlanten|ˈa t l a n t ə n
atlantic|ˈa t l a n t ˌiː k
atlantis|ˈa t l a n t ˌɪ s
atleterna|ˈa t l ə t ˌɛ r n a
atleti|ˈa t l ə t ˌiː
atletico|ˈa t l ə t ˌiː k uː
atletisk|ˈa t l ə t ˌɪ s k
atletklubb|ˈa t l ə t k l ˌɵ b
atlético|a t l ˈeː t iː k ˌuː
atm|ˈa t m
atmosfär|ˈa t m ɔ s f ˌa r
atmosfär|ˈa t m ɔ s f ˌɛː r
atmosfären|ˈa t m ɔ s f ˌɛː r ə n
atmosfäriska|ˈa t m ɔ s f ˌɛː r ɪ s k ˌa
atmosfärsomvandlingen|ˈa t m ɔ s f ˌɛ ʂ ɔ m v ˌa n d l ɪ ŋ ə n
atmosvären|ˈa t m ɔ s v ˌɛː r ə n
atollen|ˈɑː t ɔ l ə n
atomenergiorganet|ˈɑː t uː m ə n ˌɛ r j iː  ˌɔ r ɡ a n ə t
atomer|ˈɑː t uː m ə r
atomerna|ˈɑː t uː m ˌɛ r n a
atomkatastrof|ˈɑː t ɔ m k a t ˌa s t r uː f
atomkraftverk|ˈɑː t ɔ m k r ˌa f t v ə r k
atomkärna|ˈɑː t ɔ m k ˌɛ r n a
atomkärnor|ˈɑː t ɔ m k ˌɛ r n ɔ r
atomubåt|ˈɑː t uː m ˌʉ b oː t
atonal|ˌɑː t uː n ˈɑː l
atp|ˈa t p
atracco|ˈa t r a k s ˌuː
atribut|ˈa t r iː b ˌʉ t
atrium|ˈa t r iː  ˌʉ m
atruppen|ˈa t r ɵ p ə n
att|ˈa t
attack|ˈa tː a k
attacken|ˈa tː a kː ə n
attacker|ˈa tː a kː ə r
attackerad|ˈa tː a kː ə r ˌa d
attackerade|ˈa tː a kː ə r ˌa d ə
attackerades|ˈa tː a kː ə r ˌa d ə s
attackeras|ˈa tː a kː ə r ˌa s
attackerat|ˈa tː a kː ə r ˌa t
attackerats|ˈa tː a kː ə r ˌa t s
attackerna|ˈa tː a kː ˌɛ r n a
attackförmåga|ˌa tː a k f ˈœ r m oː ɡ ˌa
attacktaktik|ˈa tː a k t ˌa k t iː k
attacus|ˈa tː a k ˌʉ s
attan|ˈa tː a n
attarpsskolan|ˈa tː a r p s k ˌuː l a n
attendos|ˈa tː ə n d ˌuː s
attenius|ˈa tː ə n ˌiː  ʉ s
attentaten|ˈa tː ə n t ˌa t ə n
attentatet|ˈa tː ə n t ˌa t ə t
attia|ˈa tː iː  ˌa
attityd|ˌa tː iː t ˈyː d
attityden|ˌa tː iː t ˈyː d ə n
attityder|ˌa tː iː t ˈyː d ə r
attityderna|ˌa tː iː t ˈyː d ə r n ˌa
attmosvären|ˈa t m ɔ s v ˌɛː r ə n
attraktionen|ˌa t r a k sx ˈuː n ə n
attraktioner|ˌa t r a k sx ˈuː n ə r
attraktionskraft|ˌa t r a k sx ˈʊ n s k r a f t
attraktiva|ˈa t r a k t ˌiː v a
attraktivare|ˈa t r a k t ˌiː v a r ə
attraktivaste|ˈa t r a k t ˌiː v a s t ə
attraktivitet|ˈa t r a k t ˌiː v iː t ˌeː t
attraktivt|ˈa t r a k t ˌɪ v t
att…|ˈa t
au|ˈɑː ʉ
aub|ˈɔ b
aubameyang|ˈɔ b a m ə ˌyː a ŋ
aube|ˈɔ b ə
aubergine|ˈɔ b ə r j ˌiː n ə
auberginen|ˌɔ b ə r j ˈiː n ə n
auckland|ˈɔ k l a n d
aucklands|ˈɔ k l a n d s
audaz|ˈɔ d a s
audi|ˈɔ d iː
audiencia|ˈɔ d iː  ˌɛ n s ɪ  ˌa
audiensen|ˈɔ d iː  ˌɛ n s ə n
audin|ɔ d ˈiː n
audiocast|ˈɔ d iː  ˌuː k a s t
audiovisuell|ˈɔ d iː  ˌuː v iː s ˌʉ ə l
audition|ˌɔ d iː sx ˈuː n
auditionturné|ˌɔ d iː sx ˈɔ n t ɵ r n ˈeː
audrey|ˈɔ d r ə ˌyː
auer|ˈɑː ʉ ə r
augsburgskas|ˈɔ ɡ s b ɵ r ɡ s k ˌa s
august|ˈɔ ɡ ɵ s t
august_malmsgatan|ˈɔ ɡ ɵ s t m ˈa l m s ɡ ɑː t ˌa n
augusta|ˈɔ ɡ ɵ s t ˌa
augusti|ˈɔ ɡ ɵ s t ˌiː
augustidagarna|ˈɔ ɡ ɵ s t ˌiː d ɑː ɡ ˌa r n a
augustikväll|ˈɔ ɡ ɵ s t ˌɪ k v ə l
augustin|ˌɔ ɡ ɵ s t ˈiː n
augustins|ˈɔ ɡ ɵ s t ˌɪ n s
augustiräkningen|ˈɔ ɡ ɵ s t ˌiː r ɛː k n ˌɪ ŋ ə n
augusto|ˈɔ ɡ ɵ s t ˌuː
augustpris|ˈɔ ɡ ɵ s t p r ˌiː s
augustpriset|ˈɔ ɡ ɵ s t p r ˌiː s ə t
augustson|ˈɔ ɡ ɵ s t s ˌuː n
augustsson|ˈɔ ɡ ɵ s t s ˌɔ n
augutis|ˈɔ ɡ ʉ t ˌɪ s
aujalay|ˈɔ j a l ˌa yː
aukonoo|ˈɔ k uː n ˌuː uː
auktion|ɔ k sx ˈuː n
auktionen|ɔ k sx ˈuː n ə n
auktioner|ɔ k sx ˈuː n ə r
auktionera|ɔ k sx ˈuː n eː r ˌa
auktionerade|ɔ k sx ˈuː n eː r ˌa d ə
auktionerades|ɔ k sx ˈuː n eː r ˌa d ə s
auktioneras|ɔ k sx ˈuː n eː r ˌa s
auktionsförrättare|ɔ k sx ˈʊ n s f ˈœ r ə tː ˌa r ə
auktionshuset|ɔ k sx ˈʊ n s h ʉ s ə t
auktionsverk|ɔ k sx ˈʊ n s v ə r k
auktionsverket|ɔ k sx ˈʊ n s v ə r k ə t
auktionsvåren|ɔ k sx ˈʊ n s v ˈoː r ə n
auktorisation|ˌɔ k t uː r ˌiː s a sx ˈuː n
auktoriserat|ˈɔ k t uː r ˌiː s eː r ˌa t
auktoriteter|ˈɔ k t uː r ˌiː t eː t ə r
auktoriteter”|ˈɔ k t uː r ˌiː t eː t ə r
auktoritära|ˌɔ k t uː r iː t ˈɛː r a
auktoritärt|ˌɔ k t uː r iː t ˈɛː t
auktorskapets|ˈɔ k t ɔ ʂ k ˌɑː p ə t s
aulan|ˈɔ l a n
aulikki|ˈɔ l ɪ k k ˌiː
aune|ˈɔ n ə
aung|ˈɔ ŋ
aupaniskt|ˈɔ p a n ˌɪ s k t
aura|ˈɔ r a
auragatan|ˈɔ r a ɡ ˌɑː t a n
auragen|ˈɔ r a ɡ ə n
aurelio|ˈɔ r ə l ˌiː  uː
auristers|ˈɔ r ɪ s t ˌɛ ʂ
auropunctata|ˈɔ r uː p ˌɵ n k t a t ˌa
aurora|ˈɔ r uː r ˌa
auschwitz|ˈɔ ʃ v ɪ t s
austen|ˈɔ s t ə n
austens|ˈɔ s t ə n s
austin|ɔ s t ˈiː n
australian|ˈɔ s t r a l ˌiː  a n
australien|ˈɔ s t r a l ˌiː  ə n
australiens|ˈɔ s t r a l ˌiː  ə n s
australiensare|ˈɔ s t r a l ˌiː  ə n s ˌa r ə
australiensaren|ˈɔ s t r a l ˌiː  ə n s ˌa r ə n
australiensarna|ˈɔ s t r a l ˌiː  ə n s ˌa r n a
australiensisk|ˈɔ s t r a l ˌiː  ə n s ˌɪ s k
australiensiska|ˈɔ s t r a l ˌiː  ə n s ˌɪ s k a
australiska|ˈɔ s t r a l ˌɪ s k a
australiske|ˈɔ s t r a l ˌɪ sx ə
australiskt|ˈɔ s t r a l ˌɪ s k t
austrian|ˈɔ s t r iː  ˌa n
autenticitet|ˈɔ t ə n t ˌiː s ɪ t ˌeː t
autentisering|ˈɔ t ə n t ˌɪ s eː r ˌɪ ŋ
autentiskt|ˈɔ t ə n t ˌɪ s k t
auternas|ˈɔ t ə r n ˌa s
autism|ˈɔ t ɪ s m
autistisk|ˈɔ t ɪ s t ˌɪ s k
autistiske|ˈɔ t ɪ s t ˌɪ sx ə
autogerering|ˈa ʉ t ˌuː j ə r ˌeː r ɪ ŋ
autogirering|ˈa ʉ t ˌuː j iː r ˌeː r ɪ ŋ
autografer|ˈa ʉ t ˌɔ ɡ r a f ə r
autografjägaren|ˈa ʉ t ˌɔ ɡ r a f j ˌɛː ɡ a r ə n
autohenkilökunta|ˈa ʉ t ˌuː h ə ŋ k ˌiː l øː k ˌɵ n t a
autoimmuna|ˈa ʉ t ˌuː ɪ m ˌɵ n a
autokanoner|ˈa ʉ t ˌuː k a n ˌuː n ə r
autokratier|ˈa ʉ t ˌɔ k r ɑː t ˌiː  ə r
autolease|ˈa ʉ t ˌuː l ə ˌa s ə
autoliv|ˈa ʉ t ˌuː l iː v
automatbevattning|ˈa ʉ t ˌuː m ɑː t b ə v ˌa t n ɪ ŋ
automater|ˈa ʉ t ˌuː m a t ə r
automaterna|ˈa ʉ t ˌuː m a t ˌɛ r n a
automatik|ˈa ʉ t ˌuː m ɑː t ˌiː k
automation|ˌa ʉ t ˌuː m ɑː sx ˈuː n
automatiserad|ˈa ʉ t ˌuː m ɑː t ˌɪ s eː r ˌa d
automatiseras|ˈa ʉ t ˌuː m ɑː t ˌɪ s eː r ˌa s
automatisering|ˈa ʉ t ˌuː m ɑː t ˌɪ s eː r ˌɪ ŋ
automatiska|ˈa ʉ t ˌuː m ɑː t ˌɪ s k a
automatiskt|ˈa ʉ t ˌuː m ɑː t ˌɪ s k t
automatkarbin|ˌa ʉ t ˌuː m ɑː t k a r b ˈiː n
automatkarbiner|ˌa ʉ t ˌuː m ɑː t k a r b ˈiː n ə r
automatlarm|ˈa ʉ t ˌuː m ɑː t l ˌa r m
automatvapen|ˈa ʉ t ˌuː m ɑː t v ˌa p ə n
automatvapnen|ˈa ʉ t ˌuː m ɑː t v ˌa p n ə n
automobil|ˈa ʉ t ˌuː m ɔ b ˌiː l
automotive|ˌa ʉ t uː m ˈuː t iː v ə
autonoma|ˈa ʉ t ˌuː n uː m ˌa
autonomare|ˈa ʉ t ˌuː n uː m ˌa r ə
autonomi|ˈa ʉ t ˌuː n uː m ˌiː
autonomy|ˈa ʉ t ˌuː n uː m ˌyː
autoriserat|ˈa ʉ t ˌuː r iː s ˌeː r a t
av|ˈɑː v
ava|ˈa v a
avalanche|ˈa v a l ˌa n ʃ ə
avalanches|ˈa v a l ˌa n ʃ ə s
avallone|ˈa v a l ˌɔ n ə
avancemang|ˈa v a n s ə m ˌa ŋ
avancemanget|ˈa v a n s ə m ˌa ŋ ə t
avancerade|ˈa v a n s ˌeː r a d ə
avancerande|ˈa v a n s ˌeː r a n d ə
avancerandet|ˈa v a n s ˌeː r a n d ə t
avancerat|ˈa v a n s ˌeː r a t
avans|a v ˈa n s
avanza|ˈa v a n s ˌa
avanzaanvändares|ˈa v a n s ˌa a n v ˌɛ n d a r ə s
avanzas|ˈa v a n s ˌa s
avarn|ˈa v ɑː r n
avatarer|ˈa v a t ˌa r ə r
avbetalningsplan|ˌɑː v b ə t ˈɑː l n ɪ ŋ s p l ˌa n
avbildad|ˈɑː v b ɪ l d ˌa d
avbildas|ˈɑː v b ɪ l d ˌa s
avblåser|ɑː v b l ˈoː s ə r
avblåsning|ɑː v b l ˈoː s n ɪ ŋ
avblåsningar|ɑː v b l ˈoː s n ɪ ŋ ˌa r
avbockad|ˈɑː v b ɔ kː ˌa d
avboka|ˈɑː v b uː k ˌa
avbokats|ˈɑː v b uː k ˌa t s
avbrotten|ˈɑː v b r ɔ tː ə n
avbrottet|ˈɑː v b r ɔ t ə t
avbruten|ˈɑː v b r ʉ t ə n
avbrutit|ˈɑː v b r ʉ t ˌiː t
avbrutits|ˈɑː v b r ʉ t ˌɪ t s
avbrutna|ˈɑː v b r ʉ t n ˌa
avbryt|ˈɑː v b r yː t
avbrytas|ˈɑː v b r yː t ˌa s
avbryter|ˈɑː v b r yː t ə r
avbryts|ˈɑː v b r y t s
avbräcken|ˈɑː v b r ə kː ə n
avbränd|ˈɑː v b r ə n d
avbröjt|ɑː v b r ˈœ j t
avbröts|ɑː v b r ˈœ t s
avbytarbänken|ˈɑː v b yː t ˌa r b ə ŋ k ə n
avbytarbås|ˈɑː v b yː t ˌa r b oː s
avböjande|ˈɑː v b øː j ˌa n d ə
avböjde|ɑː v b ˈœ j d ə
avböjer|ˈɑː v b øː j ə r
avböjt|ɑː v b ˈœ j t
avci|ˈa v s ɪ
avdankade|ˈɑː v d a ŋ k ˌa d ə
avdelning|ˈɑː v d eː l n ˌɪ ŋ
avdelningar|ˈɑː v d eː l n ˌɪ ŋ a r
avdelningarna|ˈɑː v d eː l n ˌɪ ŋ a r n ˌa
avdelningen|ˈɑː v d eː l n ˌɪ ŋ ə n
avdelningens|ˈɑː v d eː l n ˌɪ ŋ ə n s
avdelningschef|ˈɑː v d eː l n ˌɪ ŋ ʃ ɛː f
avdiivka|ˈɑː v d iː  ˌɪ v k a
avdo|ˈɑː v d uː
avdrag|ˈɑː v d r a ɡ
avdraget|ˈɑː v d r a ɡ ə t
avdragsrätten|ˈɑː v d r a ɡ s r ˌɛ tː ə n
avdunstningen|ˈɑː v d ɵ n s t n ˌɪ ŋ ə n
avelshane|ˈɑː v ə l s h ˌa n ə
avelsugglan|ˈɑː v ə l s ˌɵ ɡ l a n
aven|ˈɑː v ə n
aventura|ˈɑː v ə n t ˌʉ r a
avenue|ˈɑː v ə n ˌʉ ə
avesta|ˈɑː v ə s t ˌa
avfallet|ˈa v f a l ə t
avfallsanläggning|ˈa v f a l s ˌa n l ə ɡ n ˌɪ ŋ
avfallsbehållaren|ˈa v f a l s b ə h ˌɔ l a r ə n
avfallsdeponier|ˌa v f a l s d ə p ˈoː n iː  ə r
avfallsförbränningen|ˌa v f a l s f ˈœ r b r ə n ˌɪ ŋ ə n
avfallsförbränningsanläggningar|ˌa v f a l s f ˈœ r b r ə n ˌɪ ŋ s a n l ˌɛ ɡ n ɪ ŋ ˌa r
avfallshanteringen|ˈa v f a l s h ˌa n t eː r ˌɪ ŋ ə n
avfallshanteringsmyndigheten|ˈa v f a l s h ˌa n t eː r ˌɪ ŋ s m y n d ˌɪ ɡ h eː t ə n
avfallskvarnar|ˈa v f a l s k v ˌɑː r n a r
avfallslagen|ˈa v f a l s l ˌɑː ɡ ə n
avfallstaxa|ˈa v f a l s t ˌa k s a
avfallstransporten|ˈa v f a l s t r ˌa n s p ɔ t ə n
avfirningen|ˈa v f ɪ r n ˌɪ ŋ ə n
avflödet|ˈa v f l øː d ə t
avfolka|ˈa v f ɔ l k ˌa
avfolkningen|ˈa v f ɔ l k n ˌɪ ŋ ə n
avfolkningsbygder|ˈa v f ɔ l k n ˌɪ ŋ s b y ɡ d ə r
avfolkningskommuner|ˌa v f ɔ l k n ˌɪ ŋ s k ɔ m ˈʉ n ə r
avfyrad|ˈa v f yː r ˌa d
avfyrade|ˈa v f yː r ˌa d ə
avfyrades|ˈa v f yː r ˌa d ə s
avfyras|ˈa v f yː r ˌa s
avfyrat|ˈa v f yː r ˌɑː t
avfyrats|ˈa v f yː r ˌɑː t s
avfyrningsramper|ˈa v f y r n ˌɪ ŋ s r a m p ə r
avfärd|ˈa v f ɛː r d
avfärdad|ˈa v f ɛː r d ˌa d
avfärdade|ˈa v f ɛː r d ˌa d ə
avfärdades|ˈa v f ɛː r d ˌa d ə s
avfärdande|ˈa v f ɛː r d ˌa n d ə
avfärdas|ˈa v f ɛː r d ˌa s
avfärdat|ˈa v f ɛː r d ˌa t
avfärden|ˈa v f ɛː r d ə n
avföljandet|a v f ˈœ l j a n d ə t
avföljt|a v f ˈœ l j t
avföras|ˈa v f øː r ˌa s
avförda|a v f ˈøː r d a
avföringsproverna|ˈa v f øː r ˌɪ ŋ s p r uː v ˌɛ r n a
avgaser|ˈɑː v ɡ a s ə r
avgasreningssystem|ˈɑː v ɡ a s r ə n ˌɪ ŋ s y s t ˌeː m
avgasrör|ˈɑː v ɡ a s r ˌøː r
avgasröret|ˈɑː v ɡ a s r ˌøː r ə t
avger|ɑː v j ˈeː r
avges|ɑː v j ˈeː s
avgift|ˈɑː v j ɪ f t
avgiften|ˈɑː v j ɪ f t ə n
avgifter|ˈɑː v j ɪ f t ə r
avgifterna|ˈɑː v j ɪ f t ˌɛ r n a
avgiftsbefrielse|ˈɑː v j ɪ f t s b ə f r ˌiː  ə l s ə
avgiftsfritt|ˈɑː v j ɪ f t s f r ˌɪ t
avgiftssänkningar|ˈɑː v j ɪ f t s ˌɛ ŋ k n ɪ ŋ ˌa r
avgiftstak|ˈɑː v j ɪ f t s t ˌa k
avgivits|ˈɑː v j iː v ˌɪ t s
avgivningen|ˈɑː v j ɪ v n ˌɪ ŋ ə n
avgjord|ˈɑː v j uː r d
avgjorde|ˈɑː v j uː r d ə
avgjordes|ˈɑː v j uː r d ə s
avgjorts|ˈɑː v j uː r t s
avgrund|ˈɑː v ɡ r ɵ n d
avgrundsdjupa|ˌɑː v ɡ r ɵ n d s j ˈʉ p a
avgränsad|ˈɑː v ɡ r ə n s ˌa d
avgränsat|ˈɑː v ɡ r ə n s ˌa t
avgränsning|ˈɑː v ɡ r ə n s n ˌɪ ŋ
avgränsningen|ˈɑː v ɡ r ə n s n ˌɪ ŋ ə n
avgränsningssamråd|ˈɑː v ɡ r ə n s n ˌɪ ŋ s a m r ˌoː d
avgå|ˈɑː v ɡ oː
avgående|ˈɑː v ɡ oː ˌɛ n d ə
avgång|ˈɑː v ɡ ɔ ŋ
avgångar|ˈɑː v ɡ ɔ ŋ ˌa r
avgången|ˈɑː v ɡ ɔ ŋ ə n
avgångne|ˈɑː v ɡ ɔ ŋ n ə
avgångsansökan|ˈɑː v ɡ ɔ ŋ s ˌa n s øː k ˌa n
avgångsbeslutet|ˈɑː v ɡ ɔ ŋ s b ə s l ˌʉ t ə t
avgångselever|ˈɑː v ɡ ɔ ŋ s ə l ˌɛ v ə r
avgångseleverna|ˈɑː v ɡ ɔ ŋ s ə l ˌɛ v ə r n ˌa
avgångsvedellag|ˈɑː v ɡ ɔ ŋ s v ə d ˌɛ l ɑː ɡ
avgångsvederlag|ˈɑː v ɡ ɔ ŋ s v ə d ˌɛ r l ɑː ɡ
avgår|ˈɑː v ɡ oː r
avgår”|ˈɑː v ɡ oː r
avgått|ˈɑː v ɡ ɔ t
avgör|ˈɑː v j øː r
avgöra|ˈɑː v j øː r ˌa
avgörande|ˈɑː v j øː r ˌa n d ə
avgöranden|ˈɑː v j øː r ˌa n d ə n
avgörandet|ˈɑː v j øː r ˌa n d ə t
avgörande”|ˈɑː v j øː r ˌa n d ə
avgöras|ˈɑː v j øː r ˌa s
avgörs|ɑː v j ˈœ ʂ
avhandla|ˈa v h a n d l ˌa
avhandlades|ˈa v h a n d l ˌa d ə s
avhandlas|ˈa v h a n d l ˌa s
avhopp|ˈa v h ɔ p
avhoppad|ˈa v h ɔ p ˌa d
avhoppande|ˈa v h ɔ p ˌa n d ə
avhopparprogram|ˈa v h ɔ p ˌa r p r ɔ ɡ r ˌa m
avhopparprogrammen|ˈa v h ɔ p ˌa r p r ɔ ɡ r ˌa m ə n
avhopparverksamhet|ˈa v h ɔ p ˌa r v ə r k s ˌa m h eː t
avhoppen|ˈa v h ɔ p ə n
avhoppet|ˈa v h ɔ p ə t
avhuggna|ˈa v h ɵ ɡ n ˌa
avhämtas|ˈa v h ə m t ˌa s
avhängda|ˈa v h ə ŋ d ˌa
avhängigt|ˈa v h ə ŋ ˌɪ k t
avhåller|ˈa v h ɔ l ə r
avhållsamhet”|ˈa v h ɔ l s ˌa m h eː t
aviation|ˌɑː v iː  a sx ˈuː n
aviavgift|ˈɑː v iː  ˌɑː v j ɪ f t
avicii|ˈɑː v iː s ˌɪ  iː
aviga|ˈɑː v iː ɡ ˌa
avioavgift|ˈɑː v iː  ˌuː ɑː v j ˌɪ f t
avisade|ˈɑː v iː s ˌa d ə
aviserad|ˈɑː v iː s ˌeː r a d
aviserade|ˈɑː v iː s ˌeː r a d ə
aviserades|ˈɑː v iː s ˌeː r a d ə s
aviserat|ˈɑː v iː s ˌeː r a t
aviserats|ˈɑː v iː s ˌeː r a t s
avishai|ˈɑː v ɪ s h ˌa iː
aviv|ˈɑː v iː v
aviva|ˈɑː v iː v ˌa
avivs|ˈɑː v ɪ v s
avkapade|ˈa v k a p ˌa d ə
avkapat|ˈa v k a p ˌa t
avkasseersättningen|ˈa v k a s ə ˌeː ʂ ə t n ˌɪ ŋ ə n
avkastande|ˈa v k a s t ˌa n d ə
avkastningen|ˈa v k a s t n ˌɪ ŋ ə n
avklarad|ˈa v k l ɑː r ˌa d
avklarade|ˈa v k l ɑː r ˌa d ə
avklarat|ˈa v k l ɑː r ˌɑː t
avknips|ˈa v k n ɪ p s
avknoppning|ˈa v k n ɔ p n ˌɪ ŋ
avknoppningen|ˈa v k n ɔ p n ˌɪ ŋ ə n
avkomman|ˈa v k ɔ m ˌa n
avkopplande|ˈa v k ɔ p l ˌa n d ə
avkriminalisera|ˈa v k r iː m ˌiː n a l ˌɪ s eː r ˌa
avkriminaliserats|ˈa v k r iː m ˌiː n a l ˌɪ s eː r ˌa t s
avkriminalisering|ˈa v k r iː m ˌiː n a l ˌɪ s eː r ˌɪ ŋ
avkunnades|ˈa v k ɵ n ˌa d ə s
avkunnas|ˈa v k ɵ n ˌa s
avkylande|ˈa v k yː l ˌa n d ə
avkylning|ˈa v k y l n ˌɪ ŋ
avkörningen|a v k ˈœ r n ɪ ŋ ə n
avlastar|ˈa v l a s t ˌa r
avlastning|ˈa v l a s t n ˌɪ ŋ
avledningsmanövrer|ˌa v l eː d n ˌɪ ŋ s m a n ˈøː v r ə r
avleverera|ˈa v l ə v ə r ˌeː r a
avliden|ˈa v l iː d ə n
avlider|ˈa v l iː d ə r
avlidit|ˈa v l iː d ˌiː t
avlidna|ˈa v l ɪ d n ˌa
avlidne|ˈa v l ɪ d n ə
avlidnes|ˈa v l ɪ d n ə s
avlistas|ˈa v l ɪ s t ˌa s
avlivade|ˈa v l iː v ˌa d ə
avlivades|ˈa v l iː v ˌa d ə s
avlivas|ˈa v l iː v ˌa s
avlivats|ˈa v l iː v ˌa t s
avloppsanläggningar|ˈa v l ɔ p s ˌa n l ə ɡ n ˌɪ ŋ a r
avloppsnätet|ˈa v l ɔ p s n ˌɛː t ə t
avloppssystem|ˈa v l ɔ p s y s t ˌeː m
avloppssystemet|ˈa v l ɔ p s y s t ˌeː m ə t
avloppsvatten|ˈa v l ɔ p s v ˌa tː ə n
avloppsvattnet|ˈa v l ɔ p s v ˌa t n ə t
avlossade|ˈa v l ɔ s ˌa d ə
avlossas|ˈa v l ɔ s ˌa s
avlossats|ˈa v l ɔ s ˌa t s
avlutar|ˈa v l ʉ t ˌa r
avlutning|ˈa v l ʉ t n ˌɪ ŋ
avlyssnad|ˈa v l y s n ˌa d
avlyssnas|ˈa v l y s n ˌa s
avlyssnats|ˈa v l y s n ˌa t s
avlyssningarna|ˈa v l y s n ˌɪ ŋ a r n ˌa
avlyssningssäkert|ˈa v l y s n ˌɪ ŋ s ɛː k ˌɛ t
avlysta|ˈa v l y s t ˌa
avlägsen|ˈa v l ə ɡ s ə n
avlägset|ˈa v l ə ɡ s ə t
avlägsna|ˈa v l ə ɡ s n ˌa
avlägsnade|ˈa v l ə ɡ s n ˌa d ə
avlägsnas|ˈa v l ə ɡ s n ˌa s
avlägsnat|ˈa v l ə ɡ s n ˌa t
avlägsnats|ˈa v l ə ɡ s n ˌa t s
avläsbar|ˈa v l ə s b ˌɑː r
avlästs|ˈa v l ɛː s t s
avlånga|ˈa v l ɔ ŋ ˌa
avlöser|ˈa v l øː s ə r
avlöst|a v l ˈøː s t
avlöste|ˈa v l øː s t ˌɛ
avlöstes|a v l ˈøː s t ə s
avlösts|a v l ˈøː s t s
avlövning|a v l ˈœ v n ɪ ŋ
avmagnetiseras|ˈa v m a ŋ n ə t ˌɪ s eː r ˌa s
avmagrade|ˈa v m a ɡ r ˌa d ə
avmattning|ˈa v m a t n ˌɪ ŋ
avmattningen|ˈa v m a t n ˌɪ ŋ ə n
avnazificiera|ˈa v n a s ˌiː f iː s ˌɪ  ə r ˌa
avnazifieras|ˈa v n a s ˌiː f iː  ə r ˌa s
avnjutas|ˈa v n j ʉ t ˌa s
avokadotoast|ˈɑː v uː k ˌa d uː t ˌuː a s t
avpassat|ˈa v p a s ˌa t
avreglerad|ˈa v r ə ɡ l ˌeː r a d
avregleringar|ˈa v r ə ɡ l ˌeː r ɪ ŋ ˌa r
avregleringsarbete|ˈa v r ə ɡ l ˌeː r ɪ ŋ s ˌa r b eː t ə
avresan|ˈa v r ə s ˌa n
avreste|ˈa v r ə s t ˌɛ
avrundas|ˈa v r ɵ n d ˌa s
avräkningar|ˈa v r ɛː k n ˌɪ ŋ a r
avräkningspriser|ˈa v r ɛː k n ˌɪ ŋ s p r iː s ə r
avrättade|ˈa v r ə tː ˌa d ə
avrättades|ˈa v r ə tː ˌa d ə s
avrättas|ˈa v r ə tː ˌa s
avrättning|ˈa v r ə t n ˌɪ ŋ
avrättningar|ˈa v r ə t n ˌɪ ŋ a r
avrättningarna|ˈa v r ə t n ˌɪ ŋ a r n ˌa
avrättningen|ˈa v r ə t n ˌɪ ŋ ə n
avrättningsplatserna|ˈa v r ə t n ˌɪ ŋ s p l a t s ˌɛ r n a
avrådan|ˈa v r oː d ˌa n
avrådd|ˈa v r ɔ d
avrådde|ˈa v r ɔ d ə
avråder|ˈa v r oː d ə r
avrått|ˈa v r ɔ t
avsade|ˈɑː v s a d ə
avsaknad|ˈɑː v s ɑː k n ˌa d
avsaknaden|ˈɑː v s ɑː k n ˌa d ə n
avsatt|ˈɑː v s a t
avsatta|ˈɑː v s a tː ˌa
avsatte|ˈɑː v s a tː ə
avsattes|ˈɑː v s a tː ə s
avsedd|ˈɑː v s ə d
avsedda|ˈɑː v s ə d ˌa
avseende|ˈɑː v s ə ˌɛ n d ə
avseenden|ˈɑː v s ə ˌɛ n d ə n
avseendet|ˈɑː v s ə ˌɛ n d ə t
avseglade|ˈɑː v s eː ɡ l ˌa d ə
avser|ˈɑː v s ə r
avses|ˈɑː v s ə s
