&| ˈe 
contextualizou|k ˌu ŋ t ɨ ʃ t ˌu ɐ l i z ˈo w
conteúdo|k ˌu ŋ t i  ˈu d ʊ
conteúdos|k ˌu ŋ t i  ˈu d ʊ ʃ
conteúdo”|k ˌu ŋ t i  ˈu d ʊ
contida|k ˌu ŋ t ˈi d ɐ
contidas|k ˌu ŋ t ˈi d ɐ ʃ
contido|k ˌu ŋ t ˈi d ʊ
contidos|k ˌu ŋ t ˈi d ʊ ʃ
contigo|k ˌu ŋ t ˈi ɡ ʊ
continentais|k ˌu ŋ t i n eɪ ŋ t ˈaɪ ʃ
continental|k ˌu ŋ t i n eɪ ŋ t ˈɑ l
continente|k ˌu ŋ t i n ˈeɪ ŋ t ɨ
continentes|k ˌu ŋ t i n ˈeɪ ŋ t ɨ ʃ
contingencial|k ˌu ŋ t i ŋ ʒ ˌeɪ ŋ s i  ˈɑ l
contingente|k ˌu ŋ t i ŋ ʒ ˈeɪ ŋ t ɨ
contingentes|k ˌu ŋ t i ŋ ʒ ˈeɪ ŋ t ɨ ʃ
contingência|k ˌu ŋ t i ŋ ʒ ˈeɪ ŋ s j ɐ
contingências|k ˌu ŋ t i ŋ ʒ ˈeɪ ŋ s i  ɐ ʃ
continha|k ˌu ŋ t ˈi ɲ ɐ
continham|k ˌu ŋ t ˈi ɲ ɐ̃ʊ̃
continua|k ˌu ŋ t i n ˈu ɐ
continuada|k ˌu ŋ t i n u ˈa d ɐ
continuado|k ˌu ŋ t i n u ˈa d ʊ
continuadores|k ˌu ŋ t i n ˌu ɐ d ˈo ɾ ɨ ʃ
continuam|k ˌu ŋ t i n ˈu ɐ̃ʊ̃
continuamente|k ˌu ŋ t i n ˌu ɐ m ˈeɪ ŋ t ɨ
continuamos|k ˌu ŋ t i n u ˈɐ̃ m ʊ ʃ
continuam”|k ˌu ŋ t i n ˈu ɐ̃ʊ̃
continuando|k ˌu ŋ t i n u ˈɐ̃ ŋ d ʊ
continuar|k ˌu ŋ t i n u ˈa ɹ
continuara|k ˌu ŋ t i n u ˈa ɾ ɐ
continuaram|k ˌu ŋ t i n u ˈa ɾ ɐ̃ʊ̃
continuarei|k ˌu ŋ t i n ˌu ɐ ɾ ˈeɪ
continuarem|k ˌu ŋ t i n u ˈa ɾ eɪ ŋ
continuaremos|k ˌu ŋ t i n ˌu ɐ ɾ ˈe m ʊ ʃ
continuaria|k ˌu ŋ t i n ˌu ɐ ɾ ˈi  ɐ
continuariam|k ˌu ŋ t i n ˌu ɐ ɾ ˈi  ɐ̃ʊ̃
continuarmos|k ˌu ŋ t i n u ˈa ɾ ə m ʊ ʃ
continuará|k ˌu ŋ t i n ˌu ɐ ɾ ˈa
continuarão|k ˌu ŋ t i n ˌu ɐ ɾ ˈɐ̃ʊ̃
continuaríamos|k ˌu ŋ t i n ˌu ɐ ɾ ˈi  ɐ̃ m ʊ ʃ
continuar”|k ˌu ŋ t i n u ˈa ɹ
continuasse|k ˌu ŋ t i n u ˈa s ɨ
continuassem|k ˌu ŋ t i n u ˈa s eɪ ŋ
continuava|k ˌu ŋ t i n u ˈa v ɐ
continuavam|k ˌu ŋ t i n u ˈa v ɐ̃ʊ̃
continuação|k ˌu ŋ t i n ˌu ɐ s ˈɐ̃ʊ̃
continuações|k ˌu ŋ t i n ˌu ɐ s ˈõ j ʃ
continue|k ˌu ŋ t i n ˈu ɨ
continuei|k ˌu ŋ t i n u ˈeɪ
continueis|k ˌu ŋ t i n u ˈeɪ ʃ
continuem|k ˌu ŋ t i n ˈu eɪ ŋ
continues|k ˌu ŋ t i n ˈu ɨ ʃ
continuidade|k ˌu ŋ t i n uɪ d ˈa d ɨ
continuidade”|k ˌu ŋ t i n uɪ d ˈa d ɨ
continuo|k ˌu ŋ t i n ˈu ʊ
continuou|k ˌu ŋ t i n w ˈo w
continuássemos|k ˌu ŋ t i n w ˈa s ɨ m ʊ ʃ
continuávamos|k ˌu ŋ t i n w ˈa v ɐ m ʊ ʃ
continência|k ˌu ŋ t i n ˈeɪ ŋ s j ɐ
contistas|k ˌu ŋ t ˈi ʃ t ɐ ʃ
contiver|k ˌu ŋ t i v ˈɛ ɹ
contivesse|k ˌu ŋ t i v ˈɛ s ɨ
contorcer|k ˌu ŋ t u ɾ ə s ˈe ɹ
contorceu|k ˌu ŋ t u ɾ ə s ˈeʊ
contorcia|k ˌu ŋ t u ɾ ə s ˈi  ɐ
contorciam|k ˌu ŋ t u ɾ ə s ˈi  ɐ̃ʊ̃
contorcionistas|k ˌu ŋ t u ɾ ə s ˌi  u n ˈi ʃ t ɐ ʃ
contorna|k ˌu ŋ t ˈɔ ɾ ə n ɐ
contornadas|k ˌu ŋ t u ɾ ə n ˈa d ɐ ʃ
contornado|k ˌu ŋ t u ɾ ə n ˈa d ʊ
contornar|k ˌu ŋ t u ɾ ə n ˈa ɹ
contorne|k ˌu ŋ t ˈɔ ɾ ə n ɨ
contorno|k ˌu ŋ t ˈo ɾ ə n ʊ
contornos|k ˌu ŋ t ˈo ɾ ə n ʊ ʃ
contornou|k ˌu ŋ t u ɾ ə n ˈo w
contos|k ˈo ŋ t ʊ ʃ
contou|k u ŋ t ˈo w
contour|k u ŋ t ˈo w ɹ
contra|k ˈo ŋ t ɹ ɐ
contrabandeada|k ˌu ŋ t ɹ ɐ b ˌɐ̃ ŋ d i  ˈa d ɐ
contrabandeado|k ˌu ŋ t ɹ ɐ b ˌɐ̃ ŋ d i  ˈa d ʊ
contrabandeados|k ˌu ŋ t ɹ ɐ b ˌɐ̃ ŋ d i  ˈa d ʊ ʃ
contrabando|k ˌu ŋ t ɹ ɐ b ˈɐ̃ ŋ d ʊ
contracenando|k ˌu ŋ t ɹ ɐ s ɨ n ˈɐ̃ ŋ d ʊ
contraceptivo|k ˌu ŋ t ɹ ɐ s ɨ p t ˈi v ʊ
contraceptivos|k ˌu ŋ t ɹ ɐ s ɨ p t ˈi v ʊ ʃ
contraceptivos”|k ˌu ŋ t ɹ ɐ s ɨ p t ˈi v ʊ ʃ
contracepção|k ˌu ŋ t ɹ ɐ s ɨ p s ˈɐ̃ʊ̃
contracheques|k ˌu ŋ t ɹ ɐ ʃ ˈe k ɨ ʃ
contracultura|k ˌu ŋ t ɹ ɐ k u w t ˈu ɾ ɐ
contrada|k ˌu ŋ t ɹ ˈa d ɐ
contradança|k ˌu ŋ t ɹ ɐ d ˈɐ̃ ŋ s ɐ
contradisse|k ˌu ŋ t ɹ ɐ d ˈi s ɨ
contradissesse|k ˌu ŋ t ɹ ɐ d i s ˈɛ s ɨ
contraditória|k ˌu ŋ t ɹ ɐ d i t ˈɔ ɾ j ɐ
contraditórias|k ˌu ŋ t ɹ ɐ d i t ˈɔ ɾ i  ɐ ʃ
contraditório|k ˌu ŋ t ɹ ɐ d i t ˈɔ ɾ j ʊ
contraditórios|k ˌu ŋ t ɹ ɐ d i t ˈɔ ɾ iʊ ʃ
contradiz|k ˌu ŋ t ɹ ɐ d ˈi ʃ
contradizer|k ˌu ŋ t ɹ ɐ d i z ˈe ɹ
contradição|k ˌu ŋ t ɹ ɐ d i s ˈɐ̃ʊ̃
contradições|k ˌu ŋ t ɹ ɐ d i s ˈõ j ʃ
contraem|k ˌu ŋ t ɹ ˈa eɪ ŋ
contrafeitos|k ˌu ŋ t ɹ ɐ f ˈeɪ t ʊ ʃ
contrafluxo|k ˌu ŋ t ɹ ɐ f l ˈu k s ʊ
contragolpe|k ˌu ŋ t ɹ ɐ ɡ ˈɔ w p ɨ
contragolpeou|k ˌu ŋ t ɹ ɐ ɡ u l p ˈi  u w
contragolpes|k ˌu ŋ t ɹ ɐ ɡ ˈo l p ɨ ʃ
contragosto|k ˌu ŋ t ɹ ɐ ɡ ˈo ʃ t ʊ
contrai|k u ŋ t ɹ ˈaɪ
contraiam|k ˌu ŋ t ɹ ˈaɪ  ɐ̃ʊ̃
contraindicados|k ˌu ŋ t ɹ ɐ ˌi ŋ d i k ˈa d ʊ ʃ
contraindicação|k ˌu ŋ t ɹ ɐ ˌi ŋ d i k ɐ s ˈɐ̃ʊ̃
contraindicações|k ˌu ŋ t ɹ ɐ ˌi ŋ d i k ɐ s ˈõ j ʃ
contrair|k ˌu ŋ t ɹ ɐ ˈi ɹ
contraiu|k ˌu ŋ t ɹ ɐ ˈiʊ
contramedidas|k ˌu ŋ t ɹ ɐ m ɨ d ˈi d ɐ ʃ
contran|k u ŋ t ɹ ˈɐ̃ ŋ
contraofensiva|k ˌu ŋ t ɹ ɐ ˌu f eɪ ŋ s ˈi v ɐ
contraofensivas|k ˌu ŋ t ɹ ɐ ˌu f eɪ ŋ s ˈi v ɐ ʃ
contrapartes|k ˌu ŋ t ɹ ɐ p ˈa ɾ ə t ɨ ʃ
contrapartida|k ˌu ŋ t ɹ ɐ p ɐ ɾ ə t ˈi d ɐ
contrapartidas|k ˌu ŋ t ɹ ɐ p ɐ ɾ ə t ˈi d ɐ ʃ
contrapeso|k ˌu ŋ t ɹ ɐ p ˈe z ʊ
contrapesos|k ˌu ŋ t ɹ ɐ p ˈe z ʊ ʃ
contrapondo|k ˌu ŋ t ɹ ɐ p ˈo ŋ d ʊ
contraponto|k ˌu ŋ t ɹ ɐ p ˈo ŋ t ʊ
contrapor|k ˌu ŋ t ɹ ɐ p ˈo ɹ
contraproducente|k ˌu ŋ t ɹ ɐ p ɹ ˌu d u s ˈeɪ ŋ t ɨ
contraproposta|k ˌu ŋ t ɹ ɐ p ɹ u p ˈɔ ʃ t ɐ
contrapôs|k ˌu ŋ t ɹ ɐ p ˈo ʃ
contrapõe|k ˌu ŋ t ɹ ɐ p ˈõ j
contrapõem|k ˌu ŋ t ɹ ɐ p ˈõ j m
contraria|k ˌu ŋ t ɹ ɐ ɾ ˈi  ɐ
contrariada|k ˌu ŋ t ɹ ɐ ɾ i  ˈa d ɐ
contrariado|k ˌu ŋ t ɹ ɐ ɾ i  ˈa d ʊ
contrariam|k ˌu ŋ t ɹ ɐ ɾ ˈi  ɐ̃ʊ̃
contrariando|k ˌu ŋ t ɹ ɐ ɾ i  ˈɐ̃ ŋ d ʊ
contrariar|k ˌu ŋ t ɹ ɐ ɾ i  ˈa ɹ
contrariasse|k ˌu ŋ t ɹ ɐ ɾ i  ˈa s ɨ
contrariava|k ˌu ŋ t ɹ ɐ ɾ i  ˈa v ɐ
contrariedade|k ˌu ŋ t ɹ ɐ ɾ ˌi  ɨ d ˈa d ɨ
contrario|k ˌu ŋ t ɹ ɐ ɾ ˈiʊ
contrariou|k ˌu ŋ t ɹ ɐ ɾ i  ˈo w
contrariá|k ˌu ŋ t ɹ ɐ ɾ i  ˈa
contras|k ˈo ŋ t ɹ ɐ ʃ
contrasta|k ˌu ŋ t ɹ ˈa ʃ t ɐ
contrastada|k ˌu ŋ t ɹ ɐ ʃ t ˈa d ɐ
contrastando|k ˌu ŋ t ɹ ɐ ʃ t ˈɐ̃ ŋ d ʊ
contrastante|k ˌu ŋ t ɹ ɐ ʃ t ˈɐ̃ ŋ t ɨ
contrastasse|k ˌu ŋ t ɹ ɐ ʃ t ˈa s ɨ
contraste|k ˌu ŋ t ɹ ˈa ʃ t ɨ
contrastes|k ˌu ŋ t ɹ ˈa ʃ t ɨ ʃ
contrastes”|k ˌu ŋ t ɹ ˈa ʃ t ɨ ʃ
contrata|k ˌu ŋ t ɹ ˈa t ɐ
contrata+|k ˌu ŋ t ɹ ˈa t ɐ m ˈaɪ ʃ
contratada|k ˌu ŋ t ɹ ɐ t ˈa d ɐ
contratadas|k ˌu ŋ t ɹ ɐ t ˈa d ɐ ʃ
contratado|k ˌu ŋ t ɹ ɐ t ˈa d ʊ
contratados|k ˌu ŋ t ɹ ɐ t ˈa d ʊ ʃ
contratam|k ˌu ŋ t ɹ ˈa t ɐ̃ʊ̃
contratamos|k ˌu ŋ t ɹ ɐ t ˈɐ̃ m ʊ ʃ
contratando|k ˌu ŋ t ɹ ɐ t ˈɐ̃ ŋ d ʊ
contratante|k ˌu ŋ t ɹ ɐ t ˈɐ̃ ŋ t ɨ
contratantes|k ˌu ŋ t ɹ ɐ t ˈɐ̃ ŋ t ɨ ʃ
contratar|k ˌu ŋ t ɹ ɐ t ˈa ɹ
contrataram|k ˌu ŋ t ɹ ɐ t ˈa ɾ ɐ̃ʊ̃
contratará|k ˌu ŋ t ɹ ɐ t ɐ ɾ ˈa
contratar”|k ˌu ŋ t ɹ ɐ t ˈa ɹ
contratasse|k ˌu ŋ t ɹ ɐ t ˈa s ɨ
contratava|k ˌu ŋ t ɹ ɐ t ˈa v ɐ
contratação|k ˌu ŋ t ɹ ɐ t ɐ s ˈɐ̃ʊ̃
contratação”|k ˌu ŋ t ɹ ɐ t ɐ s ˈɐ̃ʊ̃
contratações|k ˌu ŋ t ɹ ɐ t ɐ s ˈõ j ʃ
contratei|k ˌu ŋ t ɹ ɐ t ˈeɪ
contratem|k ˌu ŋ t ɹ ˈa t eɪ ŋ
contratemos”|k ˌu ŋ t ɹ ɐ t ˈe m ʊ ʃ
contratempo|k ˌu ŋ t ɹ ɐ t ˈeɪ m p ʊ
contratempos|k ˌu ŋ t ɹ ɐ t ˈeɪ m p ʊ ʃ
contrato|k ˌu ŋ t ɹ ˈa t ʊ
contratorpedeiro|k ˌu ŋ t ɹ ɐ t ˌu ɾ ə p ɨ d ˈeɪ ɾ ʊ
contratos|k ˌu ŋ t ɹ ˈa t ʊ ʃ
contratou|k ˌu ŋ t ɹ ɐ t ˈo w
contrato”|k ˌu ŋ t ɹ ˈa t ʊ
contratuais|k ˌu ŋ t ɹ ɐ t u ˈaɪ ʃ
contratual|k ˌu ŋ t ɹ ɐ t u ˈɑ l
contratualização|k ˌu ŋ t ɹ ɐ t ˌu ɐ l ˌi z ɐ s ˈɐ̃ʊ̃
contraturno|k ˌu ŋ t ɹ ɐ t ˈu ɾ ə n ʊ
contratá|k ˌu ŋ t ɹ ɐ t ˈa
contração|k ˌu ŋ t ɹ ɐ s ˈɐ̃ʊ̃
contrações|k ˌu ŋ t ɹ ɐ s ˈõ j ʃ
contraí|k ˌu ŋ t ɹ ɐ ˈi
contraída|k ˌu ŋ t ɹ ɐ ˈi d ɐ
contraído|k ˌu ŋ t ɹ ɐ ˈi d ʊ
contraídos|k ˌu ŋ t ɹ ɐ ˈi d ʊ ʃ
contraíra|k ˌu ŋ t ɹ ɐ ˈi ɾ ɐ
contraíram|k ˌu ŋ t ɹ ɐ ˈi ɾ ɐ̃ʊ̃
contrei|k u ŋ t ɹ ˈeɪ
contreras|k ˌu ŋ t ɹ ˈe ɾ ɐ ʃ
contribua|k ˌu ŋ t ɹ i b ˈu ɐ
contribuam|k ˌu ŋ t ɹ i b ˈu ɐ̃ʊ̃
contribuem|k ˌu ŋ t ɹ i b ˈu eɪ ŋ
contribui|k ˌu ŋ t ɹ i b ˈuɪ
contribuições|k ˌu ŋ t ɹ i b ˌu i k ˈo ɨ ʃ
contribuidores|k ˌu ŋ t ɹ i b uɪ d ˈo ɾ ɨ ʃ
contribuindo|k ˌu ŋ t ɹ i b u ˈi ŋ d ʊ
contribuinte|k ˌu ŋ t ɹ i b u ˈi ŋ t ɨ
contribuintes|k ˌu ŋ t ɹ i b u ˈi ŋ t ɨ ʃ
contribuir|k ˌu ŋ t ɹ i b u ˈi ɹ
contribuirá|k ˌu ŋ t ɹ i b uɪ ɾ ˈa
contribuiu|k ˌu ŋ t ɹ i b w ˈiʊ
contribuições|k ˌu ŋ t ɹ i b uɪ s ˈõ j ʃ
contribui”|k ˌu ŋ t ɹ i b ˈuɪ
contributiva|k ˌu ŋ t ɹ i b u t ˈi v ɐ
contributo|k ˌu ŋ t ɹ i b ˈu t ʊ
contributo”|k ˌu ŋ t ɹ i b ˈu t ʊ
contribuí|k ˌu ŋ t ɹ i b w ˈi
contribuíam|k ˌu ŋ t ɹ i b w ˈi  ɐ̃ʊ̃
contribuído|k ˌu ŋ t ɹ i b u ˈi d ʊ
contribuíram|k ˌu ŋ t ɹ i b u ˈi ɾ ɐ̃ʊ̃
contribuírem|k ˌu ŋ t ɹ i b u ˈi ɾ eɪ ŋ
contrito|k ˌu ŋ t ɹ ˈi t ʊ
contrição|k ˌu ŋ t ɹ i s ˈɐ̃ʊ̃
contro|k ˈo ŋ t ɹ ʊ
controla|k ˌu ŋ t ɹ ˈɔ l ɐ
controlada|k ˌu ŋ t ɹ u l ˈa d ɐ
controladas|k ˌu ŋ t ɹ u l ˈa d ɐ ʃ
controlada”|k ˌu ŋ t ɹ u l ˈa d ɐ
controlado|k ˌu ŋ t ɹ u l ˈa d ʊ
controlador|k ˌu ŋ t ɹ u l ɐ d ˈo ɹ
controladora|k ˌu ŋ t ɹ u l ɐ d ˈo ɾ ɐ
controladores|k ˌu ŋ t ɹ u l ɐ d ˈo ɾ ɨ ʃ
controladoria|k ˌu ŋ t ɹ u l ˌɐ d u ɾ ˈi  ɐ
controlados|k ˌu ŋ t ɹ u l ˈa d ʊ ʃ
controlam|k ˌu ŋ t ɹ ˈɔ l ɐ̃ʊ̃
controlamos|k ˌu ŋ t ɹ u l ˈɐ̃ m ʊ ʃ
controlando|k ˌu ŋ t ɹ u l ˈɐ̃ ŋ d ʊ
controlaram|k ˌu ŋ t ɹ u l ˈa ɾ ɐ̃ʊ̃
controlará|k ˌu ŋ t ɹ u l ɐ ɾ ˈa
controlar”|k ˌu ŋ t ɹ u l ˈa ɹ
controlava|k ˌu ŋ t ɹ u l ˈa v ɐ
controle|k ˌu ŋ t ɹ ˈɔ l ɨ
controles|k ˌu ŋ t ɹ ˈo l ɨ ʃ
controle”|k ˌu ŋ t ɹ ˈɔ l ɨ
controlo|k ˌu ŋ t ɹ ˈɔ l ʊ
controlou|k ˌu ŋ t ɹ u l ˈo w
controlá|k ˌu ŋ t ɹ u l ˈa
controversa|k ˌu ŋ t ɹ u v ˈɛ ɾ ə s ɐ
controversas|k ˌu ŋ t ɹ u v ˈe ɾ ə s ɐ ʃ
controverso|k ˌu ŋ t ɹ u v ˈɛ ɾ ə s ʊ
controversos|k ˌu ŋ t ɹ u v ˈe ɾ ə s ʊ ʃ
controversos”|k ˌu ŋ t ɹ u v ˈɛ ɾ ə s ʊ ʃ
controvérsia|k ˌu ŋ t ɹ u v ˈɛ ɾ ə s j ɐ
controvérsias|k ˌu ŋ t ɹ u v ˈɛ ɾ ə s i  ɐ ʃ
contru|k u ŋ t ɹ ˈu
contrária|k ˌu ŋ t ɹ ˈa ɾ j ɐ
contrárias|k ˌu ŋ t ɹ ˈa ɾ i  ɐ ʃ
contrário|k ˌu ŋ t ɹ ˈa ɾ j ʊ
contrários|k ˌu ŋ t ɹ ˈa ɾ iʊ ʃ
contudo|k ˌu ŋ t ˈu d ʊ
contundente|k ˌu ŋ t ũ ŋ d ˈeɪ ŋ t ɨ
contundentes|k ˌu ŋ t ũ ŋ d ˈeɪ ŋ t ɨ ʃ
conturbada|k ˌu ŋ t u ɾ ə b ˈa d ɐ
conturbado|k ˌu ŋ t u ɾ ə b ˈa d ʊ
conturbados|k ˌu ŋ t u ɾ ə b ˈa d ʊ ʃ
contusão|k ˌu ŋ t u z ˈɐ̃ʊ̃
contusões|k ˌu ŋ t u z ˈõ j ʃ
contá|k u ŋ t ˈa
contábeis|k ˌu ŋ t ˈa b eɪ ʃ
contábil|k ˌu ŋ t ˈa b i l
contágio|k ˌu ŋ t ˈa ʒ j ʊ
contário|k ˌu ŋ t ˈa ɾ j ʊ
conté|k u ŋ t ˈɛ
contém|k u ŋ t ˈeɪ ŋ
contê|k u ŋ t ˈe
contêiner|k ˌu ŋ t ˈe i n ɨ ɹ
contêineres|k ˌu ŋ t ˈe i n ɨ ɾ ɨ ʃ
contêm|k u ŋ t ˈeɪ ŋ
contíguas|k ˌu ŋ t ˈi ɡ w ɐ ʃ
contínua|k ˌu ŋ t ˈi n u ɐ
contínuas|k ˌu ŋ t ˈi n u ɐ ʃ
contínua”|k ˌu ŋ t ˈi n u ɐ
contínuo|k ˌu ŋ t ˈi n u ʊ
contínuos|k ˌu ŋ t ˈi n w ʊ ʃ
convalescendo|k ˌu ŋ v ɐ l ɨ s ˈeɪ ŋ d ʊ
convalescer|k ˌu ŋ v ɐ l ɨ s ˈe ɹ
convalescência|k ˌu ŋ v ɐ l ɨ s ˈeɪ ŋ s j ɐ
convatec|k ˌu ŋ v ɐ t ˈe k
convectivos|k u ŋ v ˌɛ t ˈi v ʊ ʃ
convecção|k ˌu ŋ v ˈɛ s ɐ̃ʊ̃
convence|k ˌu ŋ v ˈeɪ ŋ s ɨ
convencem|k ˌu ŋ v ˈeɪ ŋ s eɪ ŋ
convencendo|k ˌu ŋ v eɪ ŋ s ˈeɪ ŋ d ʊ
convencer|k ˌu ŋ v eɪ ŋ s ˈe ɹ
convenceram|k ˌu ŋ v eɪ ŋ s ˈe ɾ ɐ̃ʊ̃
convenceria|k ˌu ŋ v eɪ ŋ s ɨ ɾ ˈi  ɐ
convenceu|k ˌu ŋ v eɪ ŋ s ˈeʊ
convenci|k ˌu ŋ v eɪ ŋ s ˈi
convenciam|k ˌu ŋ v eɪ ŋ s ˈi  ɐ̃ʊ̃
convencida|k ˌu ŋ v eɪ ŋ s ˈi d ɐ
convencido|k ˌu ŋ v eɪ ŋ s ˈi d ʊ
convencidos|k ˌu ŋ v eɪ ŋ s ˈi d ʊ ʃ
convencimento|k ˌu ŋ v eɪ ŋ s i m ˈeɪ ŋ t ʊ
convencionais|k ˌu ŋ v eɪ ŋ s ˌi  u n ˈaɪ ʃ
convencional|k ˌu ŋ v eɪ ŋ s ˌi  u n ˈɑ l
convencionou|k ˌu ŋ v eɪ ŋ s ˌi  u n ˈo w
convencê|k ˌu ŋ v eɪ ŋ s ˈe
convenhamos|k ˌu ŋ v ɨ ɲ ˈɐ̃ m ʊ ʃ
conveniente|k ˌu ŋ v ɨ n i  ˈeɪ ŋ t ɨ
convenientemente|k ˌu ŋ v ɨ n ˌi  eɪ ŋ t ɨ m ˈeɪ ŋ t ɨ
convenientes|k ˌu ŋ v ɨ n i  ˈeɪ ŋ t ɨ ʃ
conveniência|k ˌu ŋ v ɨ n j ˈeɪ ŋ s j ɐ
conveniências|k ˌu ŋ v ɨ n j ˈeɪ ŋ s i  ɐ ʃ
convention| k ə n v ˈɛ n ʃ ə n (pt-pt)
conventions|k ˌu ŋ v eɪ ŋ t i  ˈo ŋ ʃ
convento|k ˌu ŋ v ˈeɪ ŋ t ʊ
convenção|k ˌu ŋ v eɪ ŋ s ˈɐ̃ʊ̃
convenções|k ˌu ŋ v eɪ ŋ s ˈõ j ʃ
convergente|k ˌu ŋ v ɨ ɾ ə ʒ ˈeɪ ŋ t ɨ
convergia|k ˌu ŋ v ɨ ɾ ə ʒ ˈi  ɐ
convergindo|k ˌu ŋ v ɨ ɾ ə ʒ ˈi ŋ d ʊ
convergência|k ˌu ŋ v ɨ ɾ ə ʒ ˈeɪ ŋ s j ɐ
convergências|k ˌu ŋ v ɨ ɾ ə ʒ ˈeɪ ŋ s i  ɐ ʃ
conversacional|k ˌu ŋ v ɨ ɾ ə s ˌɐ s i  u n ˈɑ l
conversadas|k ˌu ŋ v ɨ ɾ ə s ˈa d ɐ ʃ
conversadeira|k ˌu ŋ v ɨ ɾ ə s ɐ d ˈeɪ ɾ ɐ
conversado|k ˌu ŋ v ɨ ɾ ə s ˈa d ʊ
conversam|k ˌu ŋ v ˈɛ ɾ ə s ɐ̃ʊ̃
conversamos|k ˌu ŋ v ɨ ɾ ə s ˈɐ̃ m ʊ ʃ
conversando|k ˌu ŋ v ɨ ɾ ə s ˈɐ̃ ŋ d ʊ
conversar|k ˌu ŋ v ɨ ɾ ə s ˈa ɹ
conversaram|k ˌu ŋ v ɨ ɾ ə s ˈa ɾ ɐ̃ʊ̃
conversarem|k ˌu ŋ v ɨ ɾ ə s ˈa ɾ eɪ ŋ
conversaremos|k ˌu ŋ v ɨ ɾ ə s ɐ ɾ ˈe m ʊ ʃ
conversaria|k ˌu ŋ v ɨ ɾ ə s ɐ ɾ ˈi  ɐ
conversariam|k ˌu ŋ v ɨ ɾ ə s ɐ ɾ ˈi  ɐ̃ʊ̃
conversarmos|k ˌu ŋ v ɨ ɾ ə s ˈa ɾ ə m ʊ ʃ
conversará|k ˌu ŋ v ɨ ɾ ə s ɐ ɾ ˈa
conversas|k ˌu ŋ v ˈe ɾ ə s ɐ ʃ
conversassem|k ˌu ŋ v ɨ ɾ ə s ˈa s eɪ ŋ
conversava|k ˌu ŋ v ɨ ɾ ə s ˈa v ɐ
conversavam|k ˌu ŋ v ɨ ɾ ə s ˈa v ɐ̃ʊ̃
conversação|k ˌu ŋ v ɨ ɾ ə s ɐ s ˈɐ̃ʊ̃
conversações|k ˌu ŋ v ɨ ɾ ə s ɐ s ˈõ j ʃ
converse|k ˌu ŋ v ˈɛ ɾ ə s ɨ
conversei|k ˌu ŋ v ɨ ɾ ə s ˈeɪ
conversem|k ˌu ŋ v ˈɛ ɾ ə s eɪ ŋ
conversion|k ˌu ŋ v ɨ ɾ ə s i  ˈo ŋ
converso|k ˌu ŋ v ˈɛ ɾ ə s ʊ
conversores|k ˌu ŋ v ɨ ɾ ə s ˈo ɾ ɨ ʃ
conversou|k ˌu ŋ v ɨ ɾ ə s ˈo w
converssar|k ˌu ŋ v ɨ ɾ ə s ˈa ɹ
converssas|k ˌu ŋ v ˈe ɾ ə s ɐ ʃ
conversávamos|k ˌu ŋ v ɨ ɾ ə s ˈa v ɐ m ʊ ʃ
conversão|k ˌu ŋ v ɨ ɾ ə s ˈɐ̃ʊ̃
conversível|k ˌu ŋ v ɨ ɾ ə s ˈi v ˌɛ l
converte|k ˌu ŋ v ˈɛ ɾ ə t ɨ
converter|k ˌu ŋ v ɨ ɾ ə t ˈe ɹ
converteram|k ˌu ŋ v ɨ ɾ ə t ˈe ɾ ɐ̃ʊ̃
converterdes|k ˌu ŋ v ɨ ɾ ə t ˈe ɾ ə d ɨ ʃ
converteriam|k ˌu ŋ v ɨ ɾ ə t ɨ ɾ ˈi  ɐ̃ʊ̃
converteu|k ˌu ŋ v ɨ ɾ ə t ˈeʊ
convertida|k ˌu ŋ v ɨ ɾ ə t ˈi d ɐ
convertidas|k ˌu ŋ v ɨ ɾ ə t ˈi d ɐ ʃ
convertido|k ˌu ŋ v ɨ ɾ ə t ˈi d ʊ
convertidos|k ˌu ŋ v ɨ ɾ ə t ˈi d ʊ ʃ
convertê|k ˌu ŋ v ɨ ɾ ə t ˈe
conveses|k ˌu ŋ v ˈɛ z ɨ s
convi|k u ŋ v ˈi
convicto|k ˌu ŋ v ˈi t ʊ
convictos|k ˌu ŋ v ˈi t ʊ ʃ
convicção|k ˌu ŋ v i s ˈɐ̃ʊ̃
convicções|k ˌu ŋ v i s ˈõ j ʃ
convida|k ˌu ŋ v ˈi d ɐ
convidada|k ˌu ŋ v i d ˈa d ɐ
convidadas|k ˌu ŋ v i d ˈa d ɐ ʃ
convidado|k ˌu ŋ v i d ˈa d ʊ
convidados|k ˌu ŋ v i d ˈa d ʊ ʃ
convidam|k ˌu ŋ v ˈi d ɐ̃ʊ̃
convidamos|k ˌu ŋ v i d ˈɐ̃ m ʊ ʃ
convidando|k ˌu ŋ v i d ˈɐ̃ ŋ d ʊ
convidar|k ˌu ŋ v i d ˈa ɹ
convidaram|k ˌu ŋ v i d ˈa ɾ ɐ̃ʊ̃
convidaria|k ˌu ŋ v i d ɐ ɾ ˈi  ɐ
convidativo|k ˌu ŋ v i d ɐ t ˈi v ʊ
convidativos|k ˌu ŋ v i d ɐ t ˈi v ʊ ʃ
convidava|k ˌu ŋ v i d ˈa v ɐ
convide|k ˌu ŋ v ˈi d ɨ
convido|k ˌu ŋ v ˈi d ʊ
convidou|k ˌu ŋ v i d ˈo w
