$|d ˈo l a
imeonyeshwa|ˌi m e o ɲ ˈe ʃ w a
imeorodheshwa|ˌi m e ˌo r o ð ˈe ʃ w a
imeoza|ˌi m e ˈo z a
imepakana|ˌi m e p a k ˈa n a
imepambanuliwa|ˌi m e p ˌa m b a n u l ˈi w a
imepanda|ˌi m e p ˈa n d a
imepandwa|ˌi m e p ˈa n d w a
imepangiwa|ˌi m e p a ŋ ɡ ˈi w a
imepangwa|ˌi m e p ˈa ŋ ɡ w a
imepanuliwa|ˌi m e p ˌa n u l ˈi w a
imepasuka|ˌi m e p a s ˈu k a
imepata|ˌi m e p ˈa t a
imepatikana|ˌi m e p ˌa t i k ˈa n a
imepelekea|ˌi m e p ˌe l e k ˈe a
imepelekwa|ˌi m e p e l ˈe k w a
imependekeza|ˌi m e p ˌe n d e k ˈe z a
imependekezwa|ˌi m e p ˌe n d e k ˈe z w a
imependezwa|ˌi m e p e n d ˈe z w a
imepeperusha|ˌi m e p ˌe p e r ˈu ʃ a
imepewa|ˌi m e p ˈe w a
imepiga|ˌi m e p ˈi ɡ a
imepikwa|ˌi m e p ˈi k w a
imepinduliwa|ˌi m e p ˌi n d u l ˈi w a
imepinga|ˌi m e p ˈi ŋ ɡ a
imepita|ˌi m e p ˈi t a
imepitia|ˌi m e p i t ˈi a
imepitishwa|ˌi m e p i t ˈi ʃ w a
imepitiwa|ˌi m e p i t ˈi w a
imepkana|ˌi m e p  k ˈa n a
imepoa|ˌi m e p ˈo a
imepokea|ˌi m e p o k ˈe a
imepoteza|ˌi m e p o t ˈe z a
imepotoka|ˌi m e p o t ˈo k a
imepotoshwa|ˌi m e p o t ˈo ʃ w a
imepungua|ˌi m e p u ŋ ɡ ˈu a
imepunguka|ˌi m e p u ŋ ɡ ˈu k a
imepunguza|ˌi m e p u ŋ ɡ ˈu z a
imepunguzwa|ˌi m e p u ŋ ɡ ˈu z w a
imerahisisha|ˌi m e r ˌa h i s ˈi ʃ a
imerejea|ˌi m e r e ɟ ˈe a
imerekebisha|ˌi m e r ˌe k e b ˈi ʃ a
imeripotiwa|ˌi m e r ˌi p o t ˈi w a
imerudi|ˌi m e r ˈu d i
imerudia|ˌi m e r u d ˈi a
imesababisha|ˌi m e s ˌa b a b ˈi ʃ a
imesababishwa|ˌi m e s ˌa b a b ˈi ʃ w a
imesagwa|ˌi m e s ˈa ɡ w a
imesaidia|ˌi m e s ˌa i d ˈi a
imesaidiwa|ˌi m e s ˌa i d ˈi w a
imesajiliwa|ˌi m e s ˌa ɟ i l ˈi w a
imesalia|ˌi m e s a l ˈi a
imesambaa|ˌi m e s a m b ˈa a
imesema|ˌi m e s ˈe m a
imeshakamilika|ˌi m e ʃ ˌa k a m i l ˈi k a
imeshaomba|ˌi m e ʃ a ˈo m b a
imeshaonekana|ˌi m e ʃ ˌa o n e k ˈa n a
imeshatangazwa|ˌi m e ʃ ˌa t a ŋ ɡ ˈa z w a
imeshatoa|ˌi m e ʃ a t ˈo a
imeshikana|ˌi m e ʃ i k ˈa n a
imeshinda|ˌi m e ʃ ˈi n d a
imeshindikana|ˌi m e ʃ ˌi n d i k ˈa n a
imeshindwa|ˌi m e ʃ ˈi n d w a
imeshiriki|ˌi m e ʃ i r ˈi k i
imeshirikiana|ˌi m e ʃ ˌi r i k i ˈa n a
imeshirikisha|ˌi m e ʃ ˌi r i k ˈi ʃ a
imeshuhudia|ˌi m e ʃ ˌu h u d ˈi a
imeshushwa|ˌi m e ʃ ˈu ʃ w a
imesikiwa|ˌi m e s i k ˈi w a
imesimamishwa|ˌi m e s ˌi m a m ˈi ʃ w a
imesomwa|ˌi m e s ˈo m w a
imetabarukiwa|ˌi m e t ˌa b a r u k ˈi w a
imetabiri|ˌi m e t a b ˈi r i
imetabiriwa|ˌi m e t ˌa b i r ˈi w a
imetafitiwa|ˌi m e t ˌa f i t ˈi w a
imetafsiriwa|ˌi m e t ˌa f s i r ˈi w a
imetahayarika|ˌi m e t ˌa h a j a r ˈi k a
imetaja|ˌi m e t ˈa ɟ a
imetajwa|ˌi m e t ˈa ɟ u a
imetambuliwa|ˌi m e t ˌa m b u l ˈi w a
imetangazwa|ˌi m e t a ŋ ɡ ˈa z w a
imetangulia|ˌi m e t ˌa ŋ ɡ u l ˈi a
imetathminiwa|ˌi m e t ˌa θ  m i n ˈi w a
imetawala|ˌi m e t a w ˈa l a
imetawaliwa|ˌi m e t ˌa w a l ˈi w a
imetayarishwa|ˌi m e t ˌa j a r ˈi ʃ w a
imetazamwa|ˌi m e t a z ˈa m w a
imeteketea|ˌi m e t ˌe k e t ˈe a
imeteketezwa|ˌi m e t ˌe k e t ˈe z w a
imetenda|ˌi m e t ˈe n d a
imetenga|ˌi m e t ˈe ŋ ɡ a
imetenganishwa|ˌi m e t ˌe ŋ ɡ a n ˈi ʃ w a
imetengenezwa|ˌi m e t ˌe ŋ ɡ e n ˈe z w a
imeteuliwa|ˌi m e t ˌe u l ˈi w a
imethibitishwa|ˌi m e θ ˌi b i t ˈi ʃ w a
imethibitshwa|ˌi m e θ i b ˈi t ʃ w a
imetikisika|ˌi m e t ˌi k i s ˈi k a
imetimilika|ˌi m e t ˌi m i l ˈi k a
imetimiza|ˌi m e t i m ˈi z a
imetiwa|ˌi m e t ˈi w a
imetjwa|i m ˈe t ɟ u a
imetoboka|ˌi m e t o b ˈo k a
imetoka|ˌi m e t ˈo k a
imetokana|ˌi m e t o k ˈa n a
imetokea|ˌi m e t o k ˈe a
imetolewa|ˌi m e t o l ˈe w a
imetowa|ˌi m e t ˈo w a
imetoweka|ˌi m e t o w ˈe k a
imetukuka|ˌi m e t u k ˈu k a
imetulia|ˌi m e t u l ˈi a
imetumia|ˌi m e t u m ˈi a
imetumika|ˌi m e t u m ˈi k a
imetumiwa|ˌi m e t u m ˈi w a
imetungiwa|ˌi m e t u ŋ ɡ ˈi w a
imetungwa|ˌi m e t ˈu ŋ ɡ w a
imetunza|ˌi m e t ˈu n z a
imetunzwa|ˌi m e t ˈu n z w a
imetupasa|ˌi m e t u p ˈa s a
imeumbwa|ˌi m e ˈu m b w a
imeunda|ˌi m e ˈu n d a
imeundwa|ˌi m e ˈu n d w a
imeungana|ˌi m e u ŋ ɡ ˈa n a
imeunganisha|ˌi m e ˌu ŋ ɡ a n ˈi ʃ a
imeunganishwa|ˌi m e ˌu ŋ ɡ a n ˈi ʃ w a
imeungwa|ˌi m e ˈu ŋ ɡ w a
imeuza|ˌi m e ˈu z a
imeuzwa|ˌi m e ˈu z w a
imevipa|ˌi m e v ˈi p a
imevunjika|ˌi m e v u ɲ ɟ ˈi k a
imewaangaza|ˌi m e w ˌa a ŋ ɡ ˈa z a
imewabidi|ˌi m e w a b ˈi d i
imewahi|ˌi m e w ˈa h i
imewajibika|ˌi m e w ˌa ɟ i b ˈi k a
imewaka|ˌi m e w ˈa k a
imewakamata|ˌi m e w ˌa k a m ˈa t a
imewakusanya|ˌi m e w ˌa k u s ˈa ɲ a
imewapa|ˌi m e w ˈa p a
imewapasa|ˌi m e w a p ˈa s a
imewapendeza|ˌi m e w ˌa p e n d ˈe z a
imewapoteza|ˌi m e w ˌa p o t ˈe z a
imewaraisishia|ˌi m e w ˌa r a ˌi s i ʃ ˈi a
imewasaidia|ˌi m e w ˌa s a i d ˈi a
imewasilishwa|ˌi m e w ˌa s i l ˈi ʃ w a
imewavutia|ˌi m e w ˌa v u t ˈi a
imeweka|ˌi m e w ˈe k a
imewekewa|ˌi m e w e k ˈe w a
imewekwa|ˌi m e w ˈe k w a
imeweza|ˌi m e w ˈe z a
imewezekana|ˌi m e w ˌe z e k ˈa n a
imewezesha|ˌi m e w e z ˈe ʃ a
imeyaamuru|ˌi m e j ˌa a m ˈu r u
imezaa|ˌi m e z ˈa a
imezibwa|ˌi m e z ˈi b w a
imezibwana|ˌi m e z i b w ˈa n a
imezidi|ˌi m e z ˈi d i
imezifanya|ˌi m e z i f ˈa ɲ a
imezimwa|ˌi m e z ˈi m w a
imezingirwa|ˌi m e z i ŋ ɡ ˈi r w a
imezitanda|ˌi m e z i t ˈa n d a
imezoeleka|ˌi m e z ˌo e l ˈe k a
imezungukwa|ˌi m e z u ŋ ɡ ˈu k w a
imf|ˈi m f
imidazoli|ˌi m i d a z ˈo l i
imikimiliki|ˌi m i k ˌi m i l ˈi k i
imini|i m ˈi n i
imino|i m ˈi n o
imipramine|ˌi m i p  r a m ˈi n e
imipramini|ˌi m i p  r a m ˈi n i
imjenge|i m ɟ ˈe ŋ ɡ e
immaculate|ˌi m  m a k u l ˈa t e
immateriella|ˌi m  m a t ˌe r i ˈe l l a
imo|ˈi m o
imomonyoke|ˌi m o m o ɲ ˈo k e
impa|ˈi m p a
impala|i m p ˈa l a
impasayo|ˌi m p a s ˈa j o
impatients|ˌi m p a t ˈi e n t s
impeachment|ˌi m p e ˈa tʃ m e n t
imperial|ˌi m p e r ˈi a l
imphal|ˈi m p h a l
impi|ˈi m p i
implan|ˈi m p l a n
imponerad|ˌi m p o n ˈe r a d
import|ˈi m p o r t
importen|i m p ˈo r t e n
importera|ˌi m p o r t ˈe r a
importerad|ˌi m p o r t ˈe r a d
importerat|ˌi m p o r t ˈe r a t
importörer|ˌi m p o r t ˈo r e r
improvisera|ˌi m p  r o v i s ˈe r a
imt|ˈi m t
imulikwe|ˌi m u l ˈi k w e
imwagayo|ˌi m w a ɡ ˈa j o
in|ˈi n
ina|ˈi n a
inaacha|ˌi n a ˈa tʃ a
inaachishwa|ˌi n a a tʃ ˈi ʃ w a
inaadhimisha|ˌi n a ˌa ð i m ˈi ʃ a
inaadhimishwa|ˌi n a ˌa ð i m ˈi ʃ w a
inaadhiri|ˌi n a a ð ˈi r i
inaambata|ˌi n a a m b ˈa t a
inaambatana|ˌi n a ˌa m b a t ˈa n a
inaamika|ˌi n a a m ˈi k a
inaaminika|ˌi n a ˌa m i n ˈi k a
inaaminiwa|ˌi n a ˌa m i n ˈi w a
inaamsha|ˌi n a ˈa m ʃ a
inaamua|ˌi n a a m ˈu a
inaamuliwa|ˌi n a ˌa m u l ˈi w a
inaandikwa|ˌi n a a n d ˈi k w a
inaangalia|ˌi n a ˌa ŋ ɡ a l ˈi a
inaangaliwa|ˌi n a ˌa ŋ ɡ a l ˈi w a
inaangukia|ˌi n a ˌa ŋ ɡ u k ˈi a
inaanza|ˌi n a ˈa n z a
inaanzia|ˌi n a a n z ˈi a
inaanzisha|ˌi n a a n z ˈi ʃ a
inaashilia|ˌi n a ˌa ʃ i l ˈi a
inaashiria|ˌi n a ˌa ʃ i r ˈi a
inaathiri|ˌi n a a θ ˈi r i
inaathiriwa|ˌi n a ˌa θ i r ˈi w a
inaatiriwa|ˌi n a ˌa t i r ˈi w a
inaatokea|ˌi n a ˌa t o k ˈe a
inaazishwa|ˌi n a a z ˈi ʃ w a
inabadilika|ˌi n a b ˌa d i l ˈi k a
inabadilikabadilika|ˌi n a b ˌa d i l ˌi k a b ˌa d i l ˈi k a
inabadilisha|ˌi n a b ˌa d i l ˈi ʃ a
inabadilishwa|ˌi n a b ˌa d i l ˈi ʃ w a
inabainisha|ˌi n a b ˌa i n ˈi ʃ a
inabakana|ˌi n a b a k ˈa n a
inabaki|ˌi n a b ˈa k i
inabakia|ˌi n a b a k ˈi a
inabeba|ˌi n a b ˈe b a
inabidi|ˌi n a b ˈi d i
inabomoa|ˌi n a b o m ˈo a
inaboresha|ˌi n a b o r ˈe ʃ a
inaccessible|ˌi n a k k e s s ˈi b l e
inachafusha|ˌi n a tʃ a f ˈu ʃ a
inachagua|ˌi n a tʃ a ɡ ˈu a
inachaguliwa|ˌi n a tʃ ˌa ɡ u l ˈi w a
inachanganya|ˌi n a tʃ a ŋ ɡ ˈa ɲ a
inachanganywa|ˌi n a tʃ a ŋ ɡ ˈa ɲ u a
inachangia|ˌi n a tʃ a ŋ ɡ ˈi a
inachekesha|ˌi n a tʃ e k ˈe ʃ a
inachelweshwa|ˌi n a tʃ e l w ˈe ʃ w a
inacheza|ˌi n a tʃ ˈe z a
inachezwa|ˌi n a tʃ ˈe z w a
inachokifyonza|ˌi n a tʃ ˌo k i f j ˈo n z a
inachoma|ˌi n a tʃ ˈo m a
inachomeka|ˌi n a tʃ o m ˈe k a
inachoweza|ˌi n a tʃ o w ˈe z a
inachuku|ˌi n a tʃ ˈu k u
inachukuliwa|ˌi n a tʃ ˌu k u l ˈi w a
inadai|ˌi n a d ˈa i
inadaiwa|ˌi n a d a ˈi w a
inadaka|ˌi n a d ˈa k a
inadhania|ˌi n a ð a n ˈi a
inadhaniwa|ˌi n a ð a n ˈi w a
inadhibitiwa|ˌi n a ð ˌi b i t ˈi w a
inadhihirishwa|ˌi n a ð ˌi h i r ˈi ʃ w a
inadhoofika|ˌi n a ð ˌo o f ˈi k a
inadhoofisha|ˌi n a ð ˌo o f ˈi ʃ a
inadokeza|ˌi n a d o k ˈe z a
inadumisha|ˌi n a d u m ˈi ʃ a
inadumu|ˌi n a d ˈu m u
inaeelezea|ˌi n a ˌe e l e z ˈe a
inaelekea|ˌi n a ˌe l e k ˈe a
inaeleweka|ˌi n a ˌe l e w ˈe k a
inaelezea|ˌi n a ˌe l e z ˈe a
inaelezewa|ˌi n a ˌe l e z ˈe w a
inaelezwa|ˌi n a e l ˈe z w a
inaenaendelea|ˌi n a ˌe n a ˌe n d e l ˈe a
inaenda|ˌi n a ˈe n d a
inaendana|ˌi n a e n d ˈa n a
inaendeka|ˌi n a e n d ˈe k a
inaendele|ˌi n a e n d ˈe l e
inaendelea|ˌi n a ˌe n d e l ˈe a
inaendesha|ˌi n a e n d ˈe ʃ a
inaendeshwa|ˌi n a e n d ˈe ʃ w a
inaenea|ˌi n a e n ˈe a
inaepa|ˌi n a ˈe p a
inaepukana|ˌi n a ˌe p u k ˈa n a
inafaa|ˌi n a f ˈa a
inafafanua|ˌi n a f ˌa f a n ˈu a
inafafanuliwa|ˌi n a f ˌa f a n u l ˈi w a
inafahamika|ˌi n a f ˌa h a m ˈi k a
inafaidika|ˌi n a f ˌa i d ˈi k a
inafanana|ˌi n a f a n ˈa n a
inafantya|ˌi n a f ˈa n t j a
inafanya|ˌi n a f ˈa ɲ a
inafanyika|ˌi n a f a ɲ ˈi k a
inafanyiwa|ˌi n a f a ɲ ˈi w a
inafanywa|ˌi n a f ˈa ɲ u a
inafaya|ˌi n a f ˈa j a
inafichuka|ˌi n a f i tʃ ˈu k a
inafichwa|ˌi n a f ˈi tʃ w a
inafika|ˌi n a f ˈi k a
inafikia|ˌi n a f i k ˈi a
inafikika|ˌi n a f i k ˈi k a
inafikiriwa|ˌi n a f ˌi k i r ˈi w a
inafikisha|ˌi n a f i k ˈi ʃ a
inafikiwa|ˌi n a f i k ˈi w a
inafuata|ˌi n a f u ˈa t a
inafuatana|ˌi n a f ˌu a t ˈa n a
inafuatia|ˌi n a f ˌu a t ˈi a
inafuatilia|ˌi n a f ˌu a t i l ˈi a
inafuatwa|ˌi n a f u ˈa t w a
inafundisha|ˌi n a f u n d ˈi ʃ a
inafundishwa|ˌi n a f u n d ˈi ʃ w a
inafunguka|ˌi n a f u ŋ ɡ ˈu k a
inafunguliwa|ˌi n a f ˌu ŋ ɡ u l ˈi w a
inafungwa|ˌi n a f ˈu ŋ ɡ w a
inafunika|ˌi n a f u n ˈi k a
inafupisha|ˌi n a f u p ˈi ʃ a
inafurahisha|ˌi n a f ˌu r a h ˈi ʃ a
inafutilia|ˌi n a f ˌu t i l ˈi a
inafyatuliwa|ˌi n a f j ˌa t u l ˈi w a
inagawa|ˌi n a ɡ ˈa w a
inagawanywa|ˌi n a ɡ a w ˈa ɲ u a
inagharimu|ˌi n a ɣ a r ˈi m u
inagonga|ˌi n a ɡ ˈo ŋ ɡ a
inagundua|ˌi n a ɡ u n d ˈu a
inagundulika|ˌi n a ɡ ˌu n d u l ˈi k a
inagusa|ˌi n a ɡ ˈu s a
inahakikisha|ˌi n a h ˌa k i k ˈi ʃ a
inaharibu|ˌi n a h a r ˈi b u
inahatarisha|ˌi n a h ˌa t a r ˈi ʃ a
inahesabiwa|ˌi n a h ˌe s a b ˈi w a
inahifadhiwa|ˌi n a h ˌi f a ð ˈi w a
inahitaji|ˌi n a h i t ˈa ɟ i
inahitajika|ˌi n a h ˌi t a ɟ ˈi k a
inahubiriwa|ˌi n a h ˌu b i r ˈi w a
inahudumu|ˌi n a h u d ˈu m u
inahusiana|ˌi n a h ˌu s i ˈa n a
inahusika|ˌi n a h u s ˈi k a
inahusisha|ˌi n a h u s ˈi ʃ a
inahusishwa|ˌi n a h u s ˈi ʃ w a
inahusu|ˌi n a h ˈu s u
inaifanya|ˌi n a i f ˈa ɲ a
inaikabili|ˌi n a ˌi k a b ˈi l i
inaikumbusha|ˌi n a ˌi k u m b ˈu ʃ a
inaimarisha|ˌi n a ˌi m a r ˈi ʃ a
inaingia|ˌi n a i ŋ ɡ ˈi a
inainyanyasa|ˌi n a ˌi ɲ a ɲ ˈa s a
inaipa|ˌi n a ˈi p a
inaisha|ˌi n a ˈi ʃ a
inaishi|ˌi n a ˈi ʃ i
inaishia|ˌi n a i ʃ ˈi a
inaishilia|ˌi n a ˌi ʃ i l ˈi a
inaitumia|ˌi n a ˌi t u m ˈi a
inaitwa|ˌi n a ˈi t w a
inajadili|ˌi n a ɟ a d ˈi l i
inajadiliwa|ˌi n a ɟ ˌa d i l ˈi w a
inajaribu|ˌi n a ɟ a r ˈi b u
inajenga|ˌi n a ɟ ˈe ŋ ɡ a
inajengeka|ˌi n a ɟ e ŋ ɡ ˈe k a
inajengwa|ˌi n a ɟ ˈe ŋ ɡ w a
inajibu|ˌi n a ɟ ˈi b u
inajiendeleza|ˌi n a ɟ ˌi e n d e l ˈe z a
inajihusisha|ˌi n a ɟ ˌi h u s ˈi ʃ a
inajikaza|ˌi n a ɟ i k ˈa z a
inajipambanua|ˌi n a ɟ ˌi p a m b a n ˈu a
inajipanga|ˌi n a ɟ i p ˈa ŋ ɡ a
inajipatia|ˌi n a ɟ ˌi p a t ˈi a
inajiri|ˌi n a ɟ ˈi r i
inajishikilia|ˌi n a ɟ ˌi ʃ i k i l ˈi a
inajishughulisha|ˌi n a ɟ ˌi ʃ u ɣ u l ˈi ʃ a
inajitambulisha|ˌi n a ɟ ˌi t a m b u l ˈi ʃ a
inajitofautisha|ˌi n a ɟ ˌi t o f ˌa u t ˈi ʃ a
inajitokeza|ˌi n a ɟ ˌi t o k ˈe z a
inajitolea|ˌi n a ɟ ˌi t o l ˈe a
inajitosheleza|ˌi n a ɟ ˌi t o ʃ e l ˈe z a
inajiunga|ˌi n a ɟ i ˈu ŋ ɡ a
inajivunia|ˌi n a ɟ ˌi v u n ˈi a
inajulikana|ˌi n a ɟ ˌu l i k ˈa n a
inajumlisha|ˌi n a ɟ u m l ˈi ʃ a
inajumuisha|ˌi n a ɟ ˌu m u ˈi ʃ a
inajumuishwa|ˌi n a ɟ ˌu m u ˈi ʃ w a
inakaa|ˌi n a k ˈa a
inakabiliwa|ˌi n a k ˌa b i l ˈi w a
inakadiriwa|ˌi n a k ˌa d i r ˈi w a
inakaliwa|ˌi n a k a l ˈi w a
inakamilika|ˌi n a k ˌa m i l ˈi k a
inakanusha|ˌi n a k a n ˈu ʃ a
inakarabatiwa|ˌi n a k ˌa r a b a t ˈi w a
inakata|ˌi n a k ˈa t a
inakataa|ˌi n a k a t ˈa a
inakatishwa|ˌi n a k a t ˈi ʃ w a
inakatiza|ˌi n a k a t ˈi z a
inakatwa|ˌi n a k ˈa t w a
inakinga|ˌi n a k ˈi ŋ ɡ a
inakinzana|ˌi n a k i n z ˈa n a
inakiri|ˌi n a k ˈi r i
inakisia|ˌi n a k i s ˈi a
inakisiwa|ˌi n a k i s ˈi w a
inakoma|ˌi n a k ˈo m a
inakomahawatakunywa|ˌi n a k ˌo m a h ˌa w a t a k ˈu ɲ u a
inakorogwa|ˌi n a k o r ˈo ɡ w a
inakosa|ˌi n a k ˈo s a
inakua|ˌi n a k ˈu a
inakubali|ˌi n a k u b ˈa l i
inakubalika|ˌi n a k ˌu b a l ˈi k a
inakubaliwa|ˌi n a k ˌu b a l ˈi w a
inakufaa|ˌi n a k u f ˈa a
inakufanya|ˌi n a k u f ˈa ɲ a
inakufurahia|ˌi n a k ˌu f u r a h ˈi a
inakuja|ˌi n a k ˈu ɟ a
inakula|ˌi n a k ˈu l a
inakumbukwa|ˌi n a k u m b ˈu k w a
inakumbwa|ˌi n a k ˈu m b w a
inakuotea|ˌi n a k ˌu o t ˈe a
inakupa|ˌi n a k ˈu p a
inakusumbua|ˌi n a k ˌu s u m b ˈu a
inakutamani|ˌi n a k ˌu t a m ˈa n i
inakutana|ˌi n a k u t ˈa n a
inakutoa|ˌi n a k u t ˈo a
inakuua|ˌi n a k u ˈu a
inakuwa|ˌi n a k ˈu w a
inakuwaje|ˌi n a k u w ˈa ɟ e
inakuwepo|ˌi n a k u w ˈe p o
inakuzwa|ˌi n a k ˈu z w a
inakwama|ˌi n a k w ˈa m a
inakwenda|ˌi n a k w ˈe n d a
inalala|ˌi n a l ˈa l a
inalazimika|ˌi n a l ˌa z i m ˈi k a
inalenga|ˌi n a l ˈe ŋ ɡ a
inaleta|ˌi n a l ˈe t a
inalewa|ˌi n a l ˈe w a
inalia|ˌi n a l ˈi a
inalifanya|ˌi n a l i f ˈa ɲ a
inalima|ˌi n a l ˈi m a
inalimwa|ˌi n a l ˈi m w a
inalindwa|ˌi n a l ˈi n d w a
inalingana|ˌi n a l i ŋ ɡ ˈa n a
inalinganisha|ˌi n a l ˌi ŋ ɡ a n ˈi ʃ a
inalipa|ˌi n a l ˈi p a
inalyolengwa|ˌi n a l j o l ˈe ŋ ɡ w a
inamaamisha|ˌi n a m ˌa a m ˈi ʃ a
inamaana|ˌi n a m a ˈa n a
inamaanisha|ˌi n a m ˌa a n ˈi ʃ a
inamalizika|ˌi n a m ˌa l i z ˈi k a
inambidi|ˌi n a m b ˈi d i
inamchora|ˌi n a m tʃ ˈo r a
inamea|ˌi n a m ˈe a
inamenyuka|ˌi n a m e ɲ ˈu k a
inamfanya|ˌi n a m f ˈa ɲ a
inamgharimu|ˌi n a m ɣ a r ˈi m u
inamhimiza|ˌi n a m h i m ˈi z a
inamhusisha|ˌi n a m h u s ˈi ʃ a
inamiliki|ˌi n a m i l ˈi k i
inamilikiwa|ˌi n a m ˌi l i k ˈi w a
inamishwa|ˌi n a m ˈi ʃ w a
inamlipa|ˌi n a m l ˈi p a
inampa|i n ˈa m p a
inampasa|ˌi n a m p ˈa s a
inamsaidia|ˌi n a m s ˌa i d ˈi a
inamshirikisha|ˌi n a m ʃ ˌi r i k ˈi ʃ a
inamsukuma|ˌi n a m s u k ˈu m a
inamtaja|ˌi n a m t ˈa ɟ a
inamtaka|ˌi n a m t ˈa k a
inamua|ˌi n a m ˈu a
inamuheshimu|ˌi n a m ˌu h e ʃ ˈi m u
inamuhitaji|ˌi n a m ˌu h i t ˈa ɟ i
inamwakilisha|ˌi n a m w ˌa k i l ˈi ʃ a
inamwamsha|ˌi n a m w ˈa m ʃ a
inamwezesha|ˌi n a m w e z ˈe ʃ a
inamwonesha|ˌi n a m w o n ˈe ʃ a
inamwonyesha|ˌi n a m w o ɲ ˈe ʃ a
inangiza|ˌi n a ŋ ɡ ˈi z a
inangojea|ˌi n a ŋ ɡ o ɟ ˈe a
inang’amua|ˌi n a ŋ a m ˈu a
inanililia|ˌi n a n ˌi l i l ˈi a
inaniogopesha|ˌi n a n ˌi o ɡ o p ˈe ʃ a
inanipatia|ˌi n a n ˌi p a t ˈi a
inanizoesha|ˌi n a n ˌi z o ˈe ʃ a
inanogesha|ˌi n a n o ɡ ˈe ʃ a
inanolewa|ˌi n a n o l ˈe w a
inanufaika|ˌi n a n ˌu f a ˈi k a
inao|i n ˈa o
inaogopeka|ˌi n a ˌo ɡ o p ˈe k a
inaogopesha|ˌi n a ˌo ɡ o p ˈe ʃ a
inaojulikana|ˌi n a ˌo ɟ u l i k ˈa n a
inaokena|ˌi n a o k ˈe n a
inaoksidisha|ˌi n a ˌo k s i d ˈi ʃ a
inaomboleza|ˌi n a ˌo m b o l ˈe z a
inaona|ˌi n a ˈo n a
inaondoka|ˌi n a o n d ˈo k a
inaonekana|ˌi n a ˌo n e k ˈa n a
inaonelea|ˌi n a ˌo n e l ˈe a
inaonesha|ˌi n a o n ˈe ʃ a
inaongelea|ˌi n a ˌo ŋ ɡ e l ˈe a
inaongeza|ˌi n a o ŋ ɡ ˈe z a
inaongezeka|ˌi n a ˌo ŋ ɡ e z ˈe k a
inaongezwa|ˌi n a o ŋ ɡ ˈe z w a
inaongoza|ˌi n a o ŋ ɡ ˈo z a
inaongozwa|ˌi n a o ŋ ɡ ˈo z w a
inaonyeshwa|ˌi n a o ɲ ˈe ʃ w a
inaorodhesha|ˌi n a ˌo r o ð ˈe ʃ a
inaorodhwashwa|ˌi n a ˌo r o ð w ˈa ʃ w a
inaosababishwa|ˌi n a ˌo s a b a b ˈi ʃ w a
inaotesha|ˌi n a o t ˈe ʃ a
inaoweza|ˌi n a o w ˈe z a
inapakan|ˌi n a p ˈa k a n
inapakana|ˌi n a p a k ˈa n a
inapambwa|ˌi n a p ˈa m b w a
inapanda|ˌi n a p ˈa n d a
inapanua|ˌi n a p a n ˈu a
inapanusha|ˌi n a p a n ˈu ʃ a
inapashwa|ˌi n a p ˈa ʃ w a
inapaswa|ˌi n a p ˈa s w a
inapata|ˌi n a p ˈa t a
inapatakana|ˌi n a p ˌa t a k ˈa n a
inapatia|ˌi n a p a t ˈi a
inapatika|ˌi n a p a t ˈi k a
inapatikana|ˌi n a p ˌa t i k ˈa n a
inapayikana|ˌi n a p ˌa j i k ˈa n a
inapeleka|ˌi n a p e l ˈe k a
inapelekwa|ˌi n a p e l ˈe k w a
inapendekeza|ˌi n a p ˌe n d e k ˈe z a
inapendekezwa|ˌi n a p ˌe n d e k ˈe z w a
inapendelea|ˌi n a p ˌe n d e l ˈe a
inapendeza|ˌi n a p e n d ˈe z a
inapendwa|ˌi n a p ˈe n d w a
inapepea|ˌi n a p e p ˈe a
inapewa|ˌi n a p ˈe w a
inapiga|ˌi n a p ˈi ɡ a
inapinga|ˌi n a p ˈi ŋ ɡ a
inapingana|ˌi n a p i ŋ ɡ ˈa n a
inapingwa|ˌi n a p ˈi ŋ ɡ w a
inapita|ˌi n a p ˈi t a
inapitia|ˌi n a p i t ˈi a
inapngwa|i n ˈa p ŋ ɡ w a
inapo|i n ˈa p o
inapoa|ˌi n a p ˈo a
inapoanza|ˌi n a p o ˈa n z a
inapobeba|ˌi n a p o b ˈe b a
inapodungwa|ˌi n a p o d ˈu ŋ ɡ w a
inapoenda|ˌi n a p o ˈe n d a
inapoenea|ˌi n a p ˌo e n ˈe a
inapofaa|ˌi n a p o f ˈa a
inapofanikiwa|ˌi n a p ˌo f a n i k ˈi w a
inapofanyika|ˌi n a p ˌo f a ɲ ˈi k a
inapofanyiwa|ˌi n a p ˌo f a ɲ ˈi w a
inapofika|ˌi n a p o f ˈi k a
inapofungwa|ˌi n a p o f ˈu ŋ ɡ w a
inapogunduliwa|ˌi n a p ˌo ɡ u n d u l ˈi w a
inapohitajika|ˌi n a p ˌo h i t a ɟ ˈi k a
inapoishia|ˌi n a p ˌo i ʃ ˈi a
inapoitwa|ˌi n a p o ˈi t w a
inapokamilikae|ˌi n a p ˌo k a m ˌi l i k ˈa e
inapokaribia|ˌi n a p ˌo k a r i b ˈi a
inapokauka|ˌi n a p ˌo k a ˈu k a
inapokea|ˌi n a p o k ˈe a
inapokelewa|ˌi n a p ˌo k e l ˈe w a
inapokomaa|ˌi n a p ˌo k o m ˈa a
inapokua|ˌi n a p o k ˈu a
