''барс''|''pars''
захья|t͡saxʲJa
заяа|t͡saja
заяаг|t͡sajaɡ
заяагаа|t͡sajaɡaː
заяагүй|t͡sajaɡuj
заяанд|t͡sajant
заяаны|t͡sajaniː
заяасан|t͡sajasan
заяасандаа|t͡sajasantaː
заяатай|t͡sajatʰaj
заңгта|t͡saңɡtʰa
заңгтань|t͡saңɡtʰanʲ
заңшалар|t͡saңʃaɮar
заһс|t͡saһs
заһсдиг|t͡saһstiɡ
заһсдын|t͡saһstiːn
заһсиг|t͡saһsiɡ
заһсна|t͡saһsna
заһснд|t͡saһsnt
заһста|t͡saһstʰa
зг|t͡sɡ
згхэг|t͡sɡxɛɡ
здтг|t͡sttʰɡ
зебедан|t͡sJipJitan
зевтәһән|t͡sJiwtʰәһәn
зеленский|t͡sJiɮJinskʰiː
зембл|t͡sJimpɮ
земблнь|t͡sJimpɮnʲ
зер|t͡sJir
зерг|t͡sJirɡ
зерлг|t͡sJirɮɡ
зес|t͡sJis
зесәр|t͡sJisәr
зехарья|t͡sJixarʲJa
зилот|t͡siɮɔtʰ
зиндаанд|t͡sintaːnt
зиньпин|t͡sinʲpʰin
зип|t͡sipʰ
зов|t͡sɔw
зовад|t͡sɔwat
зовадг|t͡sɔwatɡ
зовадгинь|t͡sɔwatɡinʲ
зоваҗ|t͡sɔwaҗ
зоваҗахинь|t͡sɔwaҗaxinʲ
зоваҗаһад|t͡sɔwaҗaһat
зовдгийг|t͡sɔwtɡiːɡ
зовдог|t͡sɔwtɔɡ
зовдоггүй|t͡sɔwtɔɡɡuj
зовж|t͡sɔwt͡ʃ
зовиур|t͡sɔwiʊr
зовиургүй|t͡sɔwiʊrɡuj
зовиурлаж|t͡sɔwiʊrɮat͡ʃ
зовиурыг|t͡sɔwiʊriːɡ
зовлдад|t͡sɔwɮtat
зовлонг|t͡sɔwɮɔnɡ
зовлонгийн|t͡sɔwɮɔnɡiːn
зовлонгоо|t͡sɔwɮɔnɡɔː
зовлонгоор|t͡sɔwɮɔnɡɔːr
зовлонгоос|t͡sɔwɮɔnɡɔːs
зовлонд|t͡sɔwɮɔnt
зовлонт|t͡sɔwɮɔntʰ
зовлонтой|t͡sɔwɮɔntʰɔj
зовлон”|t͡sɔwɮɔn”
зовлң|t͡sɔwɮң
зовлңгас|t͡sɔwɮңɡas
зовлңгиг|t͡sɔwɮңɡiɡ
зовлңта|t͡sɔwɮңtʰa
зовмооргүй|t͡sɔwmɔːrɡuj
зовнидог|t͡sɔwnitɔɡ
зовниж|t͡sɔwnit͡ʃ
зовнилын|t͡sɔwniɮiːn
зовнисон|t͡sɔwnisɔn
зовних|t͡sɔwnix
зовно|t͡sɔwnɔ
зоволгүй|t͡sɔwɔɮɡuj
зоволтгүй|t͡sɔwɔɮtʰɡuj
зовоогоод|t͡sɔwɔːɡɔːt
зовоод|t͡sɔwɔːt
зовоодог|t͡sɔwɔːtɔɡ
зовоож|t͡sɔwɔːt͡ʃ
зовооно|t͡sɔwɔːnɔ
зовоосны|t͡sɔwɔːsniː
зовоох|t͡sɔwɔːx
зовоохгүй|t͡sɔwɔːxɡuj
зовоохоос|t͡sɔwɔːxɔːs
зовоочихлоо|t͡sɔwɔːt͡ʃʰixɮɔː
зовох|t͡sɔwɔx
зовохгүй|t͡sɔwɔxɡuj
зовохоос|t͡sɔwɔxɔːs
зовсны|t͡sɔwsniː
зовсон|t͡sɔwsɔn
зовсонгүй|t͡sɔwsɔnɡuj
зовсондоо|t͡sɔwsɔntɔː
зовтн|t͡sɔwtʰn
зовуурь|t͡sɔwʊːrʲ
зовуурьтай|t͡sɔwʊːrʲtʰaj
зовцхав|t͡sɔwt͡sʰxaw
зовҗ|t͡sɔwҗ
зовҗанав|t͡sɔwҗanaw
зовҗахинь|t͡sɔwҗaxinʲ
зов”|t͡sɔw”
зогсад|t͡sɔɡsat
зогсахлань|t͡sɔɡsaxɮanʲ
зогсаҗ|t͡sɔɡsaҗ
зогсаһад|t͡sɔɡsaһat
зогсв|t͡sɔɡsw
зогсдог|t͡sɔɡstɔɡ
зогслоо|t͡sɔɡsɮɔː
зогсна|t͡sɔɡsna
зогсов|t͡sɔɡsɔw
зогсож|t͡sɔɡsɔt͡ʃ
зогсознолоо|t͡sɔɡsɔt͡snɔɮɔː
зогсолт|t͡sɔɡsɔɮtʰ
зогсолтгүй|t͡sɔɡsɔɮtʰɡuj
зогсолтыг|t͡sɔɡsɔɮtʰiːɡ
зогсолтын|t͡sɔɡsɔɮtʰiːn
зогсон|t͡sɔɡsɔn
зогсонги|t͡sɔɡsɔnɡi
зогсоно|t͡sɔɡsɔnɔ
зогсоовол|t͡sɔɡsɔːwɔɮ
зогсоогоогүй|t͡sɔɡsɔːɡɔːɡuj
зогсоогоод|t͡sɔɡsɔːɡɔːt
зогсоогооч|t͡sɔɡsɔːɡɔːt͡ʃʰ
зогсоогүй|t͡sɔɡsɔːɡuj
зогсоод|t͡sɔɡsɔːt
зогсоодог|t͡sɔɡsɔːtɔɡ
зогсоож|t͡sɔɡsɔːt͡ʃ
зогсоожээ|t͡sɔɡsɔːt͡ʃɛː
зогсоол|t͡sɔɡsɔːɮ
зогсоолд|t͡sɔɡsɔːɮt
зогсоолоо|t͡sɔɡsɔːɮɔː
зогсоолтой|t͡sɔɡsɔːɮtʰɔj
зогсоолуудын|t͡sɔɡsɔːɮʊːtiːn
зогсоолын|t͡sɔɡsɔːɮiːn
зогсоон|t͡sɔɡsɔːn
зогсоосноор|t͡sɔɡsɔːsnɔːr
зогсоосноос|t͡sɔɡsɔːsnɔːs
зогсоосон|t͡sɔɡsɔːsɔn
зогсоох|t͡sɔɡsɔːx
зогсоохгүй|t͡sɔɡsɔːxɡuj
зогсоохгүйгээр|t͡sɔɡsɔːxɡujɡɛːr
зогсооход|t͡sɔɡsɔːxɔt
зогсоохоор|t͡sɔɡsɔːxɔːr
зогсоохын|t͡sɔɡsɔːxiːn
зогсоочихдог|t͡sɔɡsɔːt͡ʃʰixtɔɡ
зогсохгүй|t͡sɔɡsɔxɡuj
зогсоход|t͡sɔɡsɔxɔt
зогсохыг|t͡sɔɡsɔxiːɡ
зогссн|t͡sɔɡssn
зогссон|t͡sɔɡssɔn
зогссонгүй|t͡sɔɡssɔnɡuj
зогссоноо|t͡sɔɡssɔnɔː
зогссоноор|t͡sɔɡssɔnɔːr
зогссоны|t͡sɔɡssɔniː
зогсхла|t͡sɔɡsxɮa
зогсцхав|t͡sɔɡst͡sʰxaw
зогсч|t͡sɔɡst͡ʃʰ
зогсчахлань|t͡sɔɡst͡ʃʰaxɮanʲ
зогсчихдог|t͡sɔɡst͡ʃʰixtɔɡ
зогсчихлоо|t͡sɔɡst͡ʃʰixɮɔː
зогсчихно|t͡sɔɡst͡ʃʰixnɔ
зогсчихсон|t͡sɔɡst͡ʃʰixsɔn
зогсҗ|t͡sɔɡsҗ
зогсҗасн|t͡sɔɡsҗasn
зогсҗахмт|t͡sɔɡsҗaxmtʰ
зогтусан|t͡sɔɡtʰʊsan
зод|t͡sɔt
зоддог|t͡sɔttɔɡ
зодог|t͡sɔtɔɡ
зодоглосон|t͡sɔtɔɡɮɔsɔn
зодоглохгүй|t͡sɔtɔɡɮɔxɡuj
зодоглуулах|t͡sɔtɔɡɮʊːɮax
зодож|t͡sɔtɔt͡ʃ
зодолдож|t͡sɔtɔɮtɔt͡ʃ
зодолдох|t͡sɔtɔɮtɔx
зодоод|t͡sɔtɔːt
зодоон|t͡sɔtɔːn
зодооноор|t͡sɔtɔːnɔːr
зодооноос|t͡sɔtɔːnɔːs
зодох|t͡sɔtɔx
зодохоо|t͡sɔtɔxɔː
зодуулаад|t͡sɔtʊːɮaːt
зодуулах|t͡sɔtʊːɮax
зодуулж|t͡sɔtʊːɮt͡ʃ
зожиг|t͡sɔt͡ʃiɡ
зожигрон|t͡sɔt͡ʃiɡrɔn
зол|t͡sɔɮ
золбоо|t͡sɔɮpɔː
золбоотой|t͡sɔɮpɔːtʰɔj
золгодог|t͡sɔɮɡɔtɔɡ
золгодоггүй|t͡sɔɮɡɔtɔɡɡuj
золгож|t͡sɔɮɡɔt͡ʃ
золголоо|t͡sɔɮɡɔɮɔː
золголт|t͡sɔɮɡɔɮtʰ
золголтоо|t͡sɔɮɡɔɮtʰɔː
золголтыг|t͡sɔɮɡɔɮtʰiːɡ
золголтын|t͡sɔɮɡɔɮtʰiːn
золгон|t͡sɔɮɡɔn
золгоно|t͡sɔɮɡɔnɔ
золгооноос|t͡sɔɮɡɔːnɔːs
золгочиход|t͡sɔɮɡɔt͡ʃʰixɔt
золгүй|t͡sɔɮɡuj
золжаргалтай|t͡sɔɮt͡ʃarɡaɮtʰaj
золжаргалыг|t͡sɔɮt͡ʃarɡaɮiːɡ
золзаяа|t͡sɔɮt͡saja
золиг|t͡sɔɮiɡ
золигийг|t͡sɔɮiɡiːɡ
золигийн|t͡sɔɮiɡiːn
золигт|t͡sɔɮiɡtʰ
золин|t͡sɔɮin
золиос|t͡sɔɮiɔs
золиослоход|t͡sɔɮiɔsɮɔxɔt
золоор|t͡sɔɮɔːr
золтой|t͡sɔɮtʰɔj
зольж|t͡sɔɮʲt͡ʃ
зон|t͡sɔn
зонхилж|t͡sɔnxiɮt͡ʃ
зонхилоод|t͡sɔnxiɮɔːt
зонхилсон|t͡sɔnxiɮsɔn
зоог|t͡sɔːɡ
зоогийн|t͡sɔːɡiːn
зоож|t͡sɔːt͡ʃ
зоонд|t͡sɔːnt
зооноз|t͡sɔːnɔt͡s
зоонозын|t͡sɔːnɔt͡siːn
зоорьруу|t͡sɔːrʲrʊː
зоос|t͡sɔːs
зоосны|t͡sɔːsniː
зоосоо|t͡sɔːsɔː
зоосыг|t͡sɔːsiːɡ
зоочих|t͡sɔːt͡ʃʰix
зоочихоод|t͡sɔːt͡ʃʰixɔːt
зоргоор|t͡sɔrɡɔːr
зоргоороо|t͡sɔrɡɔːrɔː
зори|t͡sɔri
зорив|t͡sɔriw
зориг|t͡sɔriɡ
зориггүй|t͡sɔriɡɡuj
зоригийг|t͡sɔriɡiːɡ
зоригийн|t͡sɔriɡiːn
зоригоо|t͡sɔriɡɔː
зоригтбаатар|t͡sɔriɡtʰpaːtʰar
зоригтой|t͡sɔriɡtʰɔj
зоригтойгоор|t͡sɔriɡtʰɔjɡɔːr
зоригтсайхан|t͡sɔriɡtʰsajxan
зоригттой|t͡sɔriɡtʰtʰɔj
зоригчийн|t͡sɔriɡt͡ʃʰiːn
зорилгогүй|t͡sɔriɮɡɔɡuj
зорилгод|t͡sɔriɮɡɔt
зорилгодоо|t͡sɔriɮɡɔtɔː
зорилгоо|t͡sɔriɮɡɔː
зорилгоор|t͡sɔriɮɡɔːr
зорилготнуудын|t͡sɔriɮɡɔtʰnʊːtiːn
зорилготой|t͡sɔriɮɡɔtʰɔj
зорилготойгоор|t͡sɔriɮɡɔtʰɔjɡɔːr
зорилгуудыг|t͡sɔriɮɡʊːtiːɡ
зорилгуудын|t͡sɔriɮɡʊːtiːn
зорилгыг|t͡sɔriɮɡiːɡ
зорилгын|t͡sɔriɮɡiːn
зорилгынхоо|t͡sɔriɮɡiːnxɔː
зорилгыхоо|t͡sɔriɮɡiːxɔː
зорилоо|t͡sɔriɮɔː
зорилтод|t͡sɔriɮtʰɔt
зорилтоо|t͡sɔriɮtʰɔː
зорилтот|t͡sɔriɮtʰɔtʰ
зорилттой|t͡sɔriɮtʰtʰɔj
зорилтууд|t͡sɔriɮtʰʊːt
зорилтуудыг|t͡sɔriɮtʰʊːtiːɡ
зорилтыг|t͡sɔriɮtʰiːɡ
зорилтын|t͡sɔriɮtʰiːn
зорилтынхоо|t͡sɔriɮtʰiːnxɔː
зорин|t͡sɔrin
зорино|t͡sɔrinɔ
зориод|t͡sɔriɔt
зориорой|t͡sɔriɔrɔj
зориулаагүй|t͡sɔriʊɮaːɡuj
зориулаасай”|t͡sɔriʊɮaːsaj”
зориулагдаагүй|t͡sɔriʊɮaɡtaːɡuj
зориулагдаж|t͡sɔriʊɮaɡtat͡ʃ
зориулагдах|t͡sɔriʊɮaɡtax
зориулагдахгүй|t͡sɔriʊɮaɡtaxɡuj
зориулагддаг|t͡sɔriʊɮaɡttaɡ
зориулагдсан|t͡sɔriʊɮaɡtsan
зориулалт|t͡sɔriʊɮaɮtʰ
зориулалтаар|t͡sɔriʊɮaɮtʰaːr
зориулалттай|t͡sɔriʊɮaɮtʰtʰaj
зориулалтын|t͡sɔriʊɮaɮtʰiːn
зориулан|t͡sɔriʊɮan
зориулахаар|t͡sɔriʊɮaxaːr
зориулахыг|t͡sɔriʊɮaxiːɡ
зориулахын|t͡sɔriʊɮaxiːn
зориулдаг|t͡sɔriʊɮtaɡ
зориулж|t͡sɔriʊɮt͡ʃ
зориулжээ|t͡sɔriʊɮt͡ʃɛː
зориулсан|t͡sɔriʊɮsan
зориулттай|t͡sɔriʊɮtʰtʰaj
зорихыг|t͡sɔrixiːɡ
зорлигоор|t͡sɔrɮiɡɔːr
зорч|t͡sɔrt͡ʃʰ
зорчдог|t͡sɔrt͡ʃʰtɔɡ
зорчигч|t͡sɔrt͡ʃʰiɡt͡ʃʰ
зорчигчдод|t͡sɔrt͡ʃʰiɡt͡ʃʰtɔt
зорчигчды|t͡sɔrt͡ʃʰiɡt͡ʃʰtiː
зорчигчдыг|t͡sɔrt͡ʃʰiɡt͡ʃʰtiːɡ
зорчигчдын|t͡sɔrt͡ʃʰiɡt͡ʃʰtiːn
зорчигчид|t͡sɔrt͡ʃʰiɡt͡ʃʰit
зорчигчийг|t͡sɔrt͡ʃʰiɡt͡ʃʰiːɡ
зорчигчийн|t͡sɔrt͡ʃʰiɡt͡ʃʰiːn
зорчигчтой|t͡sɔrt͡ʃʰiɡt͡ʃʰtʰɔj
зорчиж|t͡sɔrt͡ʃʰit͡ʃ
зорчилтоо|t͡sɔrt͡ʃʰiɮtʰɔː
зорчино|t͡sɔrt͡ʃʰinɔ
зорчих|t͡sɔrt͡ʃʰix
зорчихгүй|t͡sɔrt͡ʃʰixɡuj
зорчихдоо|t͡sɔrt͡ʃʰixtɔː
зорчихоор|t͡sɔrt͡ʃʰixɔːr
зорчихыг|t͡sɔrt͡ʃʰixiːɡ
зорчоосой|t͡sɔrt͡ʃʰɔːsɔj
зорчсон|t͡sɔrt͡ʃʰsɔn
зорчсоноос|t͡sɔrt͡ʃʰsɔnɔːs
зорчуулах|t͡sɔrt͡ʃʰʊːɮax
зорчуулж|t͡sɔrt͡ʃʰʊːɮt͡ʃ
зорьдог|t͡sɔrʲtɔɡ
зорьж|t͡sɔrʲt͡ʃ
зорьжээ|t͡sɔrʲt͡ʃɛː
зорьсон|t͡sɔrʲsɔn
зорьсоор|t͡sɔrʲsɔːr
зосоор|t͡sɔsɔːr
зохилтой|t͡sɔxiɮtʰɔj
зохимжгүй|t͡sɔximt͡ʃɡuj
зохимжтой|t͡sɔximt͡ʃtʰɔj
зохимой|t͡sɔximɔj
зохино|t͡sɔxinɔ
зохио|t͡sɔxiɔ
зохиогддог|t͡sɔxiɔɡttɔɡ
зохиогджээ|t͡sɔxiɔɡtt͡ʃɛː
зохиогдож|t͡sɔxiɔɡtɔt͡ʃ
зохиогдоно|t͡sɔxiɔɡtɔnɔ
зохиогдоод|t͡sɔxiɔɡtɔːt
зохиогдох|t͡sɔxiɔɡtɔx
зохиогдсон|t͡sɔxiɔɡtsɔn
зохиогоогүй|t͡sɔxiɔɡɔːɡuj
зохиогоод|t͡sɔxiɔɡɔːt
зохиогч|t͡sɔxiɔɡt͡ʃʰ
зохиогчийн|t͡sɔxiɔɡt͡ʃʰiːn
зохиогчоор|t͡sɔxiɔɡt͡ʃʰɔːr
зохиодог|t͡sɔxiɔtɔɡ
зохиож|t͡sɔxiɔt͡ʃ
зохиожээ|t͡sɔxiɔt͡ʃɛː
зохиолд|t͡sɔxiɔɮt
зохиолоо|t͡sɔxiɔɮɔː
зохиолоос|t͡sɔxiɔɮɔːs
зохиолууд|t͡sɔxiɔɮʊːt
зохиолуудаа|t͡sɔxiɔɮʊːtaː
зохиолуудаас|t͡sɔxiɔɮʊːtaːs
зохиолуудыг|t͡sɔxiɔɮʊːtiːɡ
зохиолч|t͡sɔxiɔɮt͡ʃʰ
зохиолчдоо|t͡sɔxiɔɮt͡ʃʰtɔː
зохиолчдоор|t͡sɔxiɔɮt͡ʃʰtɔːr
зохиолчдыг|t͡sɔxiɔɮt͡ʃʰtiːɡ
зохиолчдын|t͡sɔxiɔɮt͡ʃʰtiːn
зохиолчид|t͡sɔxiɔɮt͡ʃʰit
зохиолчидтой|t͡sɔxiɔɮt͡ʃʰittʰɔj
зохиолчийнхоо|t͡sɔxiɔɮt͡ʃʰiːnxɔː
зохиолчоор|t͡sɔxiɔɮt͡ʃʰɔːr
зохиолчтой|t͡sɔxiɔɮt͡ʃʰtʰɔj
зохиолч”|t͡sɔxiɔɮt͡ʃʰ”
зохиолыг|t͡sɔxiɔɮiːɡ
зохиолын|t͡sɔxiɔɮiːn
зохиомжлон|t͡sɔxiɔmt͡ʃɮɔn
зохиомжлоод|t͡sɔxiɔmt͡ʃɮɔːt
зохиомлоор|t͡sɔxiɔmɮɔːr
зохиомол|t͡sɔxiɔmɔɮ
зохион|t͡sɔxiɔn
зохиосон|t͡sɔxiɔsɔn
зохиох|t͡sɔxiɔx
зохиоход|t͡sɔxiɔxɔt
зохиохыг|t͡sɔxiɔxiːɡ
зохиоё|t͡sɔxiɔj
зохирол|t͡sɔxirɔɮ
зохисгүй|t͡sɔxisɡuj
зохисон|t͡sɔxisɔn
зохист|t͡sɔxistʰ
зохистой|t͡sɔxistʰɔj
зохих|t͡sɔxix
зохихыг|t͡sɔxixiːɡ
зохицож|t͡sɔxit͡sʰɔt͡ʃ
зохицол|t͡sɔxit͡sʰɔɮ
зохицох|t͡sɔxit͡sʰɔx
зохицоход|t͡sɔxit͡sʰɔxɔt
зохицохын|t͡sɔxit͡sʰɔxiːn
зохицсон|t͡sɔxit͡sʰsɔn
зохицуулаад|t͡sɔxit͡sʰʊːɮaːt
зохицуулаач|t͡sɔxit͡sʰʊːɮaːt͡ʃʰ
зохицуулагдаж|t͡sɔxit͡sʰʊːɮaɡtat͡ʃ
зохицуулагдана|t͡sɔxit͡sʰʊːɮaɡtana
зохицуулагч|t͡sɔxit͡sʰʊːɮaɡt͡ʃʰ
зохицуулагчгүй|t͡sɔxit͡sʰʊːɮaɡt͡ʃʰɡuj
зохицуулалт|t͡sɔxit͡sʰʊːɮaɮtʰ
зохицуулалтаа|t͡sɔxit͡sʰʊːɮaɮtʰaː
зохицуулалтгүй|t͡sɔxit͡sʰʊːɮaɮtʰɡuj
зохицуулалттай|t͡sɔxit͡sʰʊːɮaɮtʰtʰaj
зохицуулалттайгаар|t͡sɔxit͡sʰʊːɮaɮtʰtʰajɡaːr
зохицуулалтууд|t͡sɔxit͡sʰʊːɮaɮtʰʊːt
зохицуулалтуудыг|t͡sɔxit͡sʰʊːɮaɮtʰʊːtiːɡ
зохицуулалтыг|t͡sɔxit͡sʰʊːɮaɮtʰiːɡ
зохицуулалтын|t͡sɔxit͡sʰʊːɮaɮtʰiːn
зохицуулах|t͡sɔxit͡sʰʊːɮax
зохицуулахаар|t͡sɔxit͡sʰʊːɮaxaːr
зохицуулахад|t͡sɔxit͡sʰʊːɮaxat
зохицуулахтай|t͡sɔxit͡sʰʊːɮaxtʰaj
зохицуулдаг|t͡sɔxit͡sʰʊːɮtaɡ
зохицуулдаггүй|t͡sɔxit͡sʰʊːɮtaɡɡuj
зохицуулж|t͡sɔxit͡sʰʊːɮt͡ʃ
зохицуулжээ|t͡sɔxit͡sʰʊːɮt͡ʃɛː
зохицуулна|t͡sɔxit͡sʰʊːɮna
зохицуулсан|t͡sɔxit͡sʰʊːɮsan
зохицуулъя|t͡sɔxit͡sʰʊːɮъJa
зоч|t͡sɔt͡ʃʰ
зочдог|t͡sɔt͡ʃʰtɔɡ
зочдод|t͡sɔt͡ʃʰtɔt
зочид|t͡sɔt͡ʃʰit
зочилдог|t͡sɔt͡ʃʰiɮtɔɡ
зочилж|t͡sɔt͡ʃʰiɮt͡ʃ
зочиндоо|t͡sɔt͡ʃʰintɔː
зочломтгой|t͡sɔt͡ʃʰɮɔmtʰɡɔj
зочлоогүй|t͡sɔt͡ʃʰɮɔːɡuj
зочлох|t͡sɔt͡ʃʰɮɔx
зочлохгүй|t͡sɔt͡ʃʰɮɔxɡuj
зочлуулсанд|t͡sɔt͡ʃʰɮʊːɮsant
зочноо|t͡sɔt͡ʃʰnɔː
зочноор|t͡sɔt͡ʃʰnɔːr
зочны|t͡sɔt͡ʃʰniː
зсбнхээд|t͡sspnxɛːt
зтх|t͡stʰx
зтхя|t͡stʰxJa
зуг|t͡sʊɡ
зугаа|t͡sʊɡaː
зугаалах|t͡sʊɡaːɮax
зугаалга|t͡sʊɡaːɮɡa
зугаалгаар|t͡sʊɡaːɮɡaːr
зугаалгад|t͡sʊɡaːɮɡat
зугаалганд|t͡sʊɡaːɮɡant
зугаалгын|t͡sʊɡaːɮɡiːn
зугаалж|t͡sʊɡaːɮt͡ʃ
зугаалуулсан|t͡sʊɡaːɮʊːɮsan
зугаатай|t͡sʊɡaːtʰaj
зугаацаж|t͡sʊɡaːt͡sʰat͡ʃ
зугаацан|t͡sʊɡaːt͡sʰan
зугатаад|t͡sʊɡatʰaːt
зугтаад|t͡sʊɡtʰaːt
зугтаадаг|t͡sʊɡtʰaːtaɡ
зугтааж|t͡sʊɡtʰaːt͡ʃ
зугтаалгадаг|t͡sʊɡtʰaːɮɡataɡ
зугтаасан|t͡sʊɡtʰaːsan
зугтаахаас|t͡sʊɡtʰaːxaːs
зугтаж|t͡sʊɡtʰat͡ʃ
зугтахыг|t͡sʊɡtʰaxiːɡ
зугтлаа|t͡sʊɡtʰɮaː
зугтсан|t͡sʊɡtʰsan
зуд|t͡sʊt
зудыг|t͡sʊtiːɡ
зудын|t͡sʊtiːn
зузаарлын|t͡sʊt͡saːrɮiːn
зузаатгаж|t͡sʊt͡saːtʰɡat͡ʃ
зузаатгал|t͡sʊt͡saːtʰɡaɮ
зузаатгалыг|t͡sʊt͡saːtʰɡaɮiːɡ
зузаатгах|t͡sʊt͡saːtʰɡax
зулаа|t͡sʊɮaː
зулад|t͡sʊɮat
зулай|t͡sʊɮaj
зулайг|t͡sʊɮajɡ
зулайгаа|t͡sʊɮajɡaː
зулгааж|t͡sʊɮɡaːt͡ʃ
зулгаана|t͡sʊɮɡaːna
зулх|t͡sʊɮx
зулхм|t͡sʊɮxm
зулыг|t͡sʊɮiːɡ
зулын|t͡sʊɮiːn
зулҗ|t͡sʊɮҗ
зумба|t͡sʊmpa
зунгүй|t͡sʊnɡuj
зундаа|t͡sʊntaː
зундуйн|t͡sʊntʊin
зуншлага|t͡sʊnʃɮaɡa
зуны|t͡sʊniː
зуныхаа|t͡sʊniːxaː
зунь|t͡sʊnʲ
зураад|t͡sʊraːt
зураас|t͡sʊraːs
зураачаар|t͡sʊraːt͡ʃʰaːr
зураачид|t͡sʊraːt͡ʃʰit
зураачийн|t͡sʊraːt͡ʃʰiːn
зурав|t͡sʊraw
зурагаа|t͡sʊraɡaː
зурагаас|t͡sʊraɡaːs
зурагдах|t͡sʊraɡtax
зурагддаггүй|t͡sʊraɡttaɡɡuj
зурагдсаны|t͡sʊraɡtsaniː
зурагжуулж|t͡sʊraɡt͡ʃʊːɮt͡ʃ
зураглаач|t͡sʊraɡɮaːt͡ʃʰ
зураглажээ|t͡sʊraɡɮat͡ʃɛː
зураглал|t͡sʊraɡɮaɮ
зураглалд|t͡sʊraɡɮaɮt
зураглалтай|t͡sʊraɡɮaɮtʰaj
зураглалыг|t͡sʊraɡɮaɮiːɡ
зурагнаас|t͡sʊraɡnaːs
зурагтаа|t͡sʊraɡtʰaː
зурагтаар|t͡sʊraɡtʰaːr
зурагтай|t͡sʊraɡtʰaj
зурагттай|t͡sʊraɡtʰtʰaj
зурагттайгаа|t͡sʊraɡtʰtʰajɡaː
зурагтыг|t͡sʊraɡtʰiːɡ
зурагтын|t͡sʊraɡtʰiːn
зурайсан|t͡sʊrajsan
зурата|t͡sʊratʰa
зурах|t͡sʊrax
зурахаас|t͡sʊraxaːs
зурахад|t͡sʊraxat
зурахгүй|t͡sʊraxɡuj
зурахдаа|t͡sʊraxtaː
зурвасаа|t͡sʊrwasaː
зурвасхан|t͡sʊrwasxan
зурвасыг|t͡sʊrwasiːɡ
зурвас”|t͡sʊrwas”
зургаа|t͡sʊrɡaː
зургааг|t͡sʊrɡaːɡ
зургаадугаар|t͡sʊrɡaːtʊɡaːr
зургаан|t͡sʊrɡaːn
зургаар|t͡sʊrɡaːr
зургаахан|t͡sʊrɡaːxan
зургадугаа|t͡sʊrɡatʊɡaː
зургадугаар|t͡sʊrɡatʊɡaːr
зурган|t͡sʊrɡan
зургийг|t͡sʊrɡiːɡ
зургийн|t͡sʊrɡiːn
зургууд|t͡sʊrɡʊːt
зургуудаараа|t͡sʊrɡʊːtaːraː
зургуудыг|t͡sʊrɡʊːtiːɡ
зургуудын|t͡sʊrɡʊːtiːn
зурж|t͡sʊrt͡ʃ
зурлаа|t͡sʊrɮaː
зурлага|t͡sʊrɮaɡa
зурсан|t͡sʊrsan
зурсн|t͡sʊrsn
зурснаар|t͡sʊrsnaːr
зурснаас|t͡sʊrsnaːs
зуруулан|t͡sʊrʊːɮan
зуруулдаг|t͡sʊrʊːɮtaɡ
зурхай|t͡sʊrxaj
зурхайг|t͡sʊrxajɡ
зурхайгаас|t͡sʊrxajɡaːs
зурхайн|t͡sʊrxajn
зурчихсан|t͡sʊrt͡ʃʰixsan
зуршил|t͡sʊrʃiɮ
зуршилтай|t͡sʊrʃiɮtʰaj
зуршлаа|t͡sʊrʃɮaː
зуршлаар|t͡sʊrʃɮaːr
зуршлаас|t͡sʊrʃɮaːs
зуршлаасаа|t͡sʊrʃɮaːsaː
зурһадгч|t͡sʊrһatɡt͡ʃʰ
зурһан|t͡sʊrһan
зусав|t͡sʊsaw
зусдаг|t͡sʊstaɡ
зуслан|t͡sʊsɮan
зуслангийн|t͡sʊsɮanɡiːn
зуслангууд|t͡sʊsɮanɡʊːt
зусланд|t͡sʊsɮant
зусландаа|t͡sʊsɮantaː
зусч|t͡sʊst͡ʃʰ
зутан|t͡sʊtʰan
зутарсан|t͡sʊtʰarsan
зуу|t͡sʊː
зуугаар|t͡sʊːɡaːr
зуугаараа|t͡sʊːɡaːraː
зуудаг|t͡sʊːtaɡ
зуул|t͡sʊːɮ
зуулгаа|t͡sʊːɮɡaː
зуульчлһн|t͡sʊːɮʲt͡ʃʰɮһn
зуун|t͡sʊːn
зууна|t͡sʊːna
зуунаар|t͡sʊːnaːr
зуунд|t͡sʊːnt
зууны|t͡sʊːniː
зууныг|t͡sʊːniːɡ
зуун”|t͡sʊːn”
зуур|t͡sʊːr
зуураа|t͡sʊːraː
зууралдаад|t͡sʊːraɮtaːt
зууралдахаас|t͡sʊːraɮtaxaːs
зууралдахгүй|t͡sʊːraɮtaxɡuj
зууралдлаа|t͡sʊːraɮtɮaː
зууралдсаар|t͡sʊːraɮtsaːr
зууран|t͡sʊːran
зуурах|t͡sʊːrax
зуурахаа|t͡sʊːraxaː
зуурдаар|t͡sʊːrtaːr
зуурмаг|t͡sʊːrmaɡ
зуурт|t͡sʊːrtʰ
зууртаа|t͡sʊːrtʰaː
зуурхны|t͡sʊːrxniː
зуурч|t͡sʊːrt͡ʃʰ
зуурын|t͡sʊːriːn
зуусан|t͡sʊːsan
зуутаар|t͡sʊːtʰaːr
зуухан|t͡sʊːxan
зууханд|t͡sʊːxant
зуухны|t͡sʊːxniː
